,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.344019166700099,0,0,0,0,0,0,0,0,0,0.0344791850346671,0,8.67361737988404e-19,1.0842021724855e-19,0,0,0,0,0.072846921099629,0.0880041099672904,0,0,0,0,0,0,0,0.0753843359938173,0,0,0,0,0,0.0984755415826475,0,0,0,0,-0.00604006245206432,0.0559130534207299,0,0.0382601774647805,0,0,0,0,4.33680868994202e-19,0
X601318.CH.EQUITY,0,0,0.0642271314866256,0,0,0,0,0,0.115816113799477,3.46944695195361e-18,0.0337620410592354,0,0.0547363062705766,0,0,0,0,0.0751922671213667,0,0.143149345679497,0,0.0655805179960447,0,0,0,0,0,0.0832598570434848,0,0,0.0522394956220384,0,0,0,0,0,0,0.145553011488262,0,0,0,0,0,0,0,0,0,0.062142379397105,0,0,0,0.0956840780083575
X601939.CH.EQUITY,0,0,0,0,0.0944216809132837,0,-0.0301562938957958,0,0,0,0.097415370474781,0,0,0,0,0,0,0,0,0,0.00806337746876463,0,0.619550176556361,0,0,0.151635529427501,0,0.0992767232795106,0.0183029376031034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0920535966619184,0,0,0,0,0.206923392781926,0.0983927115237617,0,0,0,0,0.158453770269985,0,0.04897031541787,0,0,0,0,0,0,0,0.259597562020093,0.217450092292824,0,0,0.0307281538428874,0,0,0.0455327036676313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.100811655674611,0,0,0.102410296595942,0,0.451184121300768,0,0,0,0,0,0,0,0.0271423682657642,0,0,0,0,0,0,0,0,0,0,0,0,0.142119537739544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000880077377970212,0,0,0,0.0351254223783239,0,0,-0.0601908056524816,-0.0534386180133484
X601628.CH.EQUITY,0,0,0,0,0.0953150232050662,0,0,0,0,0,0,0,0,0,-0.182294775363083,0,0,0,0.0152507407442326,0,0,0.0564152942069704,0,-0.0120690538734893,0,0,0,0,0,0,0,0,0,0.641366062421154,0.0360422049046952,0,0,0,0,0,0,0,0,0,0,0,0,0.0749994277755147,0,0,0,0.209740275197162
X1299.HK.EQUITY,0,0,-0.129852761246199,0,0,0,0,0,0,0,0,0.127365698979826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852429020704464,0,0,0,0.128383054129607,0,0.0393012054019205,0,0,0,0,0,0,0.168389762630263,0,0.0461933157708867,0.278480954786718,0.0912282890455028,0.15746299264477,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.231542441669434,0.711227363009637,0,0,0,0,0,0,0,0.00687665160938563,0,0,0,0.0445517804877645,0,0,0,0.072390473499604,0,0,0.103656730492985,0,0,0,0,0,0,0.0903864365819833,-0.1191403708779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344056651689453
X5.HK.EQUITY,0,0,0,0,0,0.00935840499575416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131379780561633,0,0,0,0,0.0846554375412856,0,0.176220043167074,0.0153695794602617,0,0,0,0,0,0,0,0,0,0,0,0.337354110885469,0,0,0.162229183430381,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0283450611746413,0.0588440481669329,0,0,0,0,0,0,0.0638491721310848,0,0.151198523068348,0,0.112334779215709,0,0,0,0,0,0,0,0,0.177555820260865,0,0,0,0,0.381704811781159,0,0,0,0,0.0301665489087807,0,0,0,0,0,0,0,0,0,0,0,-0.0101513715467596,0,0,0,0,0,-0.00629839429369216
