,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X600000.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601881.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.130599244654986,0,0,0,0,0,0,0,0,0,0,-0.121318466140629,0.58698841759597,0,0.843910451839206,0,0.0550128074586145,-0.113663948815422,0,0,-0.129934041074231,0,0,0.0043201498501157,0,0,-0.086497799389764,0,0,0,-0.345138573712422,-0.0628321681745416,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0.0713966598932593,0,0,0,0,0,0,0.0221243969048259,0,0.0486025706240828,0,0,0,0.297001072782751,0,0,0,0,0,0,0,0,0.0591384975560528,0,0.10552924403421,0,0,0,0,0,0.298526471139687,0,0,0,0,0,0,0,0,0.0724478709415663,0,0,0,0,0,0.104006068942924
X601939.CH.EQUITY,0,0,0,0.787641628210425,0.0698065501634523,0,0.0588611575550436,0,0,0,0,0,0,0.029846559247734,0,0,0,0,0,0,0,0,0.0038522509875548,0.0069251360329875,0,0,0,0,0,0,0,0.0753549723358705,0,0,0,0,0.00355072437279074,0,0,0,0,0,0,0,0,0,0,0,0.0341057716844237,0,0,0
X601288.CH.EQUITY,0,0,0.880779523435786,0,-0.0676632592557268,0,0,0,0,0,0,0,0.040536183317605,0,0.0153025259733771,0,0.0326440636304311,0.126326431777158,0,0,0,0,0,0,0,-0.123960726655766,0,0.0303653250100969,0,0,0,0.005422796471203,0,0,0,-0.0993069920557025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.852727612910787,-0.0589506893748498,0,0,0,0,0,0,0,0,0,0.151246210399055,0,0,0,0,0,0,-0.0758786660895688,0,0,0.0605030742102409,0,0,-0.033789750914549,0.0197943700378844,0,0,-0.0328151505159882,0,0,0,0.0578523089762337,0,0,0,0,0.0144083742585055,0,0,0.164923388242801
X601988.CH.EQUITY,0,0,0,0,-0.146678479454216,0,0,0,0,0,0,0,0,1.14373101909845,0,0,0,0,0,-0.109348551156182,-0.0252667698527901,0,0,0.0793259002529041,0,0,0,0,0,0,0,0,-0.209785205428102,0,0,0,0,-0.176935065642717,0,0,0,0.0276334173132369,0,0,0.0809375431873551,0,0,0,0,0,0,0.21873564852377
X600036.CH.EQUITY,0,0,0.386912426973734,0,0,0,0,0,0.0780899870883394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036856975103444,0,0,0,0.431991260301721,0,0,0,0,0,0,0,0,0,0,-0.0319724441402817,0.0788722132388663,0,0.0994329975639813,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.154336408870126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.253294034648478,0,0,0,0.12741942711831,0.14368859985007,0.356967159071161,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.105169698676852,0.00166908009927207,0,0,0,0.446030227040283,0,0,0,-0.0967054985442951,0.083044467812937
X5.HK.EQUITY,0,0,0,0,-0.00142532240687507,0,0,0,0,0,0,0,0,0,0,0,0.306121836053032,0,0,0,0,0.014810351975552,0,-0.121713741868188,0.382426343048666,0,0,0.183118971215037,0.0858380304967684,0,0.0809918786193471,0,0,0,0,0,0,0,-0.090796268010981,0,0,0.0377934393005455,0,-0.138854434513375,0.0730698032446831,0,0,0,0,0,0,-0.242888871600059
X388.HK.EQUITY,0,0,0,0,0.475190313762768,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.264812501945756,0,0,0,0,0,0,0.117246940438514,0,0,0,0,0.144776899135458,0,0,0,0,0,0,0.254888098488484,0,0,0,-0.204866288696513,0,0,0,0,0,0,0,-0.124864499045329,0,0.0732333110099556
X601658.CH.Equity,0,0,0,0.186184889492153,0,0,0,0,0,0,0,0,0.159634903848901,0,0,0,0,0.162768408109035,0.0421496209482737,0,-0.319594916160117,0,0,0,0,-0.0883929987633508,0,0,0,0.074179038311893,0,0,0,0,0,0,0,0,0,0,0,0,0.506509003673267,0,0,0,0,0,0,0.056245133864132,0,0
X600030.CH.EQUITY,0,0,0,0,0.131948798721945,0,0,0,0,0,0,0,0,0,0.0602692847002641,0.133192448768218,0,0,0,0,0,0,0,0,-0.0259584788880393,0,0.0141197672335594,0,0.0860154265379127,0,0,0,0,0.544115270841725,0.0380955180845489,0,0,0,0,-0.082280814519878,0,0,0,0.0367769387437219,0,0,-0.00869846941414397,0,0,0.0989477679136076,0.0807977200466502,1.73472347597681e-18
X600000.CH.EQUITY,0,0,-2.77555756156289e-17,0.0301596179510042,0,0,0.0817667001045524,0.0197490796487944,0,0,0,0,0,0.465245883888601,0.173670844881772,0,0,0,0,0,0,0,0,0,0,0.0640308771231621,0,0,-8.67361737988404e-19,0,0.0259786493822705,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112252005818724,0,0.0244602196322668,0,0,0,0,0
X601166.CH.EQUITY,0,0.0122965619123966,0,0,0,0.52057855505499,0,0,0,0,0.0560127513735961,0,0.122489739175307,0,0,0,0.026306140927422,0,0,0,0,0,0.0475799205959558,0.0828867820484861,0,0.0684051449381583,0,0,0,0,0,0,0.0444440981852475,0,0,0,0.0127258454301111,0,0,0,0,0,0,-0.0297968804616639,0,0,0,0,0,0.0389301816212602,0,0
