,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.377578039897928,0.0104353626072783,0.030108143071309,0,0,0,0,0,0,0.246699778241792,0,0,0,0,0,0,0,0,0,0,0.118535639868309,0,0,0.070268937625501,0,0,0,0,0.0038824644949378,0,0,0,0,0,0,0,0,0,0,0,-0.029117806462409,0,0.0357318982168727,0,0,0,0,0,0.00992036667919392,-0.150214319915758,0
X601939.CH.EQUITY,0.489793794898585,0,0,0.0581770804249298,0,0,0,0,0,0,0.226118109971038,0,0,0.00817701209469283,-0.0113325656795563,0,0,0,0,0,0,0,0,0,0.0825996465079816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1077913758987
X601318.CH.EQUITY,0,0,0,0,0.208206259120896,0,-4.33680868994202e-19,0,0,0,0,0,0.133853953885095,0,0.0162837064943795,0,0,0,0,0,0,0.154206899709809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047910463581718,0,0,0,0,0,0,0.189758390245344,0,0,0,0,0,0
X601288.CH.EQUITY,0.296155399329604,0.0899056747098046,0,0,0.180649790471503,0,0,0,0,0,0,0,0,0.192191073087906,0,0,0,0,0,0.048079478543711,0,0,0,0,0,0,0,0,0,0,0,0,0.123350272578436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.371098526877971,0,0,0,0,0,0.247110085741004,0,0,0,0,0,0.142481828679191,0.120141406659467,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.098264417058585,0,0,0,0,0,0,0,0,0,-0.497747040574684,0,0,0,0,0,0,0.0365606015516183,0.0162126939248644,0,0,0,0,0,0.343049386729779
X600036.CH.EQUITY,0,0.0665039565394242,0,0,0,0,0,0,0,0,0,0,0.198902227215618,0,0,0,0.00723569150805339,0,0,0,0,0.272602093528669,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.282100601732449,0,0,0,0,0,0,0,0,0.0709813908822536,0,0.0461114989207205,0.00581354844644733,0,0,0,0.0991967281701363,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0254840732973209,0,0,0,0,0,0,0,0,0.188879593942763,0,0,0.0345372288485631,0.506935154328589,0,0,0,0,0,0,0,0.110978613873326,0,0,0,0,0,0,0,0,0,0,0,0,0.0966042168933924,0,0,0,0,0,0,0.0198835100399934,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.401543124568959,0,-0.246121987569607,0,0,0,0,0,-0.00300030707428465,0,0,0.332008088978168,0.764977763597429,-0.036539911711657,0,0,0.254357427577651,0,0,0,0,0,0.386831952810683,0,0,0,0,0,0,0,0,-0.241893716837632,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.166229201462294,0,0,0,0,0,0.156539178144415,0,0,0.0636570980952164,0.270733952008137,0,0,0,0.00607814627000334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2262844047152,0,0,0,0,0,0,0.10951440967519,0,0,-0.153678042062576,0.0444964906357793
X601658.CH.Equity,0,0,0,0.133999310969128,0.166641381779963,0,0,0,0,0,0,0,0,0.118690609612857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491999841032931,0.114423329048345,0,0,0,0,0,0,0,0.25594792681425,0,0,0,0,0,0,0,0,0,0,0,0.378168204932622,0,0.0399802592237166,0
