,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.158227127790335,0.536648657773771,0,0,0,0,0,0,0,0.0872734128245526,0,0,0,0.192822192179436,0,0.0193644880273344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303321217074099,0,0,0,0,0,0.0568128064542471
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.106433330293589,0.310365968457304,0,0,0,0,0,0,0,0.262622082417913,0,0,0.0869524190972494,0.0598329438993957,0,2.71050543121376e-20,0,0.00343019902372335,0.0949107162011864,0,0,0,0,0,0,0,0,0.00916588189324274,0,0,0,0,0.0308397121201988,0,0.0104528911129093,0,0,0,0,0,0.0158714013647516,0,0,0
X601939.CH.EQUITY,0.0312561003534208,0,0,0.605378503823328,0,0.0663904345237123,0,0,0,0.11677870604179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419010721828269,0,0,0,0,0,0,0,0.122299362441072,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.174174557948003,0.153695481434169,0,0.369220540381786,0,0,0.0532333215291991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196802559849658,0,0,0,0,0,0.11081764429712,0.00304322849847842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.144131142640495,0,0.353671927952089,0,0.0756228919997361,0.0312880294140009,0,0,0,0,0,0,0,-0.0182163711913754,0,0,0,0,0,0,0.0108900104662304,0,0,-0.159266615745954,0,0,0,0,0,0,0,0.115387884822878,0,0,0.260736294152907,0,0,0,0,0,0,-0.0991585160342472,0,0.0475907731669217,0,0
X601988.CH.EQUITY,0,0,0,0,0.324984697293934,0,0,0,0.199230785227935,0,0,0,0,0,0,0,0,0.0287528641389906,0,0,0,0,0,0,0.060480291667373,0,0,0,0,0,0,-0.166766742274896,0,0.0890576450188751,0,0,0,0,0,0,0,0.108779149760457,0,0,0,0,0,0,0,-0.151674204867671,0
X600036.CH.EQUITY,0,0.120886329627278,0,0,0,0,0,0,0,0.421895454502874,0,0,0,0,0,0,0.153619092274332,0.0593361387364763,0,-0.12985664852391,0,0,0,0,0.0759199869412506,0,0,0,0,0,0.214280108696435,0,-0.0380299837213378,0,0,0,0,0,-0.0692001298790642,-0.165546311314384,0,0.124602474721331,0,0,0.198827010500858,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.196173357931358,0,0,0,0,0,0,0,0,0,0.0109564214946833,0,0,0.138219069859065,0,0,0.0759134840918889,0,0,0,0,0.0231924642567982,0,0,0.0470679364428194,0,0.0995629034615524,0,0,0,0,0,0.463407156744925,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0309268850103909,0,0,0,0,0,0,0,0.132895990472993,0,0,0,0,0.404390032481625,0,0,0,0,0,0,0,0.00349600677963063,0,0,0,0,0,0,0,0,0,0.0668314374611437,0,0,0.180051988781941,0,0,0.185606116959186,0,0,0.0733982946979359,0.0478379792247591,0,0,0,0,0,0
X601328.CH.EQUITY,6.93889390390723e-18,0,0.207946930524015,0,0,0,0.417753566957041,0,0,0,0,-0.0415966427230404,0.499194189091978,0,0,0,0,0,0,0,0.0471444256980394,0.147616687628498,0,0,0,0,0,0,0,0,0,0,-0.0366920125053394,-0.0484347514379355,0,0,0,0,0,0,0,-0.116773881364417,0,0,0,-0.122249697407313,0,0,0,0,0
