,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.690741380913468,0,0,0,0,0,0,0,0.00909004826710019,0,0.0812391558655137,0,0,0,0,0,0,0.0629387029112528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219966320530828,0,0.0430574979740355,0,0,0.0301437665557852,0,0,-0.0101448717982318,0,0,0,-0.0166925625857848,0.0099467155699039
X601939.CH.EQUITY,0.107913295541129,0,0.0142153811933206,0.296146547309241,0,0.320748065735445,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0577392993206438,0,0,0,0,0,0,0,0.0358925202555514,0,0,0,0,0.0899260355612064,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,-1.38777878078145e-17,0,0,0.0215447751196617
X601318.CH.EQUITY,0,0.0176351121475321,0,0.0926358103197262,0,0,0,0,0,0,0,0,0,0,0,0.00893182722133872,0,0.00847570417354843,0.192183354974361,0,0,0,0,0,0.0104227941614493,0.0465734282588994,0,0,0,0,0,6.93889390390723e-18,0,0.214466413046173,0.0168096441435061,0.0445386994357191,0,0,0,0.236985293146126,0,0,0,0.0860560956463443,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.190854063228131,0.0496470065162703,0,0,0,0.0318058248814448,0,0,0,0.162488749496675,0,0,0,0,0,0,0,0,0.09247754193305,0,0,0,0,0,0.0233010226251102,0.259844956408969,0,0,0,0.0553470306710081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599416739134684,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.105776041478935,0.301322365252388,0,0,0,0,0,0.00551352680875877,0,0.30357059161322,0,0,-0.081843051783539,0,0,0,0,0,0,0.531129412647868,0,0,0,0,0.0122701156910703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.619320253248007,0.0753748746304111,0,-0.151524037673429,-0.204946814877346,0
X601988.CH.EQUITY,0.0337324815855969,0.192559372652678,0,0,0.0440336612304282,0,0,0,0.109554600824964,0,0,0.0831054098686988,0.131480748275354,0,0,0,0,0,0.0667850484042416,0,0,0,0.455474903600062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157786599207766,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.040347424371327,0,0,0,0,0,0,0.201245039016949,0,0,0,0,0,0.288191988166608,0,0,0,0.0422266856826761,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.093937584367432,0,0,0,0,0,0,0,0,0,0,0.0107491171386077,0,0.0886971924991024
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249431413857156,0.000775799788559447,0,0,0,0,0,0,0.775957729755986,0,0,0,0.104931104959818,0.00414417668338143,0,0.000702287350072497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.140902859569467,0.072336613178437,0,0,0,0,0,0,0,0,0,0,0,0.0306035888732201,0,0,0,0,0,0,0,0,0,0.0626708187954096,0,0,0,0,0,0,0,0,0,0.325119297762284,0,0,0,0,0,0,0.207979932013139,0.0712432371513351,0,-0.0261868390400091,0,0,0,0,0
X601328.CH.EQUITY,0.0016243767671306,0,0,0,0,0,0,0.171618952383508,0,0,0.0383759835335548,0,0.149567578241183,0,0,0,0,0,0,0,0,0.25239574095199,0,0,0,0,0,0,0.0314373869089073,0,0,0,-0.0088346931879867,0.0403082001074452,0,0.000781940911278629,0,0,0.068898905032468,0.256250633419982,0,0.0395381895474413,0,0,0,0,0,0,0,0,0
