,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.186779515609129,0,0,0,0,0,0,0,0,0.181853298938205,0,0,0,0,0.351434328204085,0,-0.0038298033639344,0,0,0,0,0,0,0,0,0,-0.0859414633663363,0,0,0.441264828627823,0,0,0,0,0,-0.0115366656528198,0,0,0,-0.0551699490035567,0.0553891204750556
X601318.CH.EQUITY,0,0,0,0,0,0,0.152216124535247,0,0.254228708544137,0,0,0,0,0,0,0,0,0.282443467008531,0.075167511904378,0,0.0399875290410538,0,0,0,0,0.0802870900897777,0,0,0,0,0,0,0,0,0,0.0750294748490576,0,0,0,0.0254284372993827,0,0,0,0.00956112222022165,0,0,0,0.0452677960075453,0,0,0
X601939.CH.EQUITY,0,0,0,0.513792361518708,0,0.100972769631799,0,0,0,0.198427057814252,0.0184986910557484,0,0,0,0,0,0,0,0,0,0.179477555510616,0,0,0,0,0,0,0,0.171699082682404,0,0,0,0,0.0238258838564273,0,0,-0.0495246473066059,-0.00812374868467962,0,0,0,0,0,0.0959563252720548,0,0,0,0,0.0329600073341618,-0.0260502428288618,0.0730223365429606
X601288.CH.EQUITY,0,0,0,0,-0.133106826632956,0,-0.266040947466769,0,0.104206138769122,0.0561482134198793,0.874744121540181,0,0,0,-0.0808918530918698,0,0,0,0,-0.301649757205957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132818159433658,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0730559183244875,0,0,0,0.15148278521676,0.339276345462119,0,0,0,0.0300788901869898,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-0.181724406496712,0,0,0,0,0,0,0,0,0,0.128904004654209,0,0.288218778276585,0,0,0,0,0,0,-0.0939695155691732,0,0.0598660358541746,0,0
X601988.CH.EQUITY,0,0,0,0,0.232498071853526,0,0,0,0.269418154375385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100608608932184,0,0,0,0,0,-0.0531694976088836,0,0.121487784718715,0,0,0,0,0,0,0,0.142506396002437,0,0,0,0,0,0,0,0,-0.14484457579529,0
X1299.HK.EQUITY,0,0,0,0,0.192519023278083,0,0,0,0,0,0,0,0,0,0,0,0.162381948337059,0,0,0,0,0,0,0,0,0.0866041356630495,0,0.118577032708853,-0.00706186809317641,0.103925175767328,0,0,8.67361737988404e-19,0,0,0,0,0.357068947353625,0,0,0,0,0,0,0,0,0,0,0,0,-0.0707696118430867
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.484625089937542,0,0.029594494048087,0.0418721131364378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574187021196651,0,0,0,0,0,0,0.124496599371759,0,0,0,0,0.216459501131849,0,0.317410727613497,0,0,0,0,0,0,0,-0.112640364045344
X601628.CH.EQUITY,0,0,0,0.0138894055574345,0,0,0,0,0,0,0,0,0,0,-0.0461371020866493,0,0.00315651830713907,0.126829746566606,0,0,-0.0139705162259214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438197951157756,0.494177207623866,0.00438310105795108,0,0,0,0,0.255340994170967,0.134755999418385,0.0572657482147434,0,0,0,0,0,0,-0.0740360230024945
X601328.CH.EQUITY,0,0,0.0276963573187413,0,0,0,0,0.711638883783271,0,0,0,0,0,0,0,0,0,0,0,0.123238013254804,4.33680868994202e-19,0,0,0,0,0,0.0451954124996842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171247853360944,-0.0179886226693896,0,-0.0557426851764745,0
