,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.391778217355144,0.0431269432043054,0.0249841989565467,0,0,0,0,0,0,0.215479898697689,0,0,0,0,0,0,0,0,0,0,0.0607479305298748,0,0,0,0,0,0,0,0.0757916486544142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169408883858143,0.0413499992519099,0,0,0,-0.160102192715354,0
X601939.CH.EQUITY,0.526028380812511,0,0,0.112902426447776,0,0,-0.107591762945569,0,-0.0716887648855444,0,0,0,0,0.380044805146687,-0.011695855792458,0,0,0,0,0,0,-0.0852034077236775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962457317788743,0,0,0,0.00843286118095872
X601318.CH.EQUITY,0,0,0,0,0.222440519543373,0,0,0,0,0,0,0,0,0,0.0400735707717957,0,0,0,0,0,0,0.19051265813898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252185229962493,0,0,0,0,0,0.205511854567414,0,0.00553478969639451,0,0,0,0,0.0812477112586102,0,0
X601288.CH.EQUITY,0.372225393944429,0,0,0,0.215073536055566,0,0,0,0,0,0,0,0,0.145786571925675,0,0,0,0,0,0.0914295838066844,0.0312426957840016,0,0,0,0,0,0,0,0,0,0,0,0,0.083072631995837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471790135612323,0,0
X601988.CH.EQUITY,0,0,0,0.498466556199763,0,0,0,0,0,0.302140156921396,0,0,0,0,0,0.00252466611596636,0,0.022195613369111,0,0,0,0,0,0,0,0,0,0.104021435581929,0,0,0,0,0,0,0,0,0,-0.396461522707706,0,0,0,0,0,0,0.213755400216887,0,0,0,0,0,0,0.47639010581542
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278306881739022,0,0,0,0,0,0.0920471572914921,0,3.46944695195361e-18,0,0,0,0.0101091002918832,0,0,0,0,0,0.186830516613042,0.0433598833036156,0,0.0906640809771807,0,0,0,0.0161002123754638,0,0,0,0,0.172107556949031,0,0,0,0,0.105900461068455,0,0.0157206530069896,0,0,0
X1299.HK.EQUITY,0.0879307664867766,0,0,0,0,0,0,0,0.186132061749295,0,0,0,0,0.0940048283213703,0,0,0.0569107000378774,0,0,0,0,0,0.0112350788442012,0,0,0,0,0,0.250939679926453,0,0,0.101230103188407,0,0,0,0.0487196422918289,0,0,0,0,0,0,0,0.0253879795348217,0,0,0.0642964951295501,0,0,0,0,0
X5.HK.EQUITY,0,-0.0176597318099634,0,-0.159638535779095,0,0,0,0,0,0,0,0,0,0,-0.0589031577366567,0,-0.103783483105232,0,0,0,0,0,-0.43461024175863,0.927117461555593,0,0,0.561132755773979,0,0,0,0,0,0,0,0,0,0,0,0.428883978376288,0,0,0,0,-0.132132783064335,0,0,0,0,0,0,-0.0816375925288091,0
X601628.CH.EQUITY,0.0862508168284216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176432920563453,0,0,0,0.0180557621195506,0,0,0,0,0,0,0.196919712269731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17373361713711,0,0,0,0,0.0894159726933143,0.0456864467299279,0,-0.0746710153212008,0.0130806572490221
X601658.CH.Equity,0,0,0,0.177037654876878,0.0576438688127252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111045279046511,0.282025621026769,0,0,0,0,0,0,0,0,0,0.0601716893262637,0,0,0,0,0,0,0,0,0.336642212538629,0,0,0,0
