,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.341399347139662,0,0.297501217758283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234636746103145,0,0,0,0,0,0,0.11052103449519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317583472111121,0,0.0997236270855528,0,-0.123925868884205,0
X601939.CH.EQUITY,0.396938272897025,0,0,0.238935683704873,0,0,-0.125952136563067,0,0,0,0.0138769370856983,0,0.130018047073739,0,-0.0907384786957742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00218875156074994,0,0,0,0,0,0,0,0,0,0.203123544211327,0,0,0.0374824047136075,0
X601318.CH.EQUITY,0,0,0,0,0.22957680672354,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.167092315923731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251254044182743,0,0,0,0,0.185564214470555,0,0.00281261594985458,0,0,0.0295937023285807,0,0.119901762236313,0,0
X601288.CH.EQUITY,0.380270156258534,0.115384933048544,0,0,0.180841821999566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141908847274173,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0511355000079433,0,0,0,0.0689936573440271,0,0,-3.46944695195361e-18,0.0737914880293592,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.375520833656911,0,0,0,0,0,0.249658923482409,0,0,0,0,0,0.335627555496792,0.0848877484986155,0,0,0,0,0,0,0,0,0,0,0.00259529490885146,0,0,0,0,0,0,0,0,-0.349970043214107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.443076071624001,0,-6.93889390390723e-18,0,0.0781796365912732,0,0,0,0,0,0,0,0.0520381891143153,0,0,0,0,0,0.0319039045077295,0,0,0.077963408351129,0,0,0,0,0.0159831835593604,0,-6.93889390390723e-18,0.0107805737237563,0,0,0,0,0,0,0,0.239050825669785,0,0.00748289610368493,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0704506896456973,0,0,0.0632744962330764,0.126603165859771,0,0,0,0,0,0,0,0,0,0.0220065836652466,0,0,0,0.154951210228265,0,0,0,0,0,0,0,0,0.217842353784119,0,0,0,0,0,0,0.0858946022907525,0,0,0,0.129369080443353,0,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.128324904044198,0,0,0,0,0,0,0,0,0,0,-0.0122006836211433,0,0,0,0,0,0,0,-0.376635846220798,0.745302789034465,0,0,1.38777878078145e-17,0,0.50050049165635,0,0,0,0,0,0,0,0,0,0.381343595531294,0,0,0,0,-0.0932552394851812,0,0,0,0,0,0,-0.0599154841465104,0
X601628.CH.EQUITY,0.0961192351057379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164176218363852,0,0,0,0,0.00670804017320215,0,0,0,0,0.179753298731249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190503703294048,0,0,0,0,0.0951554668053745,0.0605671815440794,0,-0.0714905988151099,0.0167615060169273
X601658.CH.Equity,0,0,0,0.0933238078977272,0.0693836983609372,0,0,0,0,0,0,0,0.138287174610367,0,0,0,0,0,0,0,0,0.072643965906558,0,0,-6.93889390390723e-18,0,0.184750796093076,0.181030292765399,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.315823740363668,0,0,0,0
