,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.521302697836332,0,0,0,0.122285933862179,0,0,0.050996637312572,0.0496787690381012,0,0,0.169708465113792,0,0,0,0.0361543858029763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025343632787216,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.140375658965173,0.265529886981495,0,0,0,0.0338686646004522,0,0,0,0,0.318946268681457,0.0925843859126236,0,0.0657746271835062,0,0,0,0,0.0449648176394748,0,0,0,-0.0505353165008206,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0696171200660937,0,0,0.00463326514386597,0,0,0,0,0,0,0,0.00274646673691249
X601939.CH.EQUITY,0.477224075264356,0,0,0.219331803592699,0.171487647086664,0.0117077176103672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017515394761785,0,0,0,0,0.172028362968527,0.16587874959837,-0.196348580958642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307935166366236,0,0,-0.0356308004784835,0.0162793268467548
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.217178221150514,0.103836274376719,0,0.853522654219628,0,0,0,0.0685515209763573,0,0,0,0,-0.139257385520621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581051540256258,0.0238089107917414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.286596427357272,0,0.087059368246322,0,0,0,0.0761101841032062,0,0,0,0,0,0,0.166459145733139,-0.199468051788011,0,0,0,0,0,0.03980340382819,0,0,-0.0248040669463232,0,0,0.0193703059118957,0,0,0.2011311234761,0,0,0,0,0.387260505377929,0,0,0,0,0,0,0.19566824789526,-0.141031684731101,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.374624375382175,0,0,0,0.134845106660624,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.105112454196819,0,0,0,0,-0.240809462484875,0,0.0573254205493536,0.0607525703679429,0,0,0,0,0,0,0,0,0.0693607249337143,0,0,0,0,-0.00534448149695864,0,0,-0.14682407064952,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.102938574462724,-0.0483297694079627,-0.0362889709180783,-0.0137015150380584,0.0984307888768751,0,-0.107001738809348,0,0,0,0,0,0.516779442271636,-0.0425095318794678,0,0.0851265729988526,0,0,0.138091422315005,0,0,0,0,0,0.0284761602371075,0,0,0,0,0.0266769713598793,0,0.242977983897261,0,0,0.097078177079656,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.234144051749443,0,0,0,0,0,0,0,0,0,0,0,0.141183757931788,0,0,0,0.0330999499812863,0,0,0,0,0,0.0353144183775295,0,0.0335181585289526,0,0.0234568110642377,0.285145954099595,0,0,0.176976355022556,0,0,0,0,0,0,0,-0.0556604888691614,-0.225471837823827,0,0.0773261418467053,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0318343168986386,0,0,0,0,0,0,0,0,0.13212187228858,0,0,0,0,0.409290049884044,0,0,0,0,0,0,0.00350041752298308,0,0,0,0,0,0,0,0,0,0,0.0655515698150741,0.182433908696374,0,0,0,0.19027169701702,0,0.0782418631066295,0.0490408266018312,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.00558634979565082,0,0.414399542166212,0,0,0,0,0,0,0,0,0.412338001372043,0,0,0,0,0,0,0,0,0,0.0544759174557692,0.0493643477199505,0,0,0,0,0,0,0,0,0,0,0.013667533977999,0,0,0,0,0,0.0924948465480223,0,0,0,0.229800885976432,0,0,0.0626731919867683,0,0,0,0
