,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X600000.CH.EQUITY,0,0,0,0,0,0.0532957269581819,0.181927398604112,0.0669864935355202,0,0,0.255048237583704,0.0965149431732541,0,0,0,0,0.0675555935268256,0,0,0,0,0,0.0227695237944478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266319780209401,0,0.0116955698284892,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.295671503584519,0,0,0,0,0.123382964017879,0.0978626871290623,0,0,0,0,0.0234624593165376,0,0,0,0,0.292319748568096,0,0,-0.279261022982356,0,0,0.198370187209986,0,0,0,0.16412669376618,0.567461926639529,0,0,0,0.006497378665972,0,0,0,0,0,0,0,0,0,0,0,0.0347328046191059
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0.0197057450893504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712021790719661,0.0281380119613096,0,0.126555575028583,0,0,0,0,0,0.622566147905629,0,0.0112673895367825,0,3.46944695195361e-18,0,0.0548626331406397,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,-0.0832139070894612,0
X2388.HK.EQUITY,0,0,0,0,0.117854451861345,0,0,0,0,0,0,0.222814852465689,0,0,0,0,0,0,0,0.189167041541497,0.101284373735515,0,0,0,0,0,0,0,0,0,0.101565413838641,0,0,0,0,0,0,0,0,0,0,0.0567143482448821,0,0,0.022998523783841,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.126609375771372,0.0124700521141999,0,0,0,0.0849547537757619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215076538019502,0,0,0,0,0.136190215213245,0,0,0,0,0,0,0.065984973273091,0,0,0,0.00105201877915176,0,0,0,0,0,0,0,0,0,0.195879715531749,0,0,-0.03728956699967,0
X267.HK.EQUITY,0,0,0,0,0.256592245503509,0,-0.430071643871258,-0.0270074624456523,0,0,0,-0.003627067761387,0,0,0,0,0.411609224818167,-0.26809159818308,0,0,0.369284462927202,0,0,0,-0.0853090363033105,0,0.0147423749994206,0,0,0.386544442506241,0.0717671833016021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113382673732357,0,0,0,0,-0.0213340808578057,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.231446359039157,0,0,0,0,-0.0521805480763455,0,0,-0.0751905844729185,0,0,0,0,0,0,0,0,0.0843325928461944,0.342648654934446,0,-0.0114537621115478,0,0,0.0114707911098904,0,0,0,0,0,0,0,0,0,0,0,0.31992829331645,-0.099700196066844,0,0,0,-0.151126925107612,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.135806500873287,0,0,0.0567831728039686,0.293706048827327,0,0.00761117460578831,0,0,0.0751833098284545,0.0966890989752831,0,0,0,0,0,0,0.0151796708483739,0,0,0.260834820555186,0,0,0.03210464725492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079514773685779,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0.0607331858163975,0,0.0220224376558095,0,0.424866962786298,0,0,0,0,0,0,0,0,0,0.0374871906604531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276980557162484,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.144639322402184,0.25113689282687,0,0,0,0,0,0,0,0.074238313881801,0,0,0,0,0,0,0,0,0,0.0827091664293779,0,0,0,0,-0.0143928698285438,0,0,0,0,-0.0184887725062981,0.0573108703545985,0,0.0244792725387313,0.331047539267823,0,0,0,0,0,0,0.0123291770200824,0
