,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.178998995544481,0.0768687517049631,0,0,0.384176509514324,0,0,0,0.0317535079015474,0,0,0.0304148796707705,0,0,0,0,0,0,0,0,0,0.207863355667678,0,0,0,0.060380643259788,0,0,0,0.103742811961279,0.0404306422115793,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0843896520952822,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.12840518295539,0,0.00415041639601298,0,0,0.168938302727497,0,0,0,0.295779307861519,0,0.0465282482414657,0,0.0204758398261661,0,0,0.0933747118885869,0,0.071344923082763,0,0,0,0,0,0.00464372683892704,0.132467081420391,0,0,0.0249523916918844,0,0,0,0,0.0151256888315166,0,0,0,0.0836945960157363,0,0,-0.12071954627317,0,0.176187769564207,3.46944695195361e-18,0,0,0,0,0
X600036.CH.EQUITY,0,0.0255917616701832,0,-0.00629088248858542,0,0.111015983822428,0,0,0,0,0,0,0,0,0,0.0271699525056422,0,0,0.0501495996049776,0,0,0,0.00684008253906963,0,0.01341533124693,0.456112525890392,0,0.183258171231847,0,0,0,0,0,0,0,0,0,0,-0.112454044623968,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.497259388235626,0.122020759122027,0,0,0,0,0,0,0.088346984152419,0,0.214318498618153,0,0,0,0,0,0,0.192933788471872,0,0,0,0,0,0,0,0,0,0.0863648616235578,0,0,0,0,0,0,0,0,0,0,0.118450572899837,0,-0.10159065771707,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0.135891149731762,0,0,0,0.418039164703173,0,0,0,0,0,0,0,0,0,0,0.0556985118688768,0,0,0,0,0,0.039896827685985,0,0,0.0545429923407947,0,0,0,0,0.0931099136344311,0,0,0,0,0,0,0,0,0,0,0.0889502890276224,0,0,0,0,0,0,0,-0.0680847544321165
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0929146254529513,0.209856707839199,0,0,0,0,0.0838953110240992,0,0,0,0,-0.19433205621331,0.125671409465854,0,0,0,0,0,0.0358696075328777,0,0,0,0.091736501734752,0,0.0261470979611769,0,0,0,0,0,0.139348041024659,0,0.165531346619705,0,0,0,0,0,0,0.236509663208413,0,0,-0.032448274890578,-0.0186778529389925
X601628.CH.EQUITY,0,0,-0.0986988133387776,0,0,0,0,0,0,0.216085022257738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372871677712782,0.103019003665353,0.0224741039819338,0,0,0,-0.0631613438427248,0,-0.0189292445758494,0,0,0.237662528318813,0,0,0.378799919381633,0,0,0,0,0,0.0189379875225214,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.435745562066702,0,0,0,0,0,0,0.044249776662386,-0.0428374188569153,0,0,0,0,0.236999473179306,0,0,0,0,0,0,0.050786586130927,0,0,0,0,0,0,0,-0.1434655840037,0.0304824655963055,0,0,0,0,0,0,0.0880656925705631,0,0,-0.0244192578574383,0,0.147197080298666,0,0,0,0,0,-0.0734295744395027
X5.HK.EQUITY,0,0.243709338838317,0,0.0863421283768092,0,0,0,0,0,-0.0724022995097845,0.0382983911823658,0.0339891361560631,0,0,0,0,0,0,0,0,0,0,0,0.328083364399767,0,0,0.0981218766713955,0,0,0,0,0,0,0,0,0,0,0,0.1900510230556,0,0,0,0,0,0,0,0.0993476735781978,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.111270151002436,0,0,0,0,-0.0473151237298255,0,0,0,0,0,-0.0274395146871433,0,0.473976991708487,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.153740707312283,0,0,-0.205259438180327,0,0.0315786373353774,0,0,0,0,0.145347590623297,0,0.0787143872045711,0,0.133814286927572,0,0,0,-0.47498702560579,0
