,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.177968755832341,0,0.183075748639411,0,0.159042555739209,0,0,-0.0642126029882762,0,0,0,0,0,0,0,0,0.0727312429125523,0,0,0.139832012218803,0,0,0,0,0,0,0,0,0,0,0,0,0.0669804246540837,0,0,0.00892965268845253,0.0282215309523981,0,0,0,0,0,0,0,0,0.172199260489057,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0640083265636681,0,0.149675263595528,0.0369485140964235,0,0.0251605794955309,0,0,0.206204584405769,0,0,0,0,0,0.302890548453507,0,0,0,-0.0336877614893093,0,0,0,0,0,0,0.0377679679522936,0,0,0,0.17434241531419,0,0.052736908582182,0,0,0,0,0,0.0257022630301626,0,0,0,0,0,0,0,0,0.142608837923333
X601939.CH.EQUITY,0,0,0,0,0.139614288945045,0,0.349690833055797,0,0,0,1.0842021724855e-19,0,-0.164508566939661,0,0,0,0,0,0,0,0.0136665774386652,0,0.590951513055044,0,0,0,0,-0.017130691987183,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252542862048168,0,0,0,0,0,0,0,0,0,-0.122105623785273,0
X601628.CH.EQUITY,0,0,0.103920422722332,0,0,0,0,0,0,0.0861787982430535,0,0,0,0,0,-0.0543974738021104,0.289891885221025,0,0,0,0,0,0,0,0.0395796273862259,0,0,-0.189377777087676,0.00808730018663616,0,0.0398556475731101,0,0,0.337812103300362,0.302020104946328,0,0,0,-0.0379516288039932,0,0,0,0,0,0,0.122711465750346,0,0,0.01278332963448,0,0,0.0420405827471429
X601288.CH.EQUITY,0.0836700019071049,0,0,0,0,0,0,-0.0116296493812819,0,0.0110805838907618,0,0,0,0.0416165655732313,0,0.453507620774738,0,0,0,0,0,0,0.321399967116531,0,0,0,0,0,0,0.000676761688859677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261202701750329,0,0,-0.0157323643962179,0,0,-0.0604827641519199
X600036.CH.EQUITY,0.122499582875024,0.151033073241399,0,0.161574401375586,0,0,0.051435811260187,0,0,-1.73472347597681e-18,0,0,0,0.310316991947439,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.188995028869135,0,0,0.0337217565058564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330648552165704,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0274112067467565,0.22568459629042,0,0,0.225335736571693,0.298994593428738,0,0,0,0,0,0,0,0,0,0.119663000749228,0,0,0,0,0.173162201832639,0,0,-0.0245297488710858,0,0,0,0,0,0,0.0793753684789085,2.16840434497101e-19,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,-0.151794277320651,0,0,0,0,0,0,0.038393647275791,0
X1299.HK.EQUITY,0,0,0,0,-0.13520315276183,0,0,0,0,0.384875697084882,0,0,0,0,0,0,0,0.122309241317277,0,0,-0.0577310727465004,0,0,0.149298712899484,0,0.0429347683033753,0.34183915925486,0,0.0563238596539066,0,0,0,0,0,0,0,0,0,0,0.0258370616454667,0,0.0602565475072794,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.0186962102739623
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0623204648518349,0,0,0,0,0,0,-0.153047729411738,0,0,0.0273918920881963,0,0.0161461657625682,0,0,0,0,0.124452648633496,0.448617908037936,0,0,0,0.134135832195534,0,0,0,0,0,0,0,-0.17556925780292,0,0.257753399203703,0,0.232515571344807,0,0,0,0,0.174165785514896,0,0,0
X388.HK.EQUITY,0,0.179304529672101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142276704428381,0,0,0,0,0,0,0,0.290406514741088,0,0.215830948923757,0,0,0.142520946814385,0,0,0,0,0,-0.105917945496075,0,0,0.253677837586013,0,0,0,0,-0.0642515500796977,0
