,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.123274735870826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165843302594982,0,0,0.445099393442809,0.523212683655727,0,0,-0.227833804550598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00726930692811854,0,0,0,0,0,0,0,-0.0644419089492434
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0689203130991118,0,0,0.0656894582919049,0,0,0,0.183374956472643,0,0.161327380173771,0.256546552369811,0,0,0,0,0,0,0.00977910064911064,0,0,0,0.127719284040989,0,0,0,0,0.0583653817836724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723751435475241
X601939.CH.EQUITY,0,0.0252979786773611,0,0.763943232942193,0,0,0,0,0,0.0073497630592732,0.106620797327215,0,0,0,0,0,0.0889945284649777,0,0,0,0,0,0.00514644226275663,0,0,0,0,0.0122913542251033,0.0672982561767403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.903948894495228,0,-0.0353919575984075,0,0,-0.0465194118946271,0,0,0,0,0,0,0,0.0111492296682437,0,0,0,0,0.0521617432370583,0,0,0.0829407798089315,0,0,0,0,0.0408375924934627,0.0411354965237637,0,0,0,0,0,0,0,0,0,0,-0.148014875827425,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0709178297986067,0.265501935732238,0,0.209230309774265,0.0619934275091835,0,0,0,0,0,0.295903650445332,0,0,0,0,0,0,0,0,0.0143465671509844,-0.0830878806124268,0,0,0,0,0,0,0,0.265928921673254,0,0,0,0,0,0,0,0,0.134878632171547,0,0,0,0,0.069977275362629,0.0424516468829214
X600036.CH.EQUITY,0,0,0,0.348242682073325,0,0,0,0,0.0753061144970202,0,0,0,0,0,0.00436921807081332,0,0.0199590465097223,0.146513979454947,0,0,0,0,0,0,0,0,0.101177717238337,0,0,0.16837354968331,0,0,0,0.0260631869393795,0,0,0,0,0,0,0,0,0,0,0.037417971804325,0,0,0.0433666642924647,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0626912851402626,0,0.0132934803579128,0,0,-0.057223486668211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731054767919495,0,0,0,0,0,-0.0256547588521983,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.000461421510469933,-0.134221696709103,0,0.999764271907979,-1.73472347597681e-18,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0759146564630779,0,0,0,0,0,0,0,0,0,0,0,0.296693549055654,0,0,0,0.0312370848770325,0,0,0,0,0,0,0,0.149618491355214,0,0,0,0.152089907578119,0,0,0,0,0.0963062655852818,0,0,0,0,0,0,0.108904559730084,-0.0586982786471511,0.025357364645841
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.00230235587098451,0,0,0,0,0,0,0,0,0,0,-0.160560850872687,0,-8.67361737988404e-19,0,0,0,0.165034902913493,0.354902578757207,0,0,0,0,0,0,0,0,0,0,0,0,0.00862320500205165,-0.0222547790412923,0,0,0,0.276843387444413,0.132290410053233,0,0,0,0,-0.320602194160157,0,0
X388.HK.EQUITY,0,0,0,0,0.214114434820264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121929427910318,0.253758820467645,0,0,0,8.67361737988404e-19,0,0.12814585874024,-0.0141912189903444,0,0,0,0,0.126784542708959,0,0,0,0,0,0,-0.00434450178262822,0,0,0,0,0,0,-0.183542206147624,0,0,0,0.288894662469969
