,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.254638363798056,0,0.0538534205292506,0,0,0.305144695015111,0,0,0,0.132363381368452,0,0,0,0.0419881474864767,0,0,0,0,0,0,0,0,0.124162980263932,0,0.0211765924048547,0,0,0,0,0.0254009824270054,0,0,0,0,0,0.119207570549235,0,0,0,0,0,0,0,0,0,0,-0.0106572516118915,0,0,0
X601318.CH.EQUITY,0,0,0.245645977219768,0,0,0,0,0,0.0732332665461534,0,0.0597737184978093,0,0.0377971385156469,0,0.181286417162714,0,0,0,0,0,0,0.0720174420775109,0,0,0,0,0,0.153700731010406,0,0,0,0,0,0,0.0377283142036055,0.0180169019053383,0,0,0,0,0.0803700003106751,0,0,0,0,0,0,0.00760546403939548,0,0,0,0
X601939.CH.EQUITY,0.386196649977022,0.0922917917194048,0,0,0,0,0,0.00692432856512396,0,0,0,0,0,0,0,0,0.173958585440499,0.154795397453125,0,-0.0860103421345119,0,0,0,0.0317795207162432,0,0,0,0.148649890380224,0,0,0,0,0.323683584558628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,-8.67361737988404e-19,0,0,0,0.0424261157376972,0.481001282278636,0,-0.0713503467556802,0,0.090614173753313,0,0,0,0,0,0,0,0,0,0.0181737881360604,0.0263872430927342,0,0.129364920584016,0,0,0.109479208649432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130667233186888,0.0680550153351511,0,0,0
X600036.CH.EQUITY,0,0.0401226937057922,0,0,0,0.259163301179047,0,0,0,0,0,-0.0497501444187487,0.145771712014499,0,0,0.179908795854439,0,0.0161427955807437,0,0,0,0,0,0.444397932754882,0,0,0.118916498213783,0.0374935761262076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084224331913816,0.121674795902751
X1299.HK.EQUITY,0,0,0,-0.0891238261935578,0,0,0,0,0,0.180970142904455,0,-0.0511216362526523,0,0,0,0,0,0,0,0,0.0468670872710061,0,0.154430021883194,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.105734498852768,0,0,0,0,0.148273691629117,0,0.134908778566248,0,1.73472347597681e-18,0.114545657275161,0.0447481486210271,0,0,0,0,0.20474793535071,0,0,0
X601628.CH.EQUITY,0.0147649067127052,0,0,0,-0.0388439332968616,0,0,0,0,0,0,0,-0.002611078461308,0,0,-0.302620623353534,0,0,0,0.243934696822533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526126590413954,0,0,0.627184370138938,0.13578883610264,0,0.0173267789339988,0,0,0,0,0,0,0,0,0,0.011463576516171,-0.0737780381658441,0.17651126051837
X601988.CH.EQUITY,0,0,0.0746715580249418,0.490603515207602,0,0,0,0,0,0.0748626872656716,0,0,0.117058083820428,0,-0.0108541894567096,0,0.151532304136031,0,0.016426874175644,0,0,0,0.0544661137763793,0,0.0331958312077587,0,0.0211383255773642,0,0,0,0.0557847118127428,0,0,0,0,0.0305233162710015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.237427630139999,0,0,0,0,0,0,0,-0.0841245868402778,0,0.127104980033277,0,0,0,0,0,0,0,-0.18274271304799,0,0,0.0730470396673982,-0.0103941576191343,0,0.259276012476681,0,0,0,0,0,0,0.0238018838507514,0,0,0,0,0,0,0,0,0.20675716429644,0,0.135666391711766,0,0,0,0,0,0,0,-0.198219301908587
X388.HK.EQUITY,0,0,0,0,-0.298274591075936,0.270288868752214,-0.0314144551500079,0,0,0,0,0,0,0,0,0,0,0,0.279370660816429,0.322960742057375,0,0,0,0,0,0,0,0,0,0,0,0,-0.083531394422515,0,0,0,0,0,0.116918308019322,0,0,0,0,0,0,0.0438775697835031,0,0,0,0,0,0
