,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0242382023359765,0.431633956170397,0.10309463659453,0.0814180161908983,0,0.0309105239805775,0,0,0,0,0,0.0480950671283055,-0.0058284308563026,0,0,0,0.0565130802387492,0.0382438063805524,0,0,0,0,0,0.106535000106945,0,0,0,0,0,0.0133490555766075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172288006609739,0
X601318.CH.EQUITY,6.93889390390723e-18,0,0,0,0,0,0.0748891713067325,0,0,0.0753369252866003,0,0,0,0,0,0,0,0.223892479327141,0.0423336020443275,0,0,0,0,0,0,0,0.106211601277325,0,0,0,0,0,0,0.0761005157173541,0,0,0,0,0,0.29916051206726,0,0,0,0.0412113934576219,0,0.0257667631067778,0,0,0,0,0
X601939.CH.EQUITY,0.468658741094266,0,0,0.180583561716454,0,0.111488315310694,0,0,0,0.01662370783245,0.136108222175996,0,0,0,0,0,0,0,0,0,0,0.00112186132218613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506494800979112,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.445702293954712,0,0,0,0,0,0,0,0,0.214477982769768,0,0,0,0,0,0,0,0.0893726576611381,0,0,0,0,0,0,0.0801009885729839,0.0313890467784964,0,0.0324261385103486,0,0.0824004402116864,0,0,0,0,0,0,0,0,-0.0307368718460449,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.464185568456692,0,0,0,0,0,0,0,0,0,0,0.146082244654611,-0.373570223059452,0,0,0,0,0,0,0,0,0,0,0,0.121444685222828,0,0,0,0.438527982099406,0.0301928649384808,0,-0.601393265117808,0,0,0,0,0,0,0,0,-0.282982270256671,0,0,0,-0.315686876543301,0
X601988.CH.EQUITY,0,0,0.32577665894123,0,-3.46944695195361e-18,0,0,0,0.0191738287285842,0,0,0,0.10756527914688,0,0,0,0,0.0409917785054288,0,0,0,0,0.574197902510603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300494780857561,0,-0.0398260177052071,0
X600036.CH.EQUITY,0,0.0144868479365364,0,0,0,0,0,0,0.0437636512121344,0,0,0,0,-0.00693761575184085,0,0,0,0.024878633301708,0,0,0,0,0,0,0.693326527713274,0,0,0,0,0.116694428468216,0,0.000590897398028443,0,0,2.16840434497101e-19,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328767165066735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957912852716559,0,0,0,0,0,0,0.13514060242241,0,0,0.119649904079042
X601628.CH.EQUITY,0,0,0,0,0.0185643524013569,1.73472347597681e-18,0,0,0,0,0.131927911503105,0,0,0,0,0.0210927673052287,0.00725620001468996,0,0,0,0,0,0,0,0,0,0.0704791134499538,0,0,0,0,0,0,0,0.281676793150366,0,0,0,0,0,0.0879311003174103,0.197884228199558,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.155349967361185,0,0,0,0,0,0,0,0,0,0.105850925657584,0,0,0,0,0,0,0,0.0225310435726082,0.091430849289188,0,0,0,0,0,0.112291913833022,0,0,0,0.0607297317993198,0,0,0.0571057325899133,0,-0.0244531355102204,0,0,0,0.168354736721195,0.244336728454517,0,0,0,0,0,0,0,0.0196701022928383,0,0
