,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.323293860259136,0.273554998545729,0,0.0193733866980252,0,-0.0986090767398032,0,0,0.199165360436347,0,0,0,-0.144224705521325,0,0,0.0963809753064214,0,0,0,0,0.0112660608479777,0,0,0,0,0.0683857928524243,-0.0907745361227299,0,0,0.123214972873769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105526140044105,0,0.0260541584667376,-0.0490927439329048
X601318.CH.EQUITY,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.168950708669336,0,0,0.222882515202621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276030593818201,0,-0.107293972726205,0,0,0,0,-0.232115599613731,0.391746021404312,0,0,0.195714982195695,0,0,0,0,0.117771096669165,-0.00574793164726843,-0.0212580067341768,0
X601939.CH.EQUITY,0.413557392484679,0,0,0.0934884394301808,0.101439236122908,0,0,0,0,0,0,0,0.132712816933029,0,0,0,0,0,-0.0360716259402096,0.123842013943365,0.00802528830135462,0,0.0423852381187162,0.0437990642548757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310924579915246,0,0,0,0,0,0,-0.16571476732351,0,0,0,0,0
X601288.CH.EQUITY,0.367745995825146,0,0.205152518251342,0,0.15848886891743,0.0731022733434678,0,0.04340128859907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085343144264802,0,0,0,0,0,0,0.0299308675225797,0,0,0,0.0306673036808697,0.17547902829773,0,0,0,0.0444320002981481,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.0747913863303761,0,0,0,0,0,0,-0.346173580770785,0,0.176306703797153,0,0,0,0,0,0,0.156510514216392,-0.15813767485062,0,0.085956163518147,0,0,0.390796599145142,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,-0.0100290337734986,0,0,0,0.0526592344569788,0,0.159902029506489,0,0,0.0588967437230252,0,0,0,0,0,-0.393872858218665,0
X601988.CH.EQUITY,0.0975109071611381,0,0.182700228259136,0.140354693254768,0.0143675236500701,0,0,0.0718042880596295,0,0.125310426944156,0.265751931197239,0,-0.0165077573372982,-0.346296570906209,0,0,0,0,0,0.0187212424736175,0,0,0,0,0,0,0.0951239333466344,0,0,0,0,0,0,0,0,0,0,0,0,0.0214755714388854,0.0543865846574064,0,0,0,0.147719751700095,0,0,0,0,0,0.0912076011152759
X600036.CH.EQUITY,0,0.33303661071745,0,0,0,0,0,0,0.0264536559433427,0,0,0.10300593233129,0.17221659165218,0,0.0570884346847952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156099920978681,0,-0.0382529999538769,0,0,0,0,0,0,0.154799353320071,0.0336291458050418,0,0,0,0,0.0788049863352498,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.242351535167128,0.001170682721338,0,0,0,0,0.108070039684639,0,0,0,0,0,0,0,0,0,0,0.136740708978411,0.0646685884141944,0,0,0,0,0.0130927911627135,0,0,0,0,0,0,0.0335418967482505,0,0,0,0,0,0,0.154717092652966,0,0,0,0,0,0,0,0.0980922048505747,0,0.101991769319
X1299.HK.EQUITY,0,0,0,0,0,-0.0321009528457754,0.211927403409566,0,0,0.0507158538058594,0,-0.0496991304575734,-0.078923128677602,0,0,0,0.347153426629075,0.237148964218566,0,0.106635926616656,0,0,0,0.054237702997287,0,0,0.136098296100356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533351068071048,0,0,-0.0799080575193009,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.217481303702223,0,0,0,0,0.0753002384675013,0.0693895871205765,0.0793555204472573,0,0,0,0,0.123420700797609,0,0.328901111086932,0,0,0,0,0,0,0,0,0,0,-0.0742510962291479,0.0190540020410727,0,0,0,0,0.412519391101054,0,0.20337490440545,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0
