,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0959835945785284,0,0.367058946606383,0.0742723218951494,0.0482105641618415,0,0,0,0,0,0,0,0,0,0,0.10311386083478,0,0,0,-0.10430748998091,0,0,0,0,0,0,0,0.0735558297842572,0,0.0616041124097659,0,0,0,0,0,0,0,0,0,0.0479232278825376,0,0.0682075059399421,0,0,0,0.113229158579233,0.0201753720046149,0.278272525699292,0.0827986016148123,0
X601318.CH.EQUITY,0,0,0.0482032379344688,0.154569169215588,0,0,0,0,0.126923857838788,0,0,0.0649979262316963,0.0223179744598292,0,0,0.019271328061618,0,0.123807543822672,0,0,0.181854638447437,0,0,0.119931772232731,0,0,0,0,0,0,0.0572494518028187,0,0,0,0.00564923223542275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120332628307926
X601939.CH.EQUITY,0,0,0,0,0.215817192662749,0,-3.46944695195361e-18,0,0,-0.0372253959785763,0,0.151457352396133,0,0.0518370841776909,0,0,0,0,0.127623729536961,0.00836544262077323,0,0,-0.0205626052164582,-0.147746331734703,0.484074589611853,0,0.142662326625345,0,0,0.0283828864655747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043771502595127,0
X600036.CH.EQUITY,-3.46944695195361e-18,0.193897289350439,0,0,0,0,0.103301310147938,0.109680526414299,0,0,0,0,0.174469017176779,0.0708835080722766,0,0,0,0,0,0,0,0,0,0,0,0.255928783174878,0,0.060855097851275,0,0.0146661924433357,0,0,0,0,0,0,0,0,0,0.0344061462111606,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.111261522752667,0,0.0872625307623034,0,0,0.140955639694217,0,0.314818231444689,0,-3.46944695195361e-18,0,0.0661994200158335,0,-0.00651247228836115,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.131279275112031,0,0,0,0,0,0,0,0,0,0,0,0,0.0724491986028364,0,0,0.102923154138861,0,0,0,0,0,-0.0719565729048696,-0.0696843890279033
X601628.CH.EQUITY,0.133456738452366,0,0,-0.0328239168237088,0.0337648540080019,0,0,0,0,0.13699150989758,0,0,0,-0.110725702338533,0,0,0,0,0,-0.0526025335235574,0,0,0,0.0721933876263293,0,0,0,0,0,0,0,0,0,0,0,0.656171864906926,0,0,0,0,0,0,0,0,0,0,0,0.107887396858017,0,0,0,0.144046744279314
X1299.HK.EQUITY,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.145264010463661,0,0,0,0,0,0,0,0,0,0,0,0,0.103742613250584,0,0,0,0,0,-0.267781352515059,0,0,0.00125765848907623,0,0,0,0,0,0,0.0780107221807485,0.301273343390445,0,0.16063121105127,0.0689712148535612,0.106967026284969,0,0.0521513938489845,0,0,0,0,0,0
X601988.CH.EQUITY,0.0340481318845992,0,0,0.197156819481696,0.450665475792111,0,0,0,0,0,0,0,0.106694161121559,0,0,0,0,0,0,0.0994866994863101,0,-0.0582334130520175,0.16910620645514,0,1.73472347597681e-18,0.249508670665226,0,-0.0864000018511064,0,-0.0747530247381515,0.128043688200135,0,-0.105717201840396,0,0.085587380569423,0,0,0,0,0,0,0,0,0,0.021737194645952,0,0,0,0.186126047788446,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0158659985907211,0,0.0406664118033557,0,0.0184316389190567,0,0,0,0,0,0,0,0,0,0,0.203888882619484,0.107847167973259,0.157796885741201,0,0,0,3.46944695195361e-18,0,0,0.0311353381642507,0,0,0,0,0.00373931390362209,0,0,0,0.245035293200043,0,-0.0700313011856863,0,0,0.189356951619373,0,0,0,0.0594058433410683,0,0,0,0
X388.HK.EQUITY,0,0,-0.124540689405832,-0.0157681211131448,0,-0.152733213510449,0.16017779781501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870246320099187,0.484834570699494,0,0,0,0,0,0,0,0,0.113850641962828,0,0,0,0,0,0,0,0.141499688189027,0,0,0,-0.0057460994637106,0.0730812487105531,0,0,0,0,-0.00988831252809664,0
