,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0705318044506762,0,0,0,0,0,0,-0.0701846432553552,0,0,0,0,0,0,0,0,0,0,-0.194807931576205,0,0.0433959937800237,0.713910903024061,0,0.562898642710233,0,0,-0.220725786301446,-0.11952598514215,0,0,0,0,-0.0444943588430903,0,0,0,0,0,-0.0537548294198171,0,0,0,0,0,0,0,0,0,0.0666795167132444,0
X601318.CH.EQUITY,0,0,1.38777878078145e-17,0,0,0.327507879479924,0,0,0,-0.0635693866562051,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0851722383228029,0.0972652452300967,0,0,0,0,0.223936265551393,0,0,0,0,0,0,0,0,0,0,0,0,0.0571254031721111,0,0,0.0530598913301303
X601939.CH.EQUITY,0,0.0809460353889973,0,0.802718435020885,0,0,0,0,0,0.0444231615465632,0,0,0.0169190177800549,-0.00808045258071413,0,0,0,0.0802546358636319,0,0,0,0,0,0,0.0252524502685144,0,0,0,0,0,0,0,0,0,0,0,0,0.0678390587931701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.891827520398515,0,-0.046755195262185,0,-0.0656034015935857,0,0,0.00927176214454216,0,0,0,0,0,0.0170177408216679,0,0,0,0,0.0287965043908364,0,0,0.144861560922099,0.067915449498281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145314369624066,0,0,0,0,0,0,0,0,0,0.0205953163564737,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.310923325922883,0,0.0637317996538196,0,0,0,0,0,0,0,0.241323181634332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902196774386124,0,0.202329344289528,0,0,0,0,0,0,0,0.11899524847175,0,0.192394207878287,0,0,0.0551056374461142,0.0817406242166658
X600036.CH.EQUITY,0,0,0.07192742974827,0.257133459150424,0,0,0,0,0.0479894223952412,-0.00689222746313215,0,0,0,0,0,0,0.176057648358912,0,0,0.0201336233578427,0,0,0,0,0.0238490423452218,0,0,0.18755694873173,0,0.0312187094895846,0.128864675563445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04237851245281,0,0,0,0,0.0317384628903197,0,0
X1299.HK.EQUITY,0,0,0,0,0.0415553536399692,0,0,0,0,0.128763074684484,0,0,0,0,0,0,0,0,0,0,0,0,0.295926075385414,0,0,0,0,0,0,0,0,0,0.145454421776178,0,0,0,0.0824735789725515,0,0.0820181996274706,0,0,0,0.104751733478248,0.0268424775887739,0,0,0,0.145071869663526,0,0,-0.00667912993732889,0.0468286030669489
X601988.CH.EQUITY,0,0,0,0.0868441294902606,-0.0451209768828836,0,0,0,-0.0203635637704781,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0178475976702728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124237541577603,0,1.00250001239937,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.0135686818546568,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0453835086087434,-0.13019642204975,0,0,0,0,0.042416879379076,0.164877390985653,0.316841279873422,0,0,0,0,0,0,0,0,-0.148592351754691,0,0,0.0128499956615544,0,-0.0439545616236453,0,0,0.0982954960004529,0.0950382849018007,0,0,-0.129405497365361,0,0.153806333543323,0.0258111667813053,0
X388.HK.EQUITY,0,0,0,0,0.226020942981133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144197357070592,0,0.274500485804749,0,0,0,0,0,0.0989823423409827,0,0,0,0.0839594933424221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17085469697279,0,0.267949672151115
