,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0475422263118455,0,0.127205936368573,0,0,0,0,0,0,0,0.379723316024659,0,0,0,0,0,0,0,0,-0.0592930299650212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141038947772363,0,0,0.14364041419937,0,0,0,0,0,0,0,0,0,0.186689930711651,0.0708839517932034,0,0,0.103213198411165
X601318.CH.EQUITY,0,0,-0.110355481761412,0,0,0.0718550246848606,0,0,0.167326077334253,0,0,0,0.112222861569686,-0.0257019963088924,0,0.282695147738135,0,0,0,0,0,0,0.0389622728792622,-0.00591790658440467,0,0,0,0,0,0,-0.189532056397644,0,0,0,0.312177609307096,0,0,0.031874164490874,0,0.233372835062229,-0.187409610516719,0,0.183243964797065,0.133462480866334,0,0,0,0,-0.0810720463541166,0,0,0
X601939.CH.EQUITY,0.617451326092433,0,0,0.0278754001265706,0.0341594740655821,0,0,-0.0754608886887036,0,0,0.173231580206476,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370824642046207,0,0,0,0,0,0,0,0.274283379670751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.317005734397678,0,0.0721749244237359,0,0,0.3435750877774,0,0,0,0,0.0337751784267625,0,0,0,0,0,0,0.0482418356982394,0,-0.0536932993064304,0.0662798435583808,0.0646407166967856,0,0,0,-0.0177135945836085,0,-0.0968105143487335,0,0,0,0,0,0,-0.102546763416163,0,0,0,0,0,0.200189361204966,0,0,0,0,0,0,0.159471987419507,0,0,0,-0.0298386769995632
X5.HK.EQUITY,0,-0.0506712959607664,0,0.0419904684981633,0,0.212703266875641,0,-0.16466989325015,0,0,0,2.77555756156289e-17,0.224022867669547,0,0,0,0,0,0,0,0,0.534485615955697,0,0,0,0,0,0,0,0,0.23596240843323,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.101539337116536,0,0,-0.0223774952680954,0
X601988.CH.EQUITY,0.152795959775358,0.0866207902448324,0.362314908215906,0,0,0,0,0,0.163776915891329,0,0,0.0527403326878931,0,-0.132129282510819,0,0,0,0,0,0,0,0.112831091349064,0,0,0,0.00206198015031211,0,0,0,0,0,0,0,0,0,0,0,0.0987623628063784,0,0,0,0,0,0.0892261169105361,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0471525487848765,-0.0738190872924992,0,0.291220731803787,0,-0.0541684144836494,0.0373702585043763,0,0.303271296150748,0,0.20080733600862,0,0,0,0,0,0.0519437306675576,0,0,0,0,0,0,0,0,0.0257430917691362,0,0.0088788991334652,0.0261726978483116,0,0.109008350530998,0,0,0,0.0543191417003999,0,0,0.0302828798394152,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0147208130192137,0,0,0,0,0.0107178002376794,0,0,0,0.137323771745304,0,0,-0.167542833820693,0,0.0681176417018626,0,0.210278987857902,0,0,0,0.00822372967902846,0,0,0.245258989469112,0.100655979726632,0.0542003917216679,0,0,0,0,0,0.0780340634384397,0.0773716593371643,0,0.00811025278096327,0,0,0,0,0,0,0.0177606492758804,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.145933219257902,0.175147936238119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104525586186979,0,0,0,0,0.258968724072932,0,0.0319346493124208,0,-0.120651910329458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762080731008212,0,0,0,0.0305731669873684
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.0573150440939665,-0.339839180071207,0,0.216649759961273,0,0,-0.490048826835183,0,0,0,0,0,0.290909005761568,0,0,0,0.337201599861399,0,0,0,0,0.0848414341625346,0,0,0.104871532467398,0.180503733402518,-0.309958398960856,0,0,-0.532872434766704,0,0,0,0,0,0.763311903238097,0.145432696276331,0,0,-0.12238224566806,0,0.340787304361849
