,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.681915830873195,0,0,0,0,0,0,0,0.0459471998039006,0,0.104997713406175,0,0,0,0,0,0,0.00707829767861931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0269772032932607,0,0.0711184546095677,0,0,0,0,0,0,0,0,0,-0.00429126512344339,0.0168421945155788
X601939.CH.EQUITY,0.160744565839475,0,0,0.352927698711433,0,0.231145126769823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569524486534597,0,0,0,0,0,0,0.0993069378390113,0,0,0,0,0,0.0464496169536425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492836401093666
X601318.CH.EQUITY,0,0.0175147572538635,0,0.0917758842216957,0,0,0,0,0,0,0,0,0,0,0,0.00884796346132371,0,0,0.192522149395803,0.00916996383960907,0,0,0,0,0.0104296405611583,0.0468507252718999,0,0,0,0,0,0,0,0.214086139649407,0.0165907399704181,0.0441250005774413,0,0,0,0.235099139237926,0,0,0,0,0,0.0861970698025421,0,0,0,0,0
X601288.CH.EQUITY,0.289358239029186,0,0,0,-0.027103857962646,0,0,0,0,0.115196518408529,0,0,0,0,0,0,0,0,0.0632992850768161,0,0,0.05667250487702,0,0,0.0304931671854032,0.259784799761603,0,0,0.0354509155581665,0.0699989267113443,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.073367363822074,0,0,0,0,0
X5.HK.EQUITY,0,0,-1.73472347597681e-18,0,0,0.159060678625297,0.0654975826027167,0,0,0,0.453758147922795,0,0,0,0,-2.77555756156289e-17,0.255115334660099,0.0143254750035872,0,-0.352753963968309,0,0,0,0,0.351426978833501,0,0,0,0,0.183295858292422,0,-0.00308674180705097,0,0,0,0,0,-0.251242395459502,0,0,0,0,0,0,-0.185714673000173,0,0,-0.0576622890611171,0,-0.313594311456756,0
X601988.CH.EQUITY,0.087205892025555,0.0666517788314724,0,0,0.0351667190328299,0,0,0,0,0,0,0.0448106054232738,0,0,0,0,0,0,0.0383604662000818,0,0,0,0.597605471926549,0,0,0,0,0,0,0.0975313758083319,0,0,0,0,0,0,0,0,0,0.0600146288575331,0,0,0,0,0,0,0,0,0.0372558762784861,-0.0887560023187401,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.00736448349806221,0,-0.0172651362932297,0,0.0547440124975716,-0.0152234385109035,0,0,0,0.235765725270855,0,0,0,0.232570643072336,0,0,0,0.0288077695212251,0,0,0,0.057832600825067,0,0,0,0,0,0,0,0,0.0664461528984874,0,0,0,0,0,0,0,0,0,0,0,0,0.0963275425462503
X600036.CH.EQUITY,0,0,0.00964237628267038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788177062673077,0,0.00558458684052283,0,0.0709540482925764,0,0,0,0,0,0,0,0,0,0,0,0,0.015094313811834,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.124963728501127,0.0917874628569704,0,0,0,0,0,0,0,0,0,0,0,0.0241669300369894,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.355015883361151,-6.93889390390723e-18,0,0.0424503676208954,0,0,0,0.0862648644389818,0,0,0.115914377795611,0,0,0.0327845547227155,0,0
X601328.CH.EQUITY,1.73472347597681e-18,0.00247357192177883,0,0,0,0,0,0.1890402326236,0,0,0,0,0,0.113146059678104,0,0,0,0,0,0,0,0.322215038582877,0,0,0,0,0,0.040325781158604,0,0,0,0.00478096654839285,-0.00123371087779041,0.0164110113674615,0,0,0,0,0.0724791698955471,0.236255127450039,0,0.0566819304483617,0,0,0,0,0,0,0,-0.0186649837990825,0
X601166.CH.EQUITY,0,0.223735367899458,0,0,0,0,0,0.151861216514727,6.93889390390723e-18,0.082601771746154,0,0,0,0.24146490560935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748378246022343,0,0,0,0,0,0,0,0,0,0,0,0.0799065325146143,0,0,0,-0.0403715518895436,0.00235724768885336
X11.HK.EQUITY,0,0,0,0,0,0,0.170761349537208,0,0,0,0,0,0,0,-0.0226202661308631,0,0.159870455806927,0.264884352227004,0.109784567937284,0.13392282285723,0,0,0,0,0,0,0.139870756826215,-0.178699113338872,0,0,0.0207267876885395,0,0.213952145408703,0,0,0,0,0,0,0,0,0.0735330216763223,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0.138180856133805,0,0,0,0,0,-0.0825282715457472,0,-0.127847975095005,0,-0.136753726956572,-0.131936556822249,0,0,0,0,0,0,0,-0.0280109724206583,0,-0.0424657445361117,0,0,-0.0654817749258524,0,0.160574279380625,0,0,0.135635310800995,0.240010489168998,0.260861259096292,0.325784523842847,0,0,0,0,-0.00014187284780633,0,0,0.00775013815126018,0,0,0,0.172273730528566,0.0353313342022797,0,0,0,-0.0854211514529293,0
X600000.CH.EQUITY,0,0,0,0,0.0271400897454164,0,0.0662874119522193,0.180037625492575,0,0,0.223362953469112,0.0880600241306899,0,0,0,0,0.0470106767302664,0.0187561630925119,0,0,0,0,0.0521855650871913,0,0,0,0,0,0,0,0,0,0.011649841148968,0,0,0,0,0,0,0.188645765334499,0,0.0180127738701294,0,0,0,0.0981843712812732,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,-0.340670248480687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40278584152755,0,0,-0.27179977441595,0,0,0.200963861266131,0,0,0.123207989122822,0,0,0,0,0.437413716074573,0,0,0,0,0,0,0,0,0.113507291014411,0,0,0,0.100871516502765
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370593434336077,0,0,0,0,0.0799122936749563,0.0111297314012507,0,0.128728731358766,0,0,0,0,0,0,0.6135479176496,0,0,0,6.93889390390723e-18,0,0,0.0571068680484245,0,0,0,0,0,0,0,0,-0.0769847326353747,0
X2388.HK.EQUITY,0,0,0,0,0.0609744390344016,0,0,0,0,0,0,0.28879478938182,0,0,0,0,0,0,0,0.161751395001282,0.209489901437965,0,0,0,0,0,0,0,0,0,0.192382565918301,0,0,0,0,0,0,0,0,0,0,0.0197206547440724,0,0,0,0.0755283786319741,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0.0173813391540175,0.387713527796497,0,-0.223303546019801,0,0,0,0,0,0.247856113502943,0,0,0,0.117824301170876,0,0,0.0648082186699057,0,0,0,0,0,0,0.113885818301304,0,0,0.262258074759961,0,0,0,0,0,0,0,0.0576915414264808,0,0,0,0,0,0,0,0,0,0,0,0,-0.00671374825000357
