,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0405107987770198,0,0.123942865216888,0,0,0,0,0,0,0,0.428759383100892,0,0,0,0,0,0,0,-0.0918059536704889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126069441131189,0,0.153451888683262,0,0,0,0,0,0,0,0,0,0,0.192727427709054,0.0416570160683667,0,0,0.122088738779488
X601318.CH.EQUITY,0,0,0,0,0,0.0956244733313122,0,0,0.164694650153352,0,0,0,0.213458313943566,-0.0695817555203227,0,0.251365404935267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104575682939535,0,0,0,0.226116668343324,0,0,0,0,0.220250639052374,-0.255058980709477,0,0.174773883821128,0.0969059675967138,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.626780786295775,0,0,0,0.0224834553210744,0,0,-0.033609674526595,0,0,0.17264758874651,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.000361393251836728,0,0,0,0,0.032426194669597,0,0,0.277235355299537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.271497240847941,0,0,0,0,0.416806375461898,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0978956116125391,0,0.0403197910030041,0.0189139790230978,-0.071346538611059,0,0,0,-0.0219534197186036,0,0,0,0,0,0,0,0,-0.0582677095085209,0,0,0,0,0,0.222979931895525,0,0,0,0,0,0,0.0865190372989382,0,0,0,0
X5.HK.EQUITY,0,-0.0792084343092948,0.0372106774002579,0.226009770754261,0,0,0,0,0,0,0,0,0.0708534533499136,0,0,0,0,0,0,0,0.431019250755823,0,0,0,0,0,0,0,0,0,0.376315035981864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160821140232375,0,-0.159499744051219,-0.0677184816314846,-0.0488621492116022
X601988.CH.EQUITY,0.225897645906225,0.0686859996110757,0.214594815184548,0,0,0,0,0,0.161589732916186,0,0,0.0871261889205466,0,-0.178833604218363,0,0,0,0,0,0,0.0776764207394121,0,0,0,0,0.0562382000607737,0,0,0,0,0,0,0,0.0877187919163331,0,0,0.0143572948732776,0,0,0.0615865441417406,0,0,0,0.0938533392674445,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.202987200127591,0,-0.03293983949202,0.0316310347434132,0,0.236893505108668,0,0.278557413103906,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0.0463582942620635,0,0.0820960106035995,0.0347877302696245,0,0.0954267508179272,0,-0.000725328526257828,0,0.034356606193767,0,0,0,0,0,0,0,0,0,0,0.00133558457464359,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.106379481274263,0,0,0,0.112569464012606,0,0,-0.112151055277127,0,0.0234869919293692,0,0.236118273304658,0,0,0.0263490239364253,0,0,0,0.0471542458942643,0.0658660514141698,0.091016089874253,0,0,0,0,0,0.0121234937435296,0.212867223516755,0,0.0313625218070168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.148031048870026,0.174463908347654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102502431858704,0,0,0,0,0,0.26045257277613,0,0.0319980136620999,0,-0.121173572616829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765403266523453,0,0,0,0.0306618025800821
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.132805341936811,-0.334012182114403,0,0,0,0,0,0,0,0,0,0,0.409795250290039,0,0,0,0.113340701409766,0,0,0,0,0,0,0,0.0689158716549271,0,0,0,0,-0.619025046694213,0.120370298891769,0,0,0,0,0,0.765594408426322,-0.0490736290926038,-0.289998489363266,0,0,0
X601166.CH.EQUITY,0,0,0.0356417869764728,0,0,0,0.464387176305031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00458279817057699,0,0,0,0.114155712516196,0,0,0.280003238585765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176422808074742,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.137844988865003,0.0171094147548656,0,0,0.0607965413521556,0,0,0,0,0,0.485674027773775,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589829797585486,0,0,0,0,0,0,0.0401761386189108,0.105371408827389,0,0,0,0,0,0.027052216055754,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0212399635902601,0,0
X600000.CH.EQUITY,0,0.124179483510425,0,0,0.0410939366202417,0,0.263350933593267,-0.0922845736823219,0,0,0,0.325925325376586,0,0,0.0635718899745643,0,0,0,0,0,0,0,0,0,0,-0.0281046381558592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201647450801073,0,0,0.109703312471389,0,0.279306750220924,0,0,0,0,0
X000002.CH.EQUITY,0.0962038267772866,0.0642538937371834,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0293892735289374,0,0,0,0,-0.10428296016027,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.471060418825968,0.114729174718109,0,0,0,0,0,0.276489977531728,0,0,0,0,0,0,-0.134061588316911,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.281462971320745,0,-0.119397496372491,0,0,0,0.050889606883164,0,0,0,0,0.109762901469272,0.166530538184533,-0.0780174946203987,0,0,0,0.20543123676498,0,0,0,0.168278852106676,0.282948053921737,0,0,0,0,0,0.286753744447251,0,-0.159497236632103,0,0,-0.127866947648498,0,0,0,0,0.198615362257194,0,0,0,-0.0171515824901383,0,0,-0.0325134782899191
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.219764988191428,0.159066218283648,0,0.211175944999438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486026316066447,0.0951376420170217,0.114640047863676,0,0,0,0,0,6.93889390390723e-18,0,0.0643721292698674,0,0.0353927832763863,0,0,0.212979431305373,0,0,0,0,0,0,0,0,0,0,0.0784689957949878
X16.HK.EQUITY,0,0,0,0.062800894206284,0,0,0,0,0,-0.130043315047965,-0.0315241048463085,0,0,0,0,0,0,0.0546454475531232,0,0,0,0,0,0,0.341116276810818,0,0,0,0,0,0,0.203947959830263,0,0.0974364490383909,-0.0192477822067946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0342917881377854,0.037680944223623,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0.569566780209472,0,0.00640526769508529,0.0443500436507866,0,0,0,0.0532669676663052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469741886516682,0.259285198456004,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202286647288347,1.38777878078145e-17,0,0,0.153459843531401,-0.112902923049948,-0.124593724610931,0,0,0.207292920171605,0,0.440682536933245,0,0,-0.0125984996035658,0,0,0,0,0,0,0,0,0.0303908210473438
X688.HK.EQUITY,0,0,0,0.196586657338316,0,-0.31487791117424,0,0,0.286866332702701,0,0,0,0,0.291941773413274,0,0,0.131911556664427,0,0,0,0,0,0,0,0,0,0.434801077756429,0,0,0,0,0,0,0,0,0,-0.194568759471921,0,0,0,0,0.081135199841174,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.388872203322786
X11.HK.EQUITY,0,0.0478753681741222,0,0.0386900203712627,0.0786970719504592,0,0,0.00602364515066406,0,0,0,0,0,0,0,0,0,0.14119442562653,0,0,0,0,0,0,0.448432279356764,0,0,0,0,0,0,0.0106439728713787,0,0,0,0,0.115816827495943,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
