,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.308887545246894,0,0.381074323807574,0,0.0531285430752732,0,0,0,0,0.113043481267617,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0175221348749557,0,0,-0.0613718736333201,0,0,0,0,0,0,0,0.0196215048595432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498179548208917,0,-0.105302667097543,0
X601939.CH.EQUITY,0.395947915774388,0,0,0.224134650129567,0,0,-0.107690426566132,0,0,0.00606558236655204,0.00381494380032846,0,0.196242235746368,-0.0641889137577279,0,0,0,0,0,0,0,0,0,0,0,0.0021107118023336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204193219177751,0,0,0.0224135639817136,0
X601318.CH.EQUITY,0.0239099001249385,0,0,0,0,0,0,0,0,0,0.256875082890452,0,0,0,0,0,0,0,0,0,0,0.178573242913943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192624115099439,0,0,0,0,0,0,0.0600121912904836,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.286822750805575,0.165483987750013,0,0,0.117815913408702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163984148683115,0,0,0,0,0,0,0.00521532382363378,0,0,0,0.0359895948872588,0,0,0.0272063521079213,0,0,0,0.108517919018701,0,0,0.0790307194999711,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0740152437921403,0,0.438051516905764,0,0,0,0,0,0.270426965360454,0,0,0,0,0,0.10008177897041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147099977880668,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.0177298812344878
X600036.CH.EQUITY,0,0,0.0351430871785414,0,0,0,0,0,0,0,0,0.371481624957815,0,0,0,0,0,0,0,0,0,0,0.03544999812625,0.0244643090093834,0.124077614794073,0,0,0,0,0,0,0,0.0131113616504476,0.0876362123104178,0,0,0,0,0,0,0.054647650100939,0,0,0,0,0,0,0,0.280636370209183,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.118234327991063,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0399493809520262,0.203438270268506,0,0,0.0731223842607022,0,0,0.188290904750253,0,0,0,0,0,0,0,0,0,0,0,0.195052292226469,0,0,0,0,0
X5.HK.EQUITY,0,-0.184951163240625,0,-0.0867180158017839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17057798481179,-0.759056777744799,0,0,0.491646163626005,0,0,0,0,0,0,0,0,0,0,0,0,0.434857867021194,0,0,0,0,0,0,0,0,0,0,-0.0831787844313777,0
X601628.CH.EQUITY,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.130978863886576,0,0,0,0,0.17363635040205,0,0,0,0,0.034882307239173,0,0,0,0,0,0,0.179829149551204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2080055072761,0,0,0.0296435792734742,0,0.0616322616161165,0,0,-0.0588698964526507,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127836267252817,0,0.26420529705331,0,0,0.400655946915389,0,0,0,0,0,0,0.129971450402388,0,0,0,0,0.089180203735154,0,0,0,0,0,0,0,0,0,0,0,0
