,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.237807478654875,0,0,0.0875570045578235,0,0.239722786111845,0,0,0,0,0,0.128694731683974,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0383102633387123,0,0,0,0,0,0.0939641247721168,0,0,0.0234603635651874,0,0,0,0,0,0,0,0,0,0.107469632458539,0,0,0,0,0
X601318.CH.EQUITY,0.19208661568676,0,0,0,0,0,0,0,0.269846703229829,0,0,0,0,0,0,0,0.367489428799847,0,0.132182426520972,0,0,0,0,0,0,0,0,0.0311260507976664,0,0,-0.0613300792481567,0,0,0,0,0.0448153734276951,0,0,0,0,0,0.00207738061863832,0,0.0335087884426522,0,0,0,0,0,0.0339849119215692,0,0
X601939.CH.EQUITY,0.0609626519689232,0,0,0.271793447391207,0,0.0510900028048827,0,0,0,0,0,0,0,0.429007122358128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445725154568422,0,0,0.0667713710148371,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.352276731541265,0,0.0262445685681406,0,0,0.488116653272573,0,0,0,0,0,0,0,0,0.0301377808413577,0,0,0,0,0,0,-0.0290082891624101,0.0174191669422965,0,0,0,0,-0.000328230548213088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101466146621386,0,0.00345348839817551,0,0
X5.HK.EQUITY,0,0,-0.0936436279279666,0,0,0,0,0.15834148082377,0,0,0,0,0.0575799770934718,0,0,0,0,0,0,0,0,0,0.403350711819323,0,0,0,0,0.0565002760538741,0.280005492304373,0,0.0397291874486828,0.261048650400508,0,0,0,0,0,0,0,-0.0422111861221875,0,0,0,0,0,0,0,0,0,-0.0264477865284593,-0.190808108196879,0
X601988.CH.EQUITY,0.372428935184577,0,0.000238747943466086,0,0,0,0,0,0,0,0.0954128751455887,0,0,0,0,0,0,0,0.0246214462765265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158484870320672,0,0,0,0,0,0,0,0,0,0,0,0.302629623850311,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.220672339225371,0,0,0.26383575530326,-1.38777878078145e-17,0.0680181833226665,0,0,0,0.174481029156324,0,0,0,0,0,0,0,0,0,0,0.00913959972157238,0,0.114280521342236,0,0.07445536686821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0601626586031336,0,0,0,0.470462257854243,0,0,0,0.122784899825544,0,0.106552269891674,0,0,0,0,0,0,0,0.269411639132693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.227187595685631,0,0,0,0,0,0,0.079841376766972,0,0,0,6.93889390390723e-18,0,-6.93889390390723e-18,0,0,0,0.0549516858783497,0,0,0.068406142658387,0,0,-1.38777878078145e-17,0,0.126455623815268,0,0,0,0,0,0,0.264700077894305,0,0,0.115744827775163,0,-0.14653536851208,0,0,0,0,0,0,0,0,0,0,0,0.135069978793312,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.304572059605877,0,0,0,0,0,0.205440232757213,0,0,-0.241374060095468,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0.060209851742755,-0.0975599532924749,0,0,0,0,0,-0.0271254294141875,0,0,0.753580131242665,0,0,0,0,0,0.623822106461703,-0.0864340559389245,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.462416411243339,0,0,0,0,0,0,0,0,0,0,0,0,0.0204805509031292,0,0,0,0,0,0.0750883845750585,0,0,0,0.375262116623172,0,0,0,0,0,0,0,0,0.0708927450509742,0,0.0165294696385592,0,0,0,0,0,0.0809948545094507,-0.0861145368389256,0,0,0,0.0596704169454069
X601328.CH.EQUITY,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.665819966390753,0,0,0,0,0,0,0,0,0,0.154696818297169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941680071106273,0,0,0.0411898712433197,0,0,0,0,0.00840418611165674,0,0,0
X000002.CH.EQUITY,0,0,0,0.056150142421228,0.0427431459711666,0,0,0,0,0.0429740803873387,0,0,0,0,0,0,0,0.00568601922927761,0,0,4.33680868994202e-19,0,0,0,0,0,0.0475764013416891,0,0,0.0346683271472862,0.522571882008604,0,0,0,0,0,0,0,0.14375554505669,0,0,0,-0.0737336734280961,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0559322650119757,0.374999267329848,0,0,0,6.93889390390723e-18,0.15101465762652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.110904003453728,0.17832396591471,0,0,0.0481111894082577,0,0
X388.HK.EQUITY,0,0,0,0,0.0317475086222137,0,0,0.0658406982544032,0.0269543635721429,0,0,0,0,0,0,0.144081682188776,0,0,0,0,0,0.0554774884217035,0.33035465270394,0,0,0,0.0349959800773257,0.0157352346431895,0,0,0.00736695009825246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931754744026392,0,0,0,0
