,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.374901917239475,0.0101724289461049,0.0297298117024565,0,0,0,0,0,0,0.218243145519801,0,0,0,0,0,0,0,0,0,0,0.111182360485049,0,0,0.0819645646728465,0,0,0,0,0.0197259845004253,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259122499263328,0,0,0,0.00227935868375875,0,-1.73472347597681e-18,0.0434424547685371,-0.140046244463127,0
X601939.CH.EQUITY,0.462651622485952,0,0,0.112490817899657,0,0,0,0,-0.0166735661207381,0,0.15735821952157,0,0,0,-0.0640658000816379,0,0,0,0,0,0,0,0,0,0.174940478991175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739105625255377,0,0.0130484211546213,0.0178653763120537
X601318.CH.EQUITY,0,0,0,0,0.166802212760597,0,0,0,0,0,0,0.182171358857895,0,0,0.0183187129094365,0,0,0,0,0,0,0.0954827873487464,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0580491677357605,0,0,0,0,0.19703620807802,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.176612411815051,-1.38777878078145e-17,0,0,0.365810679486478,0,0,0,0,0,0.0401679814734412,0,0,0.0943586017143322,0,0,0,0,0,0.0652276556447533,0,0,0,0,0.0957806553419905,0,0,0,0,0,0,0,0,0,0.146840000481096,0,0,0,0,0,0,0,0.0114169466661504,0,0,0,0,0,3.46944695195361e-18,0,0,0
X601988.CH.EQUITY,0,0,0,0.380962618174959,0,0,0,0,0,0.228538160470051,0,0,0,0,0,0.0624425789740029,0.157957196882361,0,0,0,0.019100449921822,0,0,0,0,0,0.100158795402845,0,0,0,0,0,0,0,0,0,-0.50002908622438,0,0,0,0,0,0,0.0835498430060262,0,0,0,0,0,0,0,0.289816387799553
X600036.CH.EQUITY,0,0.0771836701769458,0,0,0,0,0,0,0.000895475398238993,0,0,0.19093054212498,0,0,0,0,0,0,0,0,0,0.273510708836106,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.282846383803017,0,0,0,0,0,0,0,0,0.0648384486255978,0.0539274108482658,0,0,0,0,0.0244090171130424,0.0891191928170832,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23624129308088,0,0,0,0.47973181303681,0,0,0,0,0,-3.46944695195361e-18,0,0.107385191636437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116677843313428,0,0,0,0,0.0458611139348823,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109232087621171,0,-0.299090608311516,0,0,0,0,0,0,-0.447390631118793,0.0741539523391159,0.746999753035136,-0.0100760012904662,0.649866858596369,0,0,0.0181630342191242,0,0,0,-0.151635304642102,0,0,0.37626664621752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.174401486519129,0,0,0,0,0.116501529358812,0,0,0,0.307811860642246,0,0,0,0,0,0,0,0,2.20593313116713e-05,-6.93889390390723e-18,0,0,0.0516813204563013,0,0,0,0,0,0.254135390560769,0,0,0,0,0,0,0.128893453701575,0,0,-0.142688911071549,0.0355853227702238
X601658.CH.Equity,0,0,0,0,0.129342576999283,0,0,0,0,0,0,0,0,0.161803958108338,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.191708747768401,0,0.0909956570806352,0,0,0,0,0,0,0,0,0.160137158479137,0,0,0,0,0,0,0,0,0,0,0.415812241598296,0,0.0939737777233864,0
