,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0453730503846984,0,0.146393702587399,0,0,0,0,0,0.111598276506632,0,0.351899213793678,0,0,0,0,0,0,0,-0.0680581600804082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137805401361709,0,0,0,0.183383496869157,0,0,0,0,0,0,0,0,0.186223791555835,0,0.0089418805260392,0,0.104291054487027
X601318.CH.EQUITY,0,0,-0.090922364687917,0,0,0.0582097328697633,0,0,0.184223832688924,0,0.0576089524815738,0,0.1448051639211,-0.0170664618223715,0,0.250780402912904,0,0,0,0,0,0,0,0,0,0,0,-0.0714640071124422,0,0,-0.178212776324699,0,0,0,0.274397959019226,0,0,0,0.07630367318232,0.201834810407837,-0.236846804722182,0,0.188698347353744,0.197958529686313,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.410669621506935,0,0,0,0.0257615120925802,0,0,0,0,0,0,0.0937353425703428,0.0150111461956293,0,0.0914813661326246,-0.107576495809275,0,0,0,0,0,0,0,0.0936098077675679,0,0.0879796924185352,0,0,0,0,0,0,0,0,0,0,0,0.0881871937890502,0,0,0.428273363550544,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.15491897401463,0,0.168478871514243,0,0,0.389243904440165,0,0,0,0,0,0,0,0,0,0,0.086990775797849,0,0,0.0235545403025345,-0.0717452700757586,0.0321927759960674,0,0,0,-0.0787059370066888,0,0,0,0,0,0,0,0,-0.0894717771915955,0,0,0,0,0,0.210566908759756,0,0,0,0,0,0,0.126429664830427,0,0,0,-0.00910282185753293
X5.HK.EQUITY,0,-0.129843982897558,0,0.231285411065803,0,0,0,0,0,0,0,0,0.108330223342679,0,0,0,0,0,0,0,0,0.451131734032386,0,0,0,0,0,0,0,0,0.380558157504669,0,0.0210023318414754,0,0,0,0,0,0,0,0.0275549303007478,0,0,0,0,0,0,0.167785845711189,-0.123532850833423,0,-0.0838600096130203,3.46944695195361e-18
X601988.CH.EQUITY,0.223848153345779,0.0857135792300076,0.0960689304860084,0,0,0,0,0,0.21672217268194,0,0,0.266311048750635,0,-0.0700276637197254,0,0,0,0,0,0,0,0.0289474607794156,0,0,0,0.0489323150470907,0,0,0,0,0,0,0,0.181390423351064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0458561982096397,-0.0656925549186716,0,0.225360301131341,0,-0.0657409040713357,0.02633266053882,0,0.301753043490524,0,0.230824519104574,0,0,0,0,0,0,0.0372221367852724,0,0,0,0,0,0,0,0.034634525630932,0,0.0489998365651282,0.0388659095957548,0,0.0892638881037318,0,0,0,0,0,0,0.0768498105478116,0,0,0,0,0,0,0.059235430778781,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0829856523638227,0,0,0,0.117670065245546,0,0,-0.120429961243035,0,0.0325900938532568,0.238258678354999,0,0,0,0,0.0169991645044099,0,0,0.0663029896314652,0.0609127093860801,0.0951244777943473,0,0,0,0,0,0.0196594443523909,0.207791202852776,0,0.028337842308894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0350655954046335,0.286961060662875,0,0,0.0982521509945695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0950092491258368,0,0,0,0,0.279772720004275,0,0,0.0153337846821311,-0.164379481502715,0,0,0,0,0,0,0,-0.167329132595109,0,0,0.0385313560785868,0.0323542763633687,0,0,0,0,0.120643328226518,0,0,0,0.0482002119476831
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.298524160212381,-0.648737076000273,0,0.134209255433067,0,0,0,-0.0822414403506087,0,0,0,0,0.581953191669095,0,0,0,0,0,0,0,0,0.130162293737169,0,0,0,0.391280033975376,-0.0690884423470771,0,0,-0.251971743215685,0,0,0,0,0,0.604614670948642,0,-0.293846292659513,0,-0.245737397528707,0,0.271884936565273
