,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.114858316780878,0,0.400642493597232,0,0,0.0165572516434898,0,0.21933759644477,0.0119245050633079,-6.93889390390723e-18,0.143902324921371,0,0,0,0,0,0.0747920666400285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640925587047892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.476180219791862,0,0,0,0.0664810622299784,0,0,-0.116185150894593,0,0.0431048304050489,0,0,0.392943526178232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309248036676439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637229471264858,0,0
X601318.CH.EQUITY,0,0,0,0,0.0324388065721539,0,0,0,0,0,0,0.371883879549605,0,0,0,0,0,0,0,0,0,0.0384685223737831,0,0,0,0,0.000549811522243127,0,0,0,0,0,0,0,0.062347392314614,0,0,0,0.0538207930958597,0.153518852648204,0,0,0,0,0,0.128541084738964,0.0542187151152333,0,0,0,0,0
X601288.CH.EQUITY,0.412745482607943,0,0,0,0.399548028413696,0,0,0,0,0,0.0656925133133896,0,0,0,0,0.0690360379938046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337091726322771,0,0,-0.014953587323302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0158432794939851,0,0.356032487035922,0,0,0,0,0,0,0.22903073607025,0.0997863843149587,0,0.090340202143593,0,0,0,0.157483976283802,0,0,0,0,0,0,-0.0168558656587395,0,0,0.0470150014960612,0,0,0,0,0,0,0,-0.0167109338608553,0,0,0,0,0,0.0573644314645403,0,0,0,0,0,0,0,0,0,0.0113571355846498
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.101273843220041,0,0,0,0.078927248631175,0,0.183241193574766,0,0,0,0,0.567706841116777,0,4.33680868994202e-19,0,0,-0.362379334529675,0.37342201469843,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,-0.0941773203261484,0.150802354106698,0,0,0,0,0,0,0,0,0,-0.0973200403755929,-0.0430023374276172
X600036.CH.EQUITY,0,0,0.0314805245218757,0,0,-3.46944695195361e-18,0,0,0,0.010023135860849,0,0.466015644694068,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0465417648957897,0,0,0,0,0.146982302450199,0,0,0,0,0,0,0,0,0.0973450311431949,0,0,0,0,0.0407257423162804,0,0,0,0,0,0,0,0.225215389118241,0,0.0284855930836794
X1299.HK.EQUITY,0.0521991279498621,0,0,0,0,0,0.0563803293614815,0,0.0128504605472726,0,0,0,0,0,0.242273671443687,0.178693725336613,0,0,0,0,0.173614338950728,0,0.0759543526155955,0,0,0.127576358677073,0,0,0,0,0,0,0,0,0.0640315163173113,0,0,0,0,0,0.0429445145680438,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0461460706539023,0,0,0,0,0,0.172117345152682,0,0,0,0.190170352623558,0,0.308903595425883,0,0,0,0,0.0636292937473653,0,0,0,0,0,0,0.0411332875973266,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.0380089305007249,0
X601658.CH.Equity,0,0,0,0.225834558066085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342467703756717,0.619594416369426,0,0,0,0,0,0,0,0,0,0,0,-0.0185280272671657,0,0,0,0,2.77555756156289e-17,0.215811792602996,0,-0.562138178937675,0,0,0
