,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.292286494172441,0.0283766769484981,0,0,0,0.461509834076437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100392336960077,0.0411607279766953,0,0,0,0,0,0,0,0,0,0,0.0789969615541958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.174460082505794,0,0,0,0,0,0.145765190572539,0,0,0.0568514792449741,0.111615491295843,0,0.0480164731845199,0,0,0,0,0,0.173001089663294,0,0,0,0,0,0,0,0,0,0.0552131071474677,0,0.0535561152451424,0,0,0,0,0.087576238051027,0,0,0,0,-0.0195243553930535,0,0,0,0,0,0,0,0,0.0566619418491596
X601939.CH.EQUITY,0.376906298247569,0.144718758640392,0,0,0,0,0,0.159834172279439,0,0,0,0,0,0,0,0,0.110227202345434,0,0,0,0,-0.151189752854999,0,0,0,0,0,0,0.119594526092337,-0.0238562798161118,0,0,0.225769299157685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228683137036053,-0.0455506534678591,0.0727381871524722
X600036.CH.EQUITY,0,0,0,0,0,0.184527105069811,0,0.17181609940572,0,0,0,-0.0551567680102707,0.132172143895556,0,0,0,0,0,0,0,0,0,0.0250290125265138,0,0,0.0807272373008218,0,0,0.136091488627084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36100415977389,0,0.0223471802168735
X601288.CH.EQUITY,0,0,-8.67361737988404e-19,0,0,0,0.00889939471888095,0.55695529916619,0,0,-0.0882382965774871,0.0438946287475458,0,0,0,0,0,0,0,0,0,0.0804568700355666,0.0756448974286309,0,0,0.08079427604615,0,0,0.106323267307269,0,0,0,0.0563838158871905,0,0,0,0,0,0,0,0,0,0,0,0,0.0619091168063061,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.227229193164495,0.0219093272642424,0,0,0,0,0,0,0.122814348361202,0,0,0,0,0,0,0,0,0,0,0,0.107096186667667,0,0,0,0,0,0,0,0,0,0.197477414019873,0,0,0,0,0,0.0574841678445905,0.173863380089015,0.0964372582478905,0,0.305774068112113,0,0,0,0.280591862467695,0,0,0,0,0
X601628.CH.EQUITY,0.0813646197931264,0,0,-0.0524508959536584,0,0,0,0,0,0,0,0.0091219761317443,-0.076284378197271,0,0,-0.228371012323037,0,0,0,0,0,0.0830510553953058,0,0,0.116890049779647,0,0,0,0,0,0,0,0,0.5512095099137,0.186837012581667,0,0,0,0,0.0241793178371213,0,0,0,0,0,0,0,0,0,0,-0.0634567287993815,0.148647285223582
X601988.CH.EQUITY,0.0755453305569026,0,0.0944948978726681,0,0.355715849359147,0,0,0,0,0,0,0,0.211357071859374,0,0,0,0.144132051945182,0,0.00638638938471256,0,0,0,0.00636812312347058,0,0,0.019662037009547,0,0,0,-1.73472347597681e-18,0.126945114490511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.123645812293992,0,0,0,0,0,0,0,0,0,0,0.00283266066447631,-0.0947026188069866,0,0,0,0,0,0,0.234303581220861,0,0.189719888071376,0.140613590258321,0,0,0,0,0,0,0,0,0.0603497989234817,0,0,0,0,0,0.198117884935654,0.0624975325598274,0,-0.0628971839611909,0.25934784733019,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0250185533526572,0,0,0,0.0707371635689876,0,0,0,0,0.0699803617542248,0.125149527284469,0,0,0.092546258174917,0,0,0,0,0,0,0,0,0,0,0.1540107116616,0.00864094722864484,0.426232582050408,0,0,0,0,0,0,0,0,0,0,0.00296659513573985,0,0,0,0,0,0,0,-0.0266709176663465,0,0,0,-0.0713485339356728
