,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.307108019298417,0.288350823901394,0,0.0590363281885681,0,-0.0804676833247511,0,0,0.0520353263087905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122071142061123,-0.0178450893113022,0,0,0.0619275737474936,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0311092246381685,0,0,-0.117478312269523,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.201918179867628,0,0,0.268957311239908,-0.00207734669224351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601567947993978,0,-0.00964563335748262,0,0,0,0,-0.257311347195738,0.274494571106983,0,0,0.201544822061745,0,0,0,0,0,0.0623065714746434,0,0
X601939.CH.EQUITY,0.460122785846402,0,0,0.0444990456767183,0.101926526815231,2.77555756156289e-17,0,0.0423011026714073,0,-6.93889390390723e-18,0,0,-0.0020998413543471,0.148303151881663,0,0,0,0,0,0.135859339036323,0.0322828306619765,0,0.012405813811318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300711232108591,0,0,0,0,0,0,-0.136969470968689,0,0,0,0,0
X601288.CH.EQUITY,0.408195089159054,0.0620596063824991,0.0666168463638635,0,0.0394407821476254,0,0,0,0,0,0,0,0,0,0,0,0.0241136790496398,0,0,0.0299722127790037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102886760279901,0,-0.0419059084622647,0,0.141629107541749,0.0984854749515542,0,0,0,0.14213604313932,0.117334170107221,0,0.00302279469686569,0,0,0,0,-0.0425915451484324
X5.HK.EQUITY,0,-0.227319338174305,0,0.128180850832962,0,0,0,0,-0.32905088369706,0,0.191370149416603,0,0,0,0,0,0,0,0,0,0.0704953980250205,0,0.613519774823927,0,0,0,-0.0813294803182848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850350756437815,0,0,0,0,0,0,0,0,-0.279101960281646,0
X601988.CH.EQUITY,0,0,0.239230701317272,0.252102777754837,0,0,0,0,0,0.20117813756441,0.168695493029107,0,0,0,0,-0.0200873297171212,0,0,0,0,0,0,0,0,0,0.00194388318926763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168361810596946,0,0,0,0.0423848292874381,0,0,0,0,-0.035261785659211,0.187249750512233
X600036.CH.EQUITY,0,0.23026719254837,0,0,0,0,0,0,0,0,0,0.0684783233805866,0,0.0871878938520414,0.0603659397983177,0,0,0,0.0255631013402862,0.0189075283163028,0,0,0.118411973991534,0,0,-0.00905321406506162,4.33680868994202e-19,0,0,0,0,0.329404976889186,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.116252655019986,0.118678572250821,8.67361737988404e-19,0,0
X601628.CH.EQUITY,0,0.0814751036341421,0,0.534188877055952,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468249444663452,0,0,0,0.0360180618835435,0,0,0,0,0,-0.0340139543488125,0,0.165764813189709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097763420637548
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294989329672173,0,0,0.00775514122233461,0.0106209523491291,0.167339081361511,0.114611934437715,0,0.179940094531691,0,0,0,0,0,0,0.410870721055009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637435983759252,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0296372179049506,0,0,0.160335137292218,0.049191571147884,0.072492185609561,0,0,0,0,0,0,0.157929834903018,0,0,0,0,0,0,0,0,0,0,0.0328682969505896,0,0,0,0,0,0.41382078435957,0,0.189547680373534,0,0,0,0,0,0.0500956311459681,0,0,0,0,0,0,0,0,0,0,-0.120292484957442
