,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0871652203854867,0,0.394116661386224,0,0,0.101845492824978,0,0.109151334973969,0,0,0,0,2.77555756156289e-17,0,0.189442285062366,0,0,0,-0.0718484206156948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872467400233672,0,0,0,0,0,0,0,0,0,0,0,0.0662666475598747,0,0,0
X601939.CH.EQUITY,0.223577605956644,0,0,0.0349888294261636,0.0743471521129728,0,0,0,0,0,0,0.0695306533170401,0,0.334365175972619,0,0.206719906489615,0,0,0,0,0,0,0,-0.0514957014112259,0,-0.0868036643144706,0,0,0,0,0,0.0636837822331039,0,0.0262586070475452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.0849702756140689,0,0,0,0,0,0.151772540397751,0,0,0,0,0,0,0,0,0.0136597233838794,0,0,0,0,0,0,0.13107999228909,0,0,0,0,0,0,0,0,0,0.158775790327014,0.00134039533898777,0,0,0,0.0289345739207083,0,0.326713643974751,0,0,0.0543514561879101,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.38850411948805,0.0308151075274392,0,0,0.354835614002997,0,0,0,0,0,0.0990544905950068,0,0,0,0,0,0,0.0516033863812558,0,0,0,0,0,0,0,0,0,0,0,0.0195813167260489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322503711503721,0,0
X601988.CH.EQUITY,0,0,0,0.271857439597248,0,0,0,0,0,0,0,0,0,0.0883879225048004,0,0.100790988324267,0,0,0,0,0.267992492763578,0,0,0,0.00325919984466479,0,0,0,0,0,0.0383758141322085,0.0509397799930181,0,0,0.122877809530915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.292505791413857,0,0,0,0,0.0812293422774901,0,0.345744643657249,0,0,0,0,0.657171495735267,0.112085892930295,0,-0.506398935149979,0.0224166962627435,0,0,0.0664422184147366,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.109208624990426,0,0,0,0,0,0,0,0,-0.181840639655632,-0.0280282336680157
X600036.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0.0491845843954216,0,0,0,0,0,0.438411796314129,0,0,0,0,0,0,0,0,0,0,0,0.0294789592308597,0,0.0912239158714053,0,0,0,0,0,0,0,0.121533568626268,0,0,0,0,0,0,0.0375606599541747,0,8.67361737988404e-19,0,0,0,0,0,0,0.224540453267655,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.184953669824449,0,0,0,0,0,0,0,0,0,0,0,0.207067800259896,0,0.130954508013929,0,0,0,0.0961331780529712,0,0,0,0.0762465137694866,0,0,0,0,0.14701836889589,0,0,-3.46944695195361e-18,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.31172823352626,0,0,0,0,0,0,0,0,0,0,0,0.00916015724767739,0,0,3.46944695195361e-18,0.13656705579421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461992647331485,0,0,0.117962055830624,0,0,0,0.164595163431385,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,-0.0531882583862871,0,0,-0.100065369079381,0,0,0,0,0,0,0,0,0,-0.0122382921412581,-0.0750721965551067,0,0,0,0,0,0,0,0,0,0,0.217931067794758,0,0,0,0,0,0,-0.510137550594037,0,0,0,0.529252784450307,0,0,-0.109215949355364,1.01891893685403,0,0,0,0,0,0,0,-0.085579042401337
