,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.136318991735047,0,0.0164793465530611,0,0,0,0,0,0,0.276122140132641,0.247233147135477,0,0,0,-0.088357033370537,0,0,0,0,0,0,0.0200438193763727,0,0,0,0,0,0,0,0,0.0223421091780072,0,0,0.264889963614543,0,0,0,0.0410673655102118,0,0,0.0554820975943928,0,0,0,0.0202636784234013,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.32730551533622,0,0,0.314981833071558,0,0,0,0.0827528705533277,0,0,-0.0961223334765682,0,-0.0814703152489253,0,0.069708049640474,0,0,0,0,0,0,0,0,0.124643915748873,0,0,0,0,0,0,-0.296502187632676,0,0.082933429088384,0.0283884006525671,0.280667517656403,0,0,0,0.0636883821502629,0.00162654444741737,0,0,0
X601939.CH.EQUITY,0.488052586549904,0,0,0.0290648123102542,0,0.150459615476215,0,0,0,0,0,0,0,0.0589371330069395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366119565389601,-0.12153548878631,0,0,0.0668913647954487,0,0,-0.0603640754137521,0,0,-0.0127040827643779,0,0
X601288.CH.EQUITY,0.608396488244119,0.0503693174281101,0.14982259093823,0,0,0,0,0,0.0170715502636645,0,0,0,0,0,0.00732401368533765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116710524276895,0.0404639916473343,0,0,0,0.0202742796755856,0.113999464286083,0,0,0,0.051400381866356,0,0,0,0,0,0.104242028851611,0,0
X5.HK.EQUITY,0,-0.0904609446332416,0.0898965661188191,0.150087394335848,0,0.122140037137668,0,-0.0928205572153765,0,0,0,0.238276961528094,0,0,0,0,0,0.636623138037724,0,0,0,0,0,0,0.089828973348462,0,-0.160007394740454,0,0,0,0,0,0,0.0366418833809737,0,-0.0225688130670205,0,0,0.0356064617683599,0.0278639459839784,0,0,0,0,0,0.116894205460576,0,0,-0.0864344480501713,0,0
X601988.CH.EQUITY,0.170173444410872,0,0.173943422903345,0.0410441986953652,0,0,0,0,0.0465162173817878,0.170249496772447,0.122283558660229,0,-0.267236682927839,0,0,0,0,0,0,0,0,0.233416559646204,0.0108070594595438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01679902660799,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0590276208910558,0,0,0,0,0,0.243840389289336,0,0.16750058746301,0,0,0,0,0,0,0,0,0.159402841376604,0,0,0,0,0.00391782063386512,0,0.12187947726152,0,0,0,0.0267362744081515,0,0,0,0.0221836692908588,0.0347476806085805,0,0,0,0,0,0.101288808415788,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.201747068926072,0,0,0.0263974720398977,0,-0.0934192070080386,0,-0.0813475910789258,0,0,0.334060188866625,0.286709523187804,0,0,0,0,0.111820917775192,0,0,0,0.0553148626081627,0,0,0,0,0,0,0,0,0,0,0,0,0.066810757335883,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.234837743766821,0.274903112128534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00527867550008733,0,0,0,0,0,0,0,0.0544473242229531,0.00510920508473634,0,0,0,0,0.078520051297028,0,0,0,0,0,0,0,0,0,0,0,0,0.0444228123338859,0,-0.165828629066932,0,0,0.203495462736404
X601166.CH.EQUITY,0.203761158029297,0,0,0,0,0.0103668006619747,0.433088541909887,0,0,0,0,0,0,0,0,0.430418838510484,0,0,0,0,0,0,0,0,0,0,0.0329158185540328,0,0,0,0,0,0.00222796359222607,0,0,0,0,0,0,0,0.0600732727879207,0,0,0,0,0,0,0,0,0,0
