,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.136377121497549,0,0.0965679548172935,0,0,0,-0.0475688505628238,0,0,0,0.38847014812683,0,0,0,-0.0732672916960616,0,0,0,0,0,0,0,0,0,0,0,0,0.0533296570896123,0,0,0,0,0,0,0,0,0,0.167200777019186,0,0,0,0.102638884873874,0,0,0,0,0.0491865845962118,0,-0.00950020798918737,0,0.0286194351967347
X601318.CH.EQUITY,0,0,0,0,0,0.101024813738628,0,0,0.167834114928906,0,0.0601192323753776,0,0,-0.0549047127582279,0.0136872245558075,0.21621355239696,0,0,0,-0.101810314665467,0,0,-0.0648925733479189,0,0,0,0,0,0,0,0,0,0,0,0.14819528224454,0,0,0,0,0.363543112656848,-0.276914073387554,0,0.304465896595245,0,0.208147080455447,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.328029888050393,0,0,0.2579575670283,0,0.134062666414985,0,0,0,0,0,0,0,0,0.119045571906496,0,0,0,0,0,0,0,0.07733908613367,0,0,-0.0652509297441333,0,0,0,0,0,-0.0251102922163434,0,0,0,0,0,0,-0.0996040187873656,0,0.367156493193364,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.255113788499795,0,0.234525743022398,0,0.128842761229028,0.283616209429031,0,0,0,-0.169602444798085,0,0,0,0,0,0,0,0,0.0862066003013582,0,0,0,0,0,-0.182172725613592,0,0,-0.0148464609188394,0,0,0,0,0,0,0,0,0,0,0,0,0.146193907654261,0,0,0,0,0,0,0,0,0,0,-0.00313714927151583
X5.HK.EQUITY,0,0,0.0393879368435695,0.22963867763053,0,0.166447258220492,0,-0.310999016720803,0,0,0,0,0.0808663832856015,0,0,0,3.46944695195361e-18,0,-0.0433429273718379,0,0,0.420038585662865,0,0,0,0.41698987137419,0,0,0,0,0,0,0.0624935486882666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160698192303957,-0.111556499803089,0,0,0
X601988.CH.EQUITY,0.227085869446077,0.0888862829668718,0.281146256861458,0,0,0,0,0,0.153658550696784,0,0,0.21938133263094,0,-0.168597505420701,0,0,0,0,0,-0.0979260101635815,0,0,0,0,0.113977788791518,0,0.121127611645143,0,0,0,0,0,0,0.0610097694213746,0,0,0,0,0,0.0186907660350184,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0579162736918647,-0.0804849672293607,0,0.14187073835762,0,-0.0423606071205025,0.0272310260551012,0,0.352543853559519,0,0.226223517954344,0,0,0,0,0,0,0.0547197366871664,0,0,0,0,0,0,0,0,-0.00737744743529475,0.039589998406762,0,0,0.0535686842342118,0,0,0.0713216733590064,0,0,0,0.121304122767828,0,0,0,0,0,0,0.0597563228618699,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0412571254210345,0,0,0,0,0,0,-0.0813404811076147,0,0.174665711100185,0,0,0.301359267766887,0,0,0.154081980259355,0,0,0,0,0.124263666004977,0,0,0,0,0,0.00483465051848874,0,0,0,0,0,0.112751134190512,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0187498517981166,0.279501667428956,0,0,0.153530395318188,0.00210535397861931,0,0,0,0,0.0334110661850208,0,0,0,0,0,0,0,0,0.00163587298730632,0,-0.079033154290638,0,0,0,0,0.265513906586634,0,0,0,-0.136886546122967,0,0,0,0,0,0,0,-0.25884229460952,0,0,0,0.0860982331544894,0,0,0,0,0.136690170215274,0,0,0,0.0868883893434015
X601658.CH.Equity,0,0,0,0,0,0,-0.0654660328333916,0,0,0,0,0,0,0.0615241270799314,0,-0.0143415758753578,-0.135715015561082,0,0,0.0139962659672867,0,0,0,0.2790180885541,0,0,0,0,0,0,0.027595345520994,0,0,0,0,0,0.497143539603765,0,0,-0.266002492383547,0,0,0,0,0,0.0465129076167822,0,-0.0410977167647611,0,-0.280855125210881,0,0
