,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.111434046893062,0.560745292391507,0,0,0,0.085283068728865,0,0,0.00790792989301364,0,0,0,0.182030793808895,-0.0246587290877588,0,0,0.0765648739369972,0,0,0,0,0,0,0,0,0,0,0,0,0.0215650592900377,0,0,0,0,0,0,-0.0319500262496291,0,0,0,0,0.00225106944208991,0,0,0,0,0,0,0,0.0722830988441004
X601318.CH.EQUITY,0,0,0,0,0,0,0.0293819499637627,0.0982992457867919,0.265117138380099,0,0,0,0,0,0,0.0531210438831544,0,0.325176806934293,0.0889710900613006,0,0.064834591341192,0,0,0,0,0.0250941855825635,0,0,0,-0.0396394875886043,0,0,0,0,0,0,0,0,0,0.0508054306524646,0,0.0019488727351645,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.131737269513031,0,0,0.519708721054285,0.0875160454571022,0.0802823795253824,0,0,0,0.0718940156745067,0,0,0,0,0,0,0,-0.0472341395267106,0,0,0,0,0,0,0,0,0,0.17968270430826,0,-0.00770902429966885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00642594304753807,0,0,0,0.0468893224153494
X601288.CH.EQUITY,0,0,0.159558912004616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288711110740176,0,0,0.124283153845833,0,0,0,0.0767461766307088,0,0,0,0.0532294459822043,0,0,0,0,0,0,0.0857075015323296,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0565630416877969,0,0,0.206143613142332,0,0.20666747335764,0,0,0,0.211951365921232,-0.00846839632700747,0,0,0,0,0,0.195449992971182,0,-0.24252349552659,0,0,0,0,0.0446992917336215,0,0,-0.0597779586500291,0,0,0,0,0,0.196424379880153,0,0,0,0,0.0805607733918462,0,0,0,0,0,0,0.171784047709271,-0.0075806055070534,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.378654924812062,0,0,0,0.108270679148061,0,0,0,0,0,0,0,0,0,0,-0.0111823092308225,0,0,0,0,0.133218459597923,0,0,0,0,-0.257946063498913,0,0.035130486370073,0.0697375702111096,0,0,0,0,0,0,0,0,0.0711526048126708,0,0,0,0,0,0,0,-0.148335948037918,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141732474175714,0,0,0.123309717772097,0,-0.106510484237026,0,0,0,0,0,0.502285522922184,0,0,0.0796212293481565,0,0,0.0932238284540789,0.124173181463057,-0.065579263646607,0,0,0,0.0596992805102167,0,0,0,0,0,0.264169010601329,0,0,0,0.129793357419905,0,0,0,0.0655196655004434
X1299.HK.EQUITY,0,0,0,0,0.133666809240991,0,0,0,0,0,0,0,0,0.0460799733956082,0,0,0.191468204767538,0,0,0,0,0,0,0,0,0.0375648199800475,0.159775325667604,0,0.153397160836161,0,0.0480930634083255,0,0,0,0.111363874562134,0,0,0,0,0,0,0,0,0,-0.0944465486393523,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.182518042103593,0,0.164812881575336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682480995959057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00755887280604292,0,0,0.386985707554681,0,0,0.034857606624901,0.0187267224281096,0,0.133406199255636,0,0.0563623226583271,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.370130678222673,0,0,0,0,0,0,0,-3.46944695195361e-18,0.41925308777812,0,0,0,0,0,0,0,0,0,0.0103510215587957,0.150806859508173,0,0,0,0,0,0,0,-0.0179978415696112,0,0,0.0272898578671028,0,0,0,0,0,0.0912809544852199,0,-0.016060151064628,0.213212504355175,0,0,0,0.0808963711217712,0,0,0,0
