,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,-0.212600266624357,0,0,-0.00604325320106366,0,0,0,0,0.565256962670584,0,0,0,0,0,0,0,0,0,0,0,-0.126152793024622,0,0,0,0,0,0,0,0,0,0,-0.286306119390524,0,0,0,-1.73472347597681e-18,0.68368703704154,0,-0.139789561235834,0,0,0,0,-0.0538368291831366,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0020746785991215,0,0,0.19269328569672,0,0.0201765446286088,0.0333987373124993,0,0,0,0,0,0,0.0114652203966034,0,0.111376995643442,0,0,0,0,0,0.045262536043192,0,0,0,0,0.0750285407896061,0,0,0,0,0,0,0,0.0548876655090293,0.536553036400874,0,0,-0.0930862421823339,1.73472347597681e-18,0,0,0,0,-0.0230095081189841,0,0,0
X601939.CH.EQUITY,0.315269553049925,0,0,0,0,0,0,0,0.00924915744978163,0,0,0,0,0,0,0,0,0,0,0,0.0487131086054521,0,0,0.132690792604726,0,0,0,0,0.109059613621028,0,0,0.0237907968825186,0,0,-0.0822134736788601,0,0,0.291470780520721,0,0,0,0,0.0821197941445963,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.265929212515813,0,0,0.174179238792157,0.0414295154867278,0,0,0,0,0,0,0,0.046852837593886,0,0,0,0,0,0,-0.0405444185052727,0,0,0.113480041528879,0,0,0,0,0,0,-0.066834921269642,0,0,0,0.191766289933486,0,0,0,0.0983991805767916,0,0.0847120910167638,0,0,0.0821530670634918,0,0,0
X5.HK.EQUITY,-0.0963685226006273,0,0,0,0,0,0,0,0,0,0.0820154654873619,0,0,0,0,0,0.274755833092684,0,0.000797349916898318,0,0.351910405148495,0,0,0.346298741463238,0,0,0,0,0,-0.263478785116836,0,0,0,0,0,0,-0.125695761017738,0,0,0,0.250910900226977,-0.0946697145504736,0,0,0,0,-0.114406862650082,-0.119725794396339,0,0,0
X601988.CH.EQUITY,0.30255056723567,0,0,0.545982863950832,0,0,0,0,0,0,0.0967859134380599,0.0876205646770846,0,0,0,0,-0.0244187789357945,0,0,0,0,0,0.00375602271591887,0,0,0,0.0370867686402574,0,0,0,0,0,0,0,0,0,0,0.0517174494592311,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0352454786166718
X600036.CH.EQUITY,0,0.63037163318525,0,0.148653860967588,0,0,0,0,-0.176552715227181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342219812681217,0,0,0,0,0.070430920030212,0.0644094269860252,0,0.0754096845163854,0,0,0,0,0,0,0.137710928142304,0,0,0,0,0.0375592421069038,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38889049369643,0,0,0.127268754277502,-0.161684602385568,0.0866014297098734,0,0,0,0,0.183309169117447,0.173036385433781,-0.175816220920919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193247746310023,0,0,0,-0.0783033068724922
X601628.CH.EQUITY,0,0.12164977068416,0,0,0,0,0,0,0,0,0.0259592479986805,0.00852060464300166,0,0,0,0.21033715146529,0,0.00539802716165667,0,0,0,0,0,0,0.152542342120904,0,0,0,0,-0.0339300208168619,0,0,0,0,0,0,0.0872017660357787,0,0.255098800737601,0,0,0,0,0,0,0,0,0,0,0,-0.00378881563450587
X601328.CH.EQUITY,0,0.0792325305042057,0.113400926625801,0.352876904966731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293705656185454,0,2.16840434497101e-19,0.00759713190880381,0,0,0.0209580824656641,0.190300077196506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827097777334108,0,0,0,0,0,0,-0.00384577963619812,-0.230076547019812
