,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X601916.CH.Equity,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.143943295836172,0,0.0166240706712669,0,0,0,0,0,0,0.282997426395653,0.244517974042023,0,0,0,-0.0962253309118077,0,0,0.0179051267309434,0,0,0,0,0,0,0,0,0,0,0,0,0.265302497491422,0.0253215316216974,0,0,0,0,0,0.040830151641099,0,0,0.0614781625043278,0,0,0,0.020340485921281,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.103096558595586,0,0,0.261920552151352,0,0,0.372948030809111,0,0,0,0.128649407845367,0,0,0.0383102021704696,-0.0158472064047263,0,0,0,0,0,0,0,0,0,0,0,0,0.0764515356508683,0,0,0,0,0,-0.259359193181008,0,0.0233597321924961,0,0.104863288602521,0,0,0,0,0.0514542950936306,0,0,0
X601939.CH.EQUITY,0.473984280051317,0,0,0,0,0.184216675132217,0,0,0,0,0,0,0,0.061229303403829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370526032687638,-0.115389581487484,0,0,0.0490419721379865,0,0,-0.0446103284110365,0,0,0,0,0
X601288.CH.EQUITY,0.523610136152004,0,0.151905944695109,0,0.126331180468534,0.0102311394387403,0,0,0.0835959402187584,0,0,0,0,0,0,-0.0555054717290859,0,0,0,0,0,0,0,0,0,0,0.0934134804450074,0,0,0,0,0,0,0.00579279917166041,0,0.046128460419648,0,0.0699537324345526,0.178654948209272,0,0,0,0,0,0,0.0121064263497812,0,0,0,0,-0.0578906386970779
X5.HK.EQUITY,0,6.93889390390723e-18,0.217192649180215,0.0729075675557015,0,0,6.93889390390723e-18,-0.108354855845646,0,0,0.100020038429338,0.229460667954215,0,0,0,0,0,0.62499958731878,0,0,0,0,-0.148300206441038,0.0410421847575002,0,0,-0.159230562121221,0,0,0,0,0,0,0,0,0.0335489625009929,0,0,0,0,0,0,0,0,0,0.17169686314687,0,-0.0316099933328655,0,0,0
X601988.CH.EQUITY,0.0913504723727622,0,0.134229698024978,0.145880241678498,0,0,0,0,0.144025023054691,0.107990948433551,0.163038156367175,0,-0.325024863030204,0,0,0,0,0,0.000783710949102118,0,0,0.213905760858374,0,0,0,0,0.0698547532287661,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0247387654536748,0,0,0,0.0179992777370468,0,0
X600036.CH.EQUITY,0,0.274961397146545,0,0,0,0,0,0,0,0,0,0.0880020177122981,0,0.180648843010644,0,0.106680833738692,0,0,0,0.00290655295465876,0,0,0,0.0818139148484415,0,0,0,0,0,0,0,0,0.166425417996723,0,0,0,0,0,0,0.0878374203098982,0,0,0,0,0,0,0.0635870703279117,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.129115222194383,0,0,0,0,-0.0165924189768392,0,-0.0323931337852479,0,0,0.225680702986143,0.259458063947174,0.197261363619661,0,0,0,0,0,0,0,0.0957914480569467,0,0,0.023815102686101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0
X601628.CH.EQUITY,0.254585342764581,0.299579552314537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102184843150684,0,0,0,0,0,0,0.0523373270168171,0,0,0,0,-0.0132357910532389,0,0.0989416284338079,0,0,0,0,0,0,0,0,0,0,0,0.0480977987538657,0,-0.183703670263395,0,0,0.213589520003662
X601166.CH.EQUITY,0.128708686504858,0,0,0,0,0.0988796171223129,0.313615496700394,0,0,0,0,0,0,0.0940975597524644,0,0.424604888451165,0,0,0,0,0,0,0,0,0.142526264869848,0,0,0.0118628463129453,0,0,0,0,-6.93889390390723e-18,0.0065189130223754,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0
