,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,-0.0783223521920592,0,0,0,0,0.203141968891456,0,0,0,0,0,0,0,0,0.0348896538413356,0,0,-0.310017835285922,0,0,0,0,0,0,0,0,0,0,-0.338106249918094,0,0,0.0836602123570286,0,0.769822666504904,-0.185232707559236,0.267430051541452,0,-3.46944695195361e-18,0,0,0,0,-0.013444070088457,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.175347550985819,0,0,0,0,0,0,0.0627320818244495,0,0,0,0,0,0,0,0,0,0,0.144266294569463,-6.93889390390723e-18,0,0,0,0.0624745911495604,0,0,0,0,0,0,0,0.455404859369305,0,0,-0.0533178059862831,0,0.0666358304372381,0,0,0,-0.0211301319063566,0,0.0271390750365582,0,-0.0610178753591996
X601939.CH.EQUITY,0.277765649832673,0,0,0,0,0.0143189589966177,0,0,0,0.0394530983382761,0,0,0,0,0,0,0,0,0,0,0,0.0907133667719304,0,0.0425338013291567,0,0,0,0,0.193914478134219,0,0,0.0864966485008729,0,0,-0.106933533371374,0,0,0,0.403294076431626,0,0,0,0,0,0,0,0,0,0,0,0.151781950168174
X601288.CH.EQUITY,0,0,-0.00866232362438433,0,0,0,-0.0223159973487175,-0.17882070361736,0.108429049422805,0,0.387024162158524,0.186521489883046,0,0,0,0,0.0711322611336835,0,0,0,-0.0401791368088271,0,0,0,0,0,0,0.0227891059200195,0,0,-0.653072976916335,0,0,0,0,0,0,0,0,0,0,0.0586873488149415,0,-8.67361737988404e-19,0,0,0.296720034332315,0,0,-0.115835262744598,0
X5.HK.EQUITY,-0.164872438295002,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0229821860782121,0,0,0,0,0.250130983666098,0,0.236044490131302,0,0.0912380562817089,0,0,0,0.482717027086535,0.00620209948378657,0,0,0,0,-0.252245154675085,0,0,0,0,0,0,-0.0101349211954535,0,0,0,-0.0995119921511615,0,0.19103327382864,0,0,0,-0.0866769148680921,0,-0.140531996656912,0,0
X601988.CH.EQUITY,0.171827066196374,0,0,0.513479208745724,0,0,0,0,0,0,0.127257349622736,0,0.0355124545395663,0,0,0,0,0,0,0,0,0,0,0.0100077354274023,0,0,0,0.130506330067177,0,0,0,0,0,0,0,0,0,0,0.223134251737429,0,0,0,0,0,0,0,0,0,0,-0.0102070038684878,0.0997550601230384
X600036.CH.EQUITY,0,0.648108386266883,-0.00387141757899409,0,0,0,0,0,-0.212284172021253,0.600673074032307,0,0,0,0,0,0,0,0,0,0.0815519497689462,0.0172304509794793,-0.0473599908679696,0,0,0,0,0,0.0466892741374929,0,0.101926447626764,0,0,0,0,-0.0671367289990776,0,0,0,-0.117627510175667,0,0,0,0.160917425599386,0,0,0.0100732756469238,0,0,0,0,0
X1299.HK.EQUITY,0,0.0422521297207819,0,0,0.0967457290570503,0,0,0,0,0,-0.109346951207722,0,-0.0082778921449056,0.127193784759625,0,0,0.217992595649853,0,0,0.0407582088275653,0,0.124438325848728,0,0,0,0.0299860279796767,0,0,0,0,0,0.221034926536589,0,0,0,0,0,0,0,-0.0778694835655378,0,0,0,0,0,0,0,0.200464935773782,0.0343404010688564,0,0
X601628.CH.EQUITY,0,0.0978796196111393,0,0.0619543893665613,0,0,0,0,0,0,0,0,0,0.290718550627792,0,0,0,0,0,0,0,0.117926523704714,0,0,0,0,0,0,0,-0.0352165888062965,0,0,0,0,0,0,0.0938536759192247,0.152082600100314,0,0,0,0,0,0,0,0,0,0.0982499741478141,0,0,-0.00029408361324921
X601328.CH.EQUITY,0,0,0.0202498671799098,0,0,0,0.236424558472113,0,0,0,0,0,0.245454349402248,0,0,0,0,0,0,0,0.271116055050872,0,0,0,0,0.147972908290622,0,0,0,0,0,0,0,-0.17374182316369,0,0,0,0,0,0,0,0,0,0,0.0703303175091406,0,0,0,0,0,-0.231619128640037
