,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.141893288287841,0,0.0810309448830158,0,0,0,0,0,0,0,0.356058768626641,0.0933264270489356,0,0,-0.130403521980173,0,0,0,0,0,0,0,0,0,0,0,0,0.0805014731364185,0,0,0,0,0,0,0,0.206808954243999,0,0,0,0,0,0.0820918542112617,0,0,0,0.0560652281039579,0,0,0,0,0.0445645090238044
X601318.CH.EQUITY,0,0,0,0,0,0,0.042120156890983,0,0.130652060309627,0,0.0373790696847778,0,0,-0.149717385843797,0.0761080003552201,0.010790206473777,0,0,0,0,0,-0.0171072895691443,0,0,0,0,0,0,0,0,0,0,0.175052001443306,0,0,0,0,0,0,-0.230762078547362,0,0.373567540716563,0.101982813381004,0.196555516374156,0,0,0,0,0.187615950892918,0,0,0
X601939.CH.EQUITY,0.165851775911026,0,0,0.294807282789236,0,0.138134668258365,0,-0.0570625427932449,-0.0388766542160629,0,0,0,0,0,0.0414718782593757,0,0,0,0,0,-0.0135580839100104,0.0855439997076973,0,0,-0.0370249268666846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490279345475935,-0.071082056429196,0,0,0,0,-0.0222931102524002,0,0,0.0367808979753123,0,0,0
X601288.CH.EQUITY,0.491993978132547,0,0.159735333288102,0,0.0146802966789704,0.221950846155659,0,0,0,0,0,0,0,0.0295369437660772,-0.127662188721846,0,0,0,0,0,0,-0.0136984164735167,0,-0.0446445381759821,0,0,0,0,0,0,0,0,-0.0359645884118205,0,0.163610889999681,0,0,0,0,-4.33680868994202e-19,0,0,0,0.00256076515568183,0,0,0,0,0,0.275732919405394,0,0
X5.HK.EQUITY,0,-0.069603847247076,0.127671818405819,0.0736503817253584,0,0.0694065330434429,0,-0.170604499086288,0,0,0,0,0.268142354696986,0,0,0,0,0,0,0.666539186539536,0,0,0,0,0.0830025473208764,0,0,-0.12429623428005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121229165780804,0,0,0,0,0
X601988.CH.EQUITY,0.198219282257458,0,0.0850428633671346,0.0214625365645869,0,0,0,0,0.0313009615718075,0,0.078909524450775,0,0,-0.329375041801365,0,0,0,0,0,0,0,0,0.49948599191667,0.0687706859099921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11559641600869,0,0,0,0,0,0,0,0.0302443021691153
X600036.CH.EQUITY,0,0.114485836258076,0,0,0,0,0,0.120317079545679,0,0,0,0,0.0740890544237918,0,0.30877338170816,0.137757211436234,0,-3.46944695195361e-18,0,0.106628190001244,0,0,0,0,0,0,0,0,0,0,0,0,0.0465035271230576,0,-0.0448451745620127,0,0,0.117311674654058,0,0,-3.46944695195361e-18,0,0.0984806308296943,0,0,0,0,0,0,0,0,-0.0497510024274055
X1299.HK.EQUITY,0,0,0,0,0,-0.016350201496129,0.0160036775303145,0,0,0,0.213327064341338,0,0,0,-0.151597476897481,0,0,0,0.311782106096501,0.255652158619869,0,0,0,0.0510455936893058,0,0,0,0.119335400798853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314511838732139,0,0.125781341702567,0,0,-0.0231436734542742,0,0
X601628.CH.EQUITY,0.368527975737987,0.295500444723903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178519738639118,0,0,0,0,0,0,0,0,0,0.001737280306249,0,0,0,0,0,0,0.117736036738125,0,-0.085841466109775,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.0716862222147285,0.0575697752093751,0,-0.211028789021239,0,0,0.201555361369842
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
