,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0981394898217425,0,0.0217189387881176,0,0,0,0,-0.0405069233743836,0,0,0,0,0,0,0,0,0,0,-0.175642079114976,0,0.0334072021444087,0.667590551347477,-0.266267096629749,0,0.535548893190455,0,0,-0.1199252816154,0,0,0,0,0,0,0,0,0,0,-0.033878267717849,0,0,0,0,0,0,0,0,0,0.0765759893798832,0
X601318.CH.EQUITY,0,0,1.38777878078145e-17,0,0,0.324772469976502,0,0,0,-0.062606572519634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839150851311384,0.0953570334023918,0,0,0,-1.73472347597681e-18,0.222246609742082,0,0,0,0,0,0,0,0,0,0,0,0,0.0563306030961659,0,0,0.0523163395883143
X601939.CH.EQUITY,0,0.0819427371144262,0,0.801939858140653,0,0,0,0.00153827077484737,0,0.0440732184012176,0,0,0.0144699411190018,-0.0105044489651471,0,0,0.0805666413029524,0,-2.71050543121376e-20,0,0,0,0,0,0,0.0255463508587136,0,0,0,0,0,0,0,0,0,0,0,0.0707126585984201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.886999216316764,0,-0.0618314409554464,0,-0.0851365329222331,0,0,0.00896968204145604,0,0,0,0,0,0.0182770934850511,0,0,0.0488361274213694,0,1.73472347597681e-18,0,0,0.161620967374809,0,0.0733675439094037,0,0,0.0144135289642749,0,0,0,0,0,0,0,0,0,0,-0.0476976661071789,-0.122209127875912,0,0,0,0,0,0,0,0,0,0.0190253662123522,0
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.280626922608842,0,0.111149117853956,0,0,0,0,0,0,0,0.411454849696222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676477518045878,0,0,0,0,0,0,0,0,0,0,0,0.0538127566286553,0,0.214652582798283,0,0,0.0285367875288261,0.0201764951421282
X600036.CH.EQUITY,0,0,0.0439241228688901,0.279062989446906,0,0,0,0.00493100897313505,0.0288348449121485,-0.00473868464876689,0,0,0,0,0,0,0,0.178267126958934,0,0.0323478062995857,0,0,0,0,0,0.0437764447565105,0,0,0.18372320603896,0,0.129554348568322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518295726114543,0,0,0,0,0.0342078287851034,0,0
X1299.HK.EQUITY,0,0,0,0,0.0717424723723431,0,0,0,0,0.143473639409781,0,0,0,0,0,0,0,0,0,0,0,0,0.285943378875799,0,0,0,0,0.0334548562243777,0,0,0,0,0.151194695650908,0,0,0,0.0657070817304235,0,0.0781299581352675,0,0,0,0.0918440075155526,0,0,0,0,0.144078857990377,0,0,-0.0168537046064554,0.0291081734552994
X601988.CH.EQUITY,0,0,0,0.0871942967678674,-0.0455037415135562,0,0,0,-0.0202832439772985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175603317074216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.125533000978326,0,1.00116041298877,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140369970130157,0,0,0,0,0,0.168705081543621,0.183193318033272,0.356264452950505,0,-0.253839021228866,0,0,0,0,0,0,0,0,0.00608659287490216,0,0,0,0,0.0934362226812795,0.15779928521405,0,0,-0.15949208270525,0,0.0720571202791823,0.082968649291652,0
X388.HK.EQUITY,0,0,0,0,0.195879835218178,0,0,0,0,0,0,0,0,0,0,0,0,-0.00704159929266503,0,0,0.126485460164453,0,0.243403188288112,0,0.145567808002065,-0.0159890309664691,0,4.33680868994202e-19,0,0,0,0,0.156287832049285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182444755186711,0,0.283019618847245
X601658.CH.Equity,0,0.00861925304795594,0.263623802457184,0,0,0,0,0,0,-0.0509020079668649,0,0,0,0,0,0,0,0,0.111824860639902,0,-0.142479619057823,0,-0.0135601573929506,0,0,0,0,-0.0387377704943975,0,0.210382129344636,0,0,0,0,0,0,0,0,-0.116962700263819,0,0,0,0.744326027702276,0,0,-0.222118449322788,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.00590883197307048,0,-0.0815495030805892,0,-0.00416660604823981,0.142201251308764,0.0658990197559651,0,0,0.291562607118332,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103508278711488,0,0,0,0,0,-0.00843475855492463,0.00754374572386877,0,0.137786185564116,0,0,0,0.221824665334687,0,0.0697008215645011,0,0.0944608916331623,0,0,0,0.167708081206896,0,0,0,0
X601166.CH.EQUITY,0,0.0746154703081328,0,0,0,0.110733690893625,0.0246025567738393,0.288843145149061,0,0,0.0502519005738689,0,0,0,0,0,0,0.0585740773038207,0,0,0,0.0872650178279941,0,0.0400605465982504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304225150578651,0,0,0,0.0173920914165026,0,0,0,0,0,0.317324498504803,0,0,0
