,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.158068191656944,0.53526551850341,0,0,0,0,0,0,0,0.0869495642933852,0,0,0,0.192907765287353,0,0,0.0193144671295376,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303458685006036,0,0,0,0,0,0.0569111880956677
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0766553121279124,0.246944481854512,0,0,0,0,0,0,0,0,0.327847643364969,0,0.0906285861742868,0.0574180456608737,0,0,0,0,0.0921474161629186,0,0,0,-0.0128884608374193,0,0,0,0,0,0.0267390461274847,0,0.00909264805168823,0,0.0425975026468861,0,0,0,0,0,0,0,0,0.0119313020779856,0,0
X601939.CH.EQUITY,0,0,0,0.661931327956135,0,0.0545585071909497,0,0,0,0.261793882296815,0,0,0,0,0,0,0,0,0,0,0.0587681424796155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158173626614592,0,0,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0.00363772073769793
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.259406812054614,0.034387459202453,0,0.757309584856543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132028834357292,0,0,6.93889390390723e-18,0.112540901166877,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.154173562304094,0,0.306773802063477,0,0,0,0,0.0445047003615466,0,0,0,0,0,0,0.0211663943479835,0,0,0,0,0,0.0149526811304047,0,-0.144297187221379,0,0,0,0,0,0,0,0,0.112303976932568,0,0,0.291272093651243,0,0,0,0,0,0,-0.0588671685957076,0,0.0602274058043478,0,0
X601988.CH.EQUITY,0,0,0,0,0.324227393954783,0,0,0,0.199191875035771,0,0,0,0,0,0,0,0.028690115722604,0,0,0,0,0,0,0,0.0604542525375142,0,0,0,0,-0.166735246523731,0,0,0.0892073346119961,0,0,0,0,0,0,0,0,0.108592187269627,0,0,0,0,0,0,0,-0.151566798793352,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.441156442537665,0,0,0,0,0,0,0,0.187279538368148,0,-0.115035069639396,0,0,0,0,0.204542539929629,0,0,0,0,0,0.176381103999049,0,0,-0.0112271755087264,0,0,0,0,-0.0124930411476055,-0.198443515984454,0,0.152867723882142,0,0,0.125948905487773,0,0,0,0,0,0.0102501765563789
X1299.HK.EQUITY,0,0,0,0,0.213274544038997,0,0,0,0,0,0,0,0,0,0,0,0.194351453094349,0,0,0,0,0,0,0,0,0.0672697955170673,0,0.0940821052487505,-0.0749643316611959,0.000606129874460334,0.0999862554770471,0,0,0,0,0,0.414598435660322,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0475446838317013
X601628.CH.EQUITY,0,0.167053953134634,0,0.00497602112158192,-0.107359124393096,0,0,0,0,0,0,0.00754588279112277,0,0,0,0,0,0.184740188007808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207004375820256,0,0.344214668720065,0,0.0375184290416612,0.157975051518057,0,0.0810548860019325,0,0.098327509363911,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.179047314336861,0,0,0,0.374853839540994,0,0,0,0,-0.00354876853672904,0.459798050048028,0,0,0,0,0,0,0,0.0481036720016128,0.186595213576415,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.0389783827406344,-0.0920250613997074,0,0,0,0,0,0,0,-0.0433083980273721,0,0,0,-0.0970351822101699,0,0,0,0,0
X601166.CH.EQUITY,0.197808052002907,0,0.00490871682909017,0.231921417759197,0,0,0,0,0,2.16840434497101e-19,0,-0.0695226606836378,0.193734807277858,0,0,0,0,0,0,0.0505756981462405,0,0.0986838383629715,0,0,0,0,0,0,0,0,0,0,0,0,0.0260913173045699,0,0,0,0,0,0,0.111329381706911,0,0,0,0,0,0,0,-0.0807351286703837,0
X601319.CH.EQUITY,0,0,0,0,-0.0682526485494116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262095706554576,0,0.0452004132791796,0,0,0,0,0,0,0,0,-0.0649836635592999,0,0,0,0.21814941476757,0.0217245746946165,0,0,0.106924608899914,-0.245162958233124,0,0,0,0,0.359943571313375,0,0,0.126628169994496,0,0.0927190453164779,0,0
X600000.CH.EQUITY,0,0,0.208201207524752,0,0.0911614187205608,0,0,0,0,0.172747471064053,0.157268039557381,0,0,0,0,0,0,0,0.0983117723527386,0,0.045846378002125,0,0,0,0,0,0.29461534726595,-1.73472347597681e-18,0,0,0,0,0,-0.0559559937991721,0,0,0,0,-0.277766564229905,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.132788878890909,0,0,0.113365426476363,0,0,-0.119209433424802,0,0,0,0,0,0,0,0,0,0,0,0.166012522907014,0.224802383747603,0,0,0,0.114858485235463,0,0.444058574075308,0,0,0,0,0,0,0,0,0.109576187816217,0,0,-0.208128790219026,0,-0.0933942003370715
X11.HK.EQUITY,0,0,0.147068846513083,0,0.0459568158458108,0.249176168790697,0,0,0,0,0,0.13998178954291,0,0,0,0,0,0,0,0.0976552231681709,0,0,0,0,0,0,0,0,0,0.608830257426819,0,0,0,-0.160159322703721,0,0,0,0,0,0,0,0,0,0.25372670822311,0,0.0433738418528229,0,0,0,0,0.0150068646259527
