,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.312315493966869,0,0.349253507984483,0,0,0,0,0,0,0.0767013324341159,0,0,0.0224846303291226,0,0,0,0,0,0,1.73472347597681e-18,0,-0.0636412535329853,0,0,0,0,0,0,0,0.105383220796623,0,0,0,0,0,0.0149927818273318,0,0,0,0,0,0,0,0,0,0,0,0.0608114476479776,0,-0.114487666038412,0
X601939.CH.EQUITY,0.396377655348064,0,0,0.221797261951765,0,0,-0.108068728489078,0,0,0.00567076836935168,0.00448247779940238,0,0.200308077475628,0,-0.0625325542800861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00145031735082334,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.20415494411298,0,0,0.0238116484402506,0
X601318.CH.EQUITY,0.0856221222104746,0,0,0,0.143602156497193,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.0300042356629489,0,0,0,0,0,0,0,0,0,0.182749925678026,0,0,0,0,0.244405416607641,0,0,0,0,0,0,0.0885160936854134,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.292167666149018,0.15891193277173,0,0,0.125015539597269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163537117780487,0,0,0,0,0,0,0,0,0,0,0.0382632537213598,0,1.73472347597681e-18,0.0243204444516979,0,0,0,0.109924358981342,0,0.000717622098469165,0.0761767359832568,0,0,8.67361737988404e-19,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.073964831824779,0,0.437855601370984,0,0,0,0,0,0.268358272080972,0,0,0,0,0,0.0997792381335071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146848663790926,0,0,0,0,0,0,0,0,0,0,0.0177658104988497
X600036.CH.EQUITY,0,0,0.0150977725453818,0,0,0,-2.71050543121376e-20,0,0,0,0,0.351606686846488,0,0.0240579785051101,0,0,0,0,0,0,0,0,0.00661943189975113,0.112363380022723,0,0,0,0,0,0.0324532114570526,0,0,0,0.0498373387403914,0,0,0,0,0,0,0.0531860529671654,0.0682242563387438,0,0,0,0,0,0,0.285736362127535,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.11070135137818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242738764609535,-3.46944695195361e-18,0,0,0.153990530625375,0,0,0.147899082176945,0,0,0,0,0,0,0,0,0,0,0,0.149873436719949,0,0.029451693637494,0,0,0
X5.HK.EQUITY,0,-0.184575422969895,0,-0.0865554583127563,0,0,0,0,0,-1.73472347597681e-18,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,1.16658995567238,-1.73472347597681e-18,-0.757538684848276,0,0.492396857021612,0,0,0,0,0,0,0,0,0,0,0,0,0.433967819480309,0,0,0,0,0,0,0,0,0,0,-0.0829528841126674,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.132089430330133,0,0,0,0,0.175486589412796,0,0,0,0,0.035085221236379,0,0,0,0,0,0.181386885875082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209914828544211,0,0,0.029948453622065,0,0.0621858805543494,0,0,-0.0593921858009915,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968752574259273,0.209176584030496,0,0,0,0.0215470655148282,0.504786169319903,0,0,0,0,0,0.161015620619549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
