,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.121397081573894,0,0,0,-0.175784539398586,0.255616819991598,0,0,0.0910226137621725,0,0,0,0.277094725246086,0,0,-0.127041622768458,0,0,0,0,-0.136273652401842,0,-0.194184827822209,0,0,0,-0.224259680423912,0,0,0.814960354731331,-0.0516668000539484,0,0,-0.0823528281851329,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.060145250981182,0,0.0344738390777944,0,0,0,0,0.171254443636632,0,0,0,0,0.0920952847250822,0,0.0987744679911175,0,0,0,0,0,0,0,0,0,0,0.036385036616506,0,3.46944695195361e-18,0.248105615711307,0,0.248216631813114,0,0,0,0,0.0101828963867643,0,0.00993758855832819,0,0,0,0,0,0,-0.0543324108025456
X601939.CH.EQUITY,0.323331612907424,0,0,0,0,0,0,0,0,0.127266911834373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0914286423493244,0,0,0,0,0,-0.247351193925981,-0.261283232284431,0,0,0.134562678572739,-6.93889390390723e-18,0,0.549406631132517,0,-0.0412664160300017,0,0,0,0.25380187097719,0,0,0,0,0.0302102958993668
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.360823314946437,0.195413474539494,0,0.351146385474322,0,0,0,0.063021620246738,-0.121796137644224,0.339436019967737,0,0,-0.143167143468246,0,0,0,0,0,0,0,0,0,0,0,0,-0.394045630925959,0,0,0,0,0,0,0,0,0,0,0,0.113355207731624,0,0.257861653521494,0,0,-0.0982053649539368,0
X5.HK.EQUITY,0,0,0,0,0,0.145938746438242,0,0.129086973999688,0,0,0.0717264497136595,0,0,0,0.172567670928991,0,0,0.119787548948526,0.0036247317823026,0,0,0.050788954674973,0,0,0,0,0,0,0,-0.0150041077246938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924244202395508,0,0,0,0.197153307001324,0,0,0
X601988.CH.EQUITY,0,0,0,-0.0217104949588112,0.475326487117849,0,0,0,0,0,0,0,0,0,0.0860879275430094,0,0,0,0,-0.186041119803246,-0.039116500404274,0,0,0.273486168657381,0,0,0,0,0,-0.407742521543623,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.146043950047703,0,0,0.0442982200457589,0,0
X600036.CH.EQUITY,0,0.217767393044206,-0.0273555345037135,0,0,0,0,-0.132238063843693,-6.93889390390723e-18,0.396223444474511,0,0.19153619788915,0,0,0,0.145902754354425,0,0,0,0.389151731600704,0,0,0,0,0,0,0,0.118854337903695,-0.115944229081526,0,0,0,0,-0.0147114117279525,0,0,0,0,0,0,0,0,0,0,0,-0.0449513828825452,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.298165667080687,0,0,0,0,0,-0.00761022908553505,-0.115584308663696,0,0,0,0,0.010054584720429,0,0,0,0,0,0,0,0,0.0261556404257058,0.150311377676076,0,0.116739093712486,0,0.121426122370118,0,0,0,0,0,0,0,0,0,0,-0.122067965563242,0,0,0,0,0,0,0,0,-0.0362733110249542
X601628.CH.EQUITY,0,0.123085454112455,0,0.0758108472079074,0,0,0,0,0,0,0.0145923803982681,0,0,0.254848140020876,0,0,0,0,0,0,0,0,0,0.147259171749633,0,0,0,0,0,0,0,0,0,0,0,0.119299061078994,0,0,0.0356172957972766,0,0,0.16544038862965,0.241894363584785,0,8.67361737988404e-19,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0521716888106889,0.0330001522441359,0,0,0.599838421078553,0,0,0,0,0,0,0,0,0,0,0,0,0.227002539304669,0,0,0,0,0,0,0.229659867987929,0,0,0,0,0,0,0,0,-0.0912763672020324,0,0,0,0,0,0,0,0.0749236964207393,0,-0.24523740116255,0,0,-0.0264656676818037,-0.0360635660884572,-0.146156683393466
