,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X600606.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.1347352337986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0841964402493258,0,0.440025620335471,0.365086326458319,0.0131098327709829,0,0,-0.0718128264804818,0,0,0.197412703542962,0,0,0,0,-0.297481143077586,0,0,0,0,0,0,0,0.0594028332413322,0,0,0,-0.344143163528307,0,0,0.078875769814811,0
X601318.CH.EQUITY,0,0,0,0,0,0.184942485490213,0,0,0,0,0,0,0,0,0,0,0,0.0939653272611719,0.0530884520126823,0,0,0,0,0,0,0,0,0,0.00417442034655281,0.0197945321673408,0,0.0682042153581229,0,0,-3.46944695195361e-18,0,0.237071383132421,0,0,0,0,0.0755053042433773,0,0,0,0,0,0,0,0.216615535490024,0,0.104867423863234
X601939.CH.EQUITY,0,0.0676747866285303,0,0.806940746838591,0,0,0,0,0,0.00207136979072038,0,0,0,0,0,0,0.0829637186029377,0.0179279831438614,0.0571288301617222,0,0,0.00324803432613087,0,0,0,0,0.0105754657673839,0,0,0,0.0100208045700715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.919230635882623,0,-0.0620325925881918,0,0,0,0,0,0,0,0,0,0,0,0,0.147472292043018,0,0,0,0,0,0,-0.0986725828438825,0,0,0,0.0232822049511894,0,0,0,0,0,0,0,0,0,0.0178965928930401,-0.0822550536908522,0,0,0,0,0,0,0,-0.0484828914664026,0,0,0,0
X601628.CH.EQUITY,-0.0101699094056251,0,0,0,0,0,0,0,0,0.0381967549140576,0,0.393569359117668,0,0,0,0,-0.0287537298434544,0,0,0,0,0.120959928388025,0,0,0,0,0,0,0,0,0,0,0,0,0.467551899384169,-0.12252621826248,0,0,0,0,0,0,0,0,0,0.00994530024801089,0.08404508978789,0,0,0,0,0.0869372982142912
X600036.CH.EQUITY,0,0,0.381993087543159,0,0,0,0,0,0.0199637522631083,0,0,0,0,0,0,0,0.125575930546504,0,0,0.00150399145147807,0.00716183059361498,0,0,0,0,0,0.191282518918149,0,0,0,0.178540609078233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196149056862299,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.070681232671257,0.128916629050564,0,0,0,0,-0.0388620289264931,-0.0668717837227386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110492189337474,0,0,0,0,0,0,0,-0.0362878132567456,0,1.06252700214366,0.0224264012859931,0
X1299.HK.EQUITY,0,0,0,0,0.261929719073516,0,0,0,0,0.189859141802244,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.243028635764778,0.0790838959510038,0,0.401385719432639,0,0.185988349843088,0.168462928417519,0,0.113066717654459,0,0,0,0,0.0117594105233129,0,0,0,0,0,0,0,-0.0923563515532381,0.106920538869271,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125692810020411,0,0,-0.0415497492976595,0,0,0,0.0353434017795168,0,0,0.326451664183225,0.27460612107877,0,0,0,0,0,0,0,-0.28152206765394,0,0,0,0,0,0,0,0,0.0246210601922765,0,0,0,0.281013963882428,0,0,0,-0.0278064893240296
X388.HK.EQUITY,0,0,0,0,0.299952384608827,0,0,0,0.105666270589653,0,0,0,0,0,0,0.0847899929109331,0,0,-0.391745389084842,0,0,0,0.27984221699722,0,0.20251995449408,0,0,0,0.0108160389519121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168292896145492,0,0,0.213924423751117,0,0,0,0,0.0723170644434613
