,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.128593118228139,0.52771274484503,0,0,0,0.0344588299178941,0,0,0.0106136612816749,0.0723709760891586,0,0,0,0.174222570218074,0,0,0.00935961628665999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260927452138068,0,0,0,0,0,0,0,0.0505975722951963
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.127455874171421,0.280617208610381,0,0,0,0.0185984450467562,0,0,0.0146957025313875,0,0.327559450643213,0.0909934719828198,0,0,0.0673998542027396,0,0,0,0.0418738691620149,0,0,0,-0.0456366670814854,0,0,0,0,0,0,0,0,0,0.0579963877898799,0,0,0,0,0,0,0.00315083163501712,0,0,0,0.00437621058912858
X601939.CH.EQUITY,0.130918913610279,0,0,0.516457780476922,0.0867364880108302,0.0800039755175934,0,0,0,0.0716691373995205,0,0,0,0,0,0,0,-0.0471893333074623,0,0,0,0,0,0,0,0,0,0.179277902290475,0,-0.00772702051754485,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00643755882113073,0,0,0,0.0468538714499279
X601288.CH.EQUITY,0,0,1.38777878078145e-17,0,0,0,0,0,0.0734346153061063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160832182177016,0,0,0.533681445259916,0,-0.0416407677903907,0,0.102669111061215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.029866958626428,0,0,0,0.225104676702077,0,0.111465641055692,0,0,0.285924462691688,0,0,0,0,0.0409525764387436,0,0,0.0263046612192991,0,0,0,0,0,0,0.0541163999223287,0,0,-0.10315924694493,0,0,0,0,0,0.141207051975141,0,0,0,0,0.0739809300891686,0,0,0,0,0,0,0.175307164572836,-0.154483234590632,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.362032279199078,0,0,0,0.121088805937654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116885475234559,0,0,0,0,-0.248758039726864,0,0.0461728510466361,0.0629308525200338,0,0,0,0,0,0,0,0,0.0687271619542169,0,0,0,0,0,0,0,-0.150187234297694,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0960046332423446,0,0.0848600821970769,0,-0.150587288069597,0,0.0935296291273623,0,0,0,0.565486488588221,0,0,0.0136305706735576,0,0,0.0997050338579774,0,0,0,0,0,0.058932249434249,0,0,0,0,0.0446783085651036,0.234829894755282,0,0,0,0.123321805348521,0,0,0,0.0126886423975721
X1299.HK.EQUITY,0,0,0,0,0.243783427399774,0,0,0,0,0,0,0,0,0,0.0904774466327389,0,0.11505909464791,0,0,0,0,0.0608201375869907,0,0,0,0,0.0738835818486217,0,0.167700742549873,0,0.0294632866139455,0.119354669914215,0,0,0.058100384888178,0,0,0,0,0,0,0,0,-0.10265961273348,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.17563587342284,0,0.17533550146458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618027603009312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114223130203464,0,0,0.387671432206692,0,0,0.0424762284295419,0.0117135446925711,0,0.126017174786347,0.0615544285292661,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.371293076909557,0,0,0,0,0,0,0,3.46944695195361e-18,0.419985969844328,0,0,0,0,0,0,0,0,0.0103841772171715,0,0.150840817243184,0,0,0,0,0,0,0,-0.0180509215490427,0,0,0.027174620150975,0,0,0,0,0,0.0913380135232301,0,-0.0160757349971499,0.213488101020879,0,0,0,0.0812999732430911,0,0,0,0
