,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.113835911968358,0,0.0858231421065954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412292722593536,0,0.499635537105192,0,0,0.151184561725866,0,0,0,0,-0.148871128462149,0,0,0,0,-0.166673100182384,0,0,0,0,-0.808352388803017,0,0,0,0,0,0,0.0905743400257516,0,0,0
X601939.CH.EQUITY,0,0,0,0.307197621597716,0,0,0,-0.0144690970880261,0.0845009506288285,0,0,0,0,0.294844693326407,-0.0471663325187728,0,0,0,0,0,-0.020069770873831,0,0,1.73472347597681e-18,0,0,-0.0477990970191716,0,-0.126852478178023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047944652472169,0.385381985147535,0,0,0,0.0422059209382314,0.087244903594537,0.153550705617652
X601318.CH.EQUITY,0,0,0,1.73472347597681e-18,0.0666042971926443,0.295227985586818,0,0,0,0,0,0,0,0,0,0,0,0,0.0494320888387505,0,0.129325706754132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328769269963805,0,0,0,0.026416964607932,0,-8.67361737988404e-19,0.0745015036197217,0,0,0,0
X601288.CH.EQUITY,0,0.675255053131361,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0347009298134018,0.151149010140205,0,0,0,0,0,0,0,0,0,0.109707732919647,0,0,0,0,0,0,0,0,0,0,-0.0406955224486023,0,0.00643627482933757,0,0,0,0,0,0,0,-0.0596182716205834,0,0,0,0,0,-0.0510669508974973,0,-0.037579894770265
X601988.CH.EQUITY,0,0.26520875831542,0,0.19210126211182,0,0,0,0,0,0,0.0740435743779726,0,0,0,0,0.0549204281850195,0.120179241310555,0,0,0.0957531414840437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.541733854848764,0,0,0,0,0,0.163848352122506,0,0,0,0,0,0,0,0.30297857938702
X600036.CH.EQUITY,0,0.123273530246485,0.00877734379028945,0,0,0,0,0.121252568305542,0,0,0,0,0.0788173620095825,0,0,0,0,0,0.0358930083675795,0.0418552456459134,0.0842026948235378,0,0,0,0,0,0,0,0,0,0,0,0,0.361260478316152,0.103611113512765,0,0,0,0,0,0,0,0,-0.0614212296323696,0.0450532400937688,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.00987728394176177,0,0,0,0.0330361639035637,0,0,0,0,0,0.193563061702188,0,0,0.083445405672207,0,0,0,0.273599384112826,3.46944695195361e-18,0,0,0,-0.122993029427151,0,0.0149611199983034,0,0,0.122706469705083,0.0598081830960625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343519492689119,0.0279119575389,0,0,0,0.0105285480725085,0,0.115904351630288
X601628.CH.EQUITY,0,0,0,0,0,0.346410021920422,0,0,0,-0.160983712469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322787044317348,0,0,0,0,0,0,0,0,0.0613423621208991,0.152117442512858,0,0.102142552674116,0,0.14339744851482,0.060789438288968,0,0,0,0.141673345512468,0,0,0,-0.0588191978237518,0,0,0.00633099540253817
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457239934520669,0,0,0,0,0,0,0.0419270409046164,0.536722155203091,-0.338879258804967,0,0.593083636215893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470009704472016,0,0.213742760693708,0,0
X388.HK.EQUITY,0,0,0.273882094003885,0.0279638154418807,0,0,0,0,-0.0291781775684179,0,0,0.0103700334471384,0,0,0,0,0,0,0,0,0,0.196095633132458,0,0,0,0,0,0,0,0,0,0,0,0,0.142210071238809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
