,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.243986352974831,0.182629042363261,0,0.227381751158886,0,-0.147497653277253,0,0,0.115394101514005,0,0,0,0,-0.0165571053209417,0,0.0433991485116795,0,0,0,0,0,0,0,0.117649943248681,0,0,-0.0978898391250573,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,-0.0325471116858361,0,-0.0268524999501167,0,0.0519090926073247,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.185836936020554,0,0,0,0.29338061733701,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0674342427333655,0,0,0,0,0,0,0,-0.249496321681554,0.274039088813655,0,0.190008943309349,0,-0.00144959280125076,0,0,0,0.063519400982738,0,0,0
X601939.CH.EQUITY,0.425897532745018,0,0,0.0869082177502548,0.107528171602483,0,0,0,0,0,0,0,0.141608781698827,0,0,0,0,0,0,0.0137087112829222,0.12814683652197,0.0123014774064444,0,0.0302683148688697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321648883909327,0,0,0,0,0,0,-0.170913098318642,0,0,0,0,0
X601288.CH.EQUITY,0.389948669869389,0.0382991394448843,0.11480903716791,0,0.0436345320456735,0,0,0,0,0,0,0,0,0,0,0,0.0298226607927861,0,0,0,0.0164369880956772,0,0,0,0,0,0,0,0,0,0,0,0.0978852628593187,0,0,-0.0541241361758858,0,0.115941905519311,0.0883033461157016,0,0,0.231095359304152,0,0,0,0,0,0,0.0659277134258119,0,-0.0369038641258061
X5.HK.EQUITY,0,-0.237202769279881,0,0.00491520384181553,0,0,0,0,-0.321821356935272,0,0.292449326680683,0,0,0,0.0737601852438578,0,0,0.101342673538628,0,0.00267169808204141,0,0,-0.0889430295496149,0.609092716303801,0,0,0,-0.00221158789988603,0,0,0,0,0,0,0,0,0,0,0.0315553720299102,0,0.0947164698362724,0,0,0,0,0,0,0,0,-0.291235322440082,0
X601988.CH.EQUITY,0,0,0.22706615527883,0.224393437791664,0,0,0,0,0,0.213246845558997,0.0843694556391001,0,0,0,-0.172653783212487,0,0,0,0,0,0.0347276241628079,0.125193710672934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635127362170757,0,0,0,0.0652675729949596,0,0,0,0,-0.0475484107296076,0.159484406318164
X600036.CH.EQUITY,0,0.350677792074596,0,0,0,0,0,-0.0267611155084241,0,0,0,0,0.185810109771384,0,0,0,0,0,0.0607074223860386,0,0.0224373349089139,0,0,0.267697827892951,0,0,0,-0.0051649070454763,0,-0.00111750625071848,0.218936942885084,0,0,0,0,0,0,0,0,0,0.0623681688047444,0,0,0,0,0,0.0191560477376094,0,0,0,0
X601628.CH.EQUITY,0,0.055024812377128,0,0.32398787360613,0,0,0,0,0,0,0,0,0,0.297734471480533,0,0,0,0,0,0,4.33680868994202e-19,0,0.0291746554188493,0,0,0,0,0.103855112073355,0,0,0,0,0,0,0,0,0,0,0,0,0.134591580439208,0,0,0,0,0,0,0,0,0,0.11749090618773
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357747861788796,0,0,0,0,0,0.170091396285424,0,0.136671202914711,0,0.169187590231768,0,0,0,0,0.0182384640338053,0.388877793131377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525184952208916,0,0,0,0,-0.00438807918223675
X601166.CH.EQUITY,0,0,0.0970406400750689,0,0,0.0571927561198059,0,0,0,0,0,0,0,0,0,0.24227930912957,0,0,0,0,0,0,0,0,0,0,0,0.0182915990411447,0,0,0.409670997394775,0,0.231283175908403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.082238613527145
