,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,TED,RealEstateDiff
X601328.CH.EQUITY,0,0,0,0,0.231505339840998,0,0,0,0,0.0985401106457643,0,0,0,0,0.0449109005439311,0.083014333753944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113021254691559,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0636362348275145,0.214031423067924,0,0,0.20256098492563,0,0.259595584710771,0.104908784129868,0.0890722477337006,0,0.0505313245995877,0,0,0,0,0,0,0,-0.0571864394176943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129604116762062,0,0,0,0,0
X601577.CH.EQUITY,0.176499064626701,0,0,0,0,0,0.279470098376931,0.32950543918199,0,0,0,0.291853420212785,0,0.0488234181336009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169208594447477,0,0,0.0454988138721154,0,-0.279913662176587,0,0,0,0.0403181814157358,0,0,0,0,0,0,0,0,0,0,0,0.00379782755315733
X601818.CH.EQUITY,0,0,1.01034964393122,0.0416240418501327,0,0,0,0,0,0,0.0182721599335891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148421158917076,0,0,0,0,-0.0102527936681607,0,0,-0.138509458308844,-0.0843657801130474,0.0726429337866289,0,0,0,0,0,0,-0.14268859550739,0,0,-0.0630665861168907,0,0.0732534149400493,0,-0.0316102156663725
X601838.CH.EQUITY,0,0,0,0.0557772929009023,0,0,0,0.433564359632909,0.0550387299448985,0,0,0.063312995386334,0.0741265069209111,0,0.0448942634722934,0.0506229309066363,0,0,0,0,0,0,0,0,0,0,0,0.131582790193906,0,0.0714741799588879,0,0,0,0,0,0,0,0,0,0,0,0,0.0822365393006936,0.201069924385669,0.0255811260041519,0,0,0,3.46944695195361e-18,0,0,0
X601939.CH.EQUITY,0,0,0,0.02615900687145,0,0,0,0,0,-0.0338122260161375,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.166519564920414,0,0,-0.265219234826555,0,0.216131627539065,0,0,0,0,0,0.0110792638279222,0,0,0.114050193273417,0,0,0,0,0,0,0,0,-0.466681297303036,-0.223456927682206,0.725458158259799,0,0,-0.135746350943501,0,0,-0.0766269086549261,0
X601988.CH.EQUITY,0,0,0,0,0.312945244653854,0,0,0,0,0,0,0,0.228315830991102,0.0308253921738755,0,0,0,0,0,0,0.0440872577551059,0,0,0.0899599462008484,0.146753696037204,0,0,-0.0168743503252169,0.0340847879067006,0,0,0,0,0,0,0.0454471901785047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601997.CH.EQUITY,0.0145083055891526,0,0,0,0.0891102379658378,0.473454541893152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138399375730862,0,0.0577261347215942,0,0,0,0.0351849075393179,-0.162000495674843,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240829208704265,0.181169849375556,0,0,0,0,0.124961985814851,0.0454382976682558,0.162737650006454
X601998.CH.EQUITY,0,0,0,0,0.103005466209092,0,0,0,0,0,0,0,0,0,0.1441753527487,0,0,0,0.0240151640155861,0,0.193867940155599,0,0.121216045416509,0,0,-0.0599697585896499,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00638845749765571,0,0.154094705084757,0,0,0,0,0,-0.0341021243916904,0.200698882804322,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0.305291628302216,0.166892248894828,0,0,0,0,0,0,0,-0.0270459009376841,0,0,0,0,0,0.177581975783273,0.013720409007011,0,-0.149708637616815,0,0,0,0.0205438403304324,0,0,0,0,0,0,0,0,0,0.123523041240174,0,0,0,0,0,0,0,0,0,0,0
