,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.107140334763087,0,-0.00917416142434276,0,0.481386872433392,0.0394972613973927,0.0400483727687887,0,0,0,0,0.00801342227362972,0,0,0,0.0417160669419255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171965154638148,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.270141134562677,0,0,0,0,0,0
X002142.CH.EQUITY,0.155318665625824,0,0,0,0,-6.93889390390723e-18,0,0.533979520918409,0.126082592601932,0,-0.0432594235320104,0,0,0,0,0,0.0899657597562617,-0.106635207692596,0,0,0,0.135867335371577,0,-0.103370599847369,0,0,0,0,0,0,0,0,0,0,0.229719838159086,0.0632567135895315,0,0,0,0,0,0,0,0,0,0,0,0,-0.0580707107741539,-0.106160384118464,0,0
X600000.CH.EQUITY,0.144056476351856,0,0,0,0,0,0,0,0,0,0.304254067616535,0,0,0,0,0.11317957499172,0.0992062227028866,0,0,0,0,0.0587069336888857,0.0400812721198972,0,0,0,0.087181435029229,0,0,-0.0286117273815206,0,0,0,0,0,0,0,0.098647629398401,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428659240274219
X600015.CH.EQUITY,0.0325740105119998,0.00451962719103089,0.118854628488994,0,0,0,0.443673256929551,0,0.057768048315587,0,0,0,0,0,0,0.0503825194178878,0,0,0,0,3.46944695195361e-18,0.20576084010137,0,0,0.0641033371856801,0,-0.00886145700563291,0,0,0,0,0,0,0,0,0,0.0210216078109623,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.112693039128859,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0.0461863285630019,0,0,0,0.0723474723039717,0.412492851733668,0,0,0.204939198146084,0,0.0998697445994395,0,0,0.0859188262771537,0,0,0,0,0.0876730955426372,0,0,0.0171098281027767,0.0188264275955313,-0.0523107819164455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104514036628676,0,0,0,0.0114287735806301
X600036.CH.EQUITY,0.255216468705824,0,0,0,0.396193526034208,0,0,0,0,0.0849599848980539,0.0461281784511114,0,0,0,0,0,0.0462871170361265,0,0,0,0,0.0577635424225759,0,0,0,0,0,0,0,0,0,0.0570740174544517,0,0,0,0,0,0,0,0,0,0.00570287546865256,0,0,0.103601188026946,0,2.16840434497101e-19,-0.127872274346112,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.014430574092192,0,0,0,0.259551315848652,0,0,0,0,0,0,0,0.407462233565387,0,0.360842668158053,0,0,0,0,0,0,0,0.111869746938156,0,0.113823581621401,0.108197926407735,0,0,0,0,0,0,0,-0.066580926214418,0,0,0,0,0,-0.124080393932325,0,0,0.111045973453455,0
X600926.CH.EQUITY,0,0.0280256902022473,0,-0.0413718551324807,0,0.037751154304559,0,0,0,0.670500856514438,0,0,0,-0.099399145947157,0,0,0,0.0697766059488409,0,0,0,0,0,0,0,-0.0290234593372191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0534462364789314,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.194705704736896,0,0,0.257073537525624,0,0,0,0,0,0,0,0,0,0,0,0,0.0719050900873797,0,0.162714835374316,0,0.0565584656042007,0.00649359905548895,0.0551897958329717,0.0144807119345427,0.00874649759309759,0,0,0.0636000609830579,0,0,0,0,0,0,0,0,0,0.0698313683753314,0,0,0,0,0,0.0265482193478573,0.0498630875298145,0,-0.0807577532898408,0,0,0,0,0
X601166.CH.EQUITY,0.470865300287592,0,0,0,0,0.230993994076205,0,0.141168866407841,0,0,0,0,0,0,0,0,0,0.044259353813576,0,0,0,0,0.00155886041459104,0,0,0,-0.0895965854192233,0.165749411458526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015082626067288,0,0.150793514386603,0,-0.0664097017698632,0
X601169.CH.EQUITY,0,0,0,0,0.754255377582585,0.130038936643735,0,0,-0.0548296006125186,0,0,0,0,0,0,0,0.0173715926905754,0,0.1236069943834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549642452144407,0,0,0.0356599292341002,0,0,0,0,0,-0.173770833828631,0,0,0.0821636612121516,-0.123899213164216,0,0
X601229.CH.EQUITY,0,0.0297587212483812,0,0.387080222569675,0,0.152028569769234,0,0,0.1519347592327,0,0,0,0,0,0,0.251711118485556,0,0.0163665657061139,-0.00123694006644635,0,0,0,1.73472347597681e-18,0,0,6.7762635780344e-21,0.12611842798607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.170386576618362,0,0,0,0,0,0.00667728637054909,0,0,0,0,0,0,0,0,0,0.202639849986867,0.485702767951318,0.0500199947336933,0.00537802055947606,0,0,0,0,0,-0.0249896436111006,0,0.0451855416881319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0741749473347913,0.0855881960061816,0.105359805013483,0,0,0,0,0,0,0.146270587036226,0,0,0.15047990730945,0,0,0,0.0967829149950359,0.221579395557796,0,8.67361737988404e-19,0,0,0.0471361494295885,0,0,0,0,0.0543137533897794,0,0,0,0,0,0,0,0.0695152694722852,0,0,0,0,0,0.0315128981148047,0,0,0,0,0,0.00781981751251394,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.012950323852745,0,0,0.143947280079219,0,0,0,0,0,0.353160250836046,0.234124824484954,0,0.137965813501455,0,0,0,0,-0.00432637977443418,0,0,0,0,0,0,0,0,0,0.0299131271761429,0,0,6.93889390390723e-18,0,0.0389257974443447,0,0,0.0306102464452294,0,0,0,0,0.0754084840095689,0,0
X601577.CH.EQUITY,0,0,0.011555377467956,0.070080225895064,0,0,0,0,0.126560495891972,0,0,0.259717096311094,0,0,0,0,0,0.275242417137169,0,0,0,0,0,0.0622332922023293,0,0,0,0,0,0,0,0,0.0342376034092698,0,0,0,0,0.0310712419221075,0,0,0,0,0,0,-0.0389273374376068,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.0603587707799405,0.0890159397594557,0.114480903448147,0,0,0,0,0,0,0,0,0,0,0,0,0.0376890622051196,0,0,0,0,0.259508704844642,0.169487985047532,0.0287944977793859,0,0,0.072551700158319,-0.10744352893879,0,0,0,0,0,0,0.124124366036766,0,0,0,0,0,0,0,0.093799453562063,0.0107088372009803,0.0486176152222872,0,0,0,0,0,0.0154375524812545,0.137191188209863,0
X601838.CH.EQUITY,0.181489313409276,0,-0.0849508621155531,0,0,0,0,0.363516588453185,-0.0381090287918641,0,0,0,0,0,0,0.161532996837811,0,0,0,0,0.0848015679376438,0,0,-0.114594944646937,0.331376559433133,-0.0334585329078359,0,0.0676181363503048,0,0.0517363899405241,0,0,0,0,0,0,0,0,0,0,0,0.0312937942774816,0,0,-0.197664585668159,0,0,1.73472347597681e-18,0,0,-0.037383572073337,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.0163583683809104,0,0,0,0.109593122726856,0,0,0,0.583001551803488,0,0,0.0221180979372388,0,0,0,0,0,0,0.0142124290280379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174534384303476,0,0.144245446628601,0,0.0509414893569443,0
