,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.108058148425389,0.11647015976484,0,0.159658043375719,0.0273214248340539,0,0,0,0,0,0,0,0,0.0197299279257567,0,0,0,0,0,0,0.193257637204489,0,0,0,0,0,0,0,0,0,0,0,0,0.144316116232738,0.00433774339052485,0,0.0238106098793912,0.136197301706952,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.302303191625587,0,0,0.183289923791851,0.379225123692854,0,0,0,0,0,0,0,0,0,0,0,0.0689057877552928,0,0,-0.350358472397323,0,0.110977124974501,0.0707254272033862,0,0,0.0409115071838765,0,0,0,0,0,0.157099893288602,0,0,0.224982515188243,0,0.032370994079897,0,0,0,0,0,0,0,0,0,0,-0.188013565580715,0,0,-0.0669830390053172,0
X600000.CH.EQUITY,0,0,0,0,0.0929918774241969,0,0,-0.0264838006608849,0.168894039964302,2.16840434497101e-19,0,0,0.276127345491121,0,0,0,0,0,0,0,-0.0746792853675005,0,0,0,0,0.281769237169239,0,0,0,0,0,0,0,0,0,0,0,0,0.120437888176987,0,0.739543434092637,0,-0.104898914257318,0,0,0,0,0,0,0,0,0.0858827432245627
X600016.CH.EQUITY,0,0.0897496670448669,0,0,0,0.0705594905451407,0,0.0147645173705997,0.0639340347440477,0.10402033317215,0,0.17434033917461,0,0,0,0,0,0.0801208229240477,0,0,0,0,0,0,0,0.0829185059521165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917631015136681,0,0,0,0,0,0,0,0,0.0187024720808223,0
X600036.CH.EQUITY,0,0.120960919616217,0.104812819985115,0,0,0,0,0,0,0,0,0,0.406186020183917,0,0,0,0,0.187877695608604,0.0222028731741776,0,0,0,0,0,0,0,0,0,0,0,0,-0.00512057329330571,0,0,0,0.00628461503050131,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0125451690531282,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0617306490953157,0.0657991567859819,0.087531807319815,0,0.269957010280637,0,0.0251395833958855,0,0,0,0,0.335054810726021,0,0.0472745513156585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715578946273878,-0.00532297142013672,0,0,0,0,0,0,0,0,0,0,0,0,0.0171058105915591,0,0,0,0,0,0,0.0131137057763322,0
X601169.CH.EQUITY,0,-0.0595084154023284,0,0,0,0,0,0,0,0,0,0,0,0.769980937890134,0.0901624942418716,0,0,0,0,0,0.00283266032536481,0.0451730052951506,0.0413200069477427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551483197563735,0,0.0271886711122835,0,0,0,0,0,0,0,0,0,0,0,-0.0191503556006195
X601229.CH.EQUITY,0,0,0,0,0.0774739076392067,0,0,0,0,0,0.800398848585742,0,0,0,0,0,0,0,0.408253361447852,0,0,0,0,0,0,0,0,0,0.196254036339541,0,0,0,0,0,0,0,0,0,-0.143840622206648,0,0,0,-0.203032069133117,-0.0478306719889551,0,0,0,-0.139768565890548,0,0,0,0.0255628918746604
X601288.CH.EQUITY,0,0,0.0396944246840428,0,0,0,0,0,0,0.0094907141001058,0,-1.73472347597681e-18,0.854694903476092,0,0,0,0,0.024122839319496,0,0,0,-0.0543474105931457,0,0,0,0,0,0,0,0,0,0,0,0.19034893851766,0,0,-0.08274419904928,0,0,0.045825975980306,-0.134028932210944,0,-0.047659121579832,0,0,0.0232084410280086,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0291375766357233,0.37342325090428,0.11406292411624,0,0,0.249030636701049,0.0462856234126679,0,0,0,0,0.0205274257876378,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.0735217512565555,0,0,0,0,0,0,0.117390970490862,0,0,0,0,0,0.550985460592312,0,0,0,0,0,0,0,-0.232779754133162,0,0,-0.0229685875440718,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.122533062149416,0.05520572421382,0,0,-0.211873042750266,0,0,0.544446309551571,0,0,0
X601818.CH.EQUITY,0,0,0.0793734343340162,0,0,0,0,0,0.181925273139687,0,0,0,0,0.101421809166724,0,0,0,0,0,0.0589546355988958,0,0,0.019892435066099,0,0,0,0,0,0,0,0,0,0,0.182518353340725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815565549920802,0,0,0,0.0227863061145856
X601939.CH.EQUITY,0.0757159974448482,0,0.0953766841370825,0,0,0,0,0,0.809293309164742,0,0,0,0,0,0,0,0,0.00895963117964818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367463306509891,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0112448753646086,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.104523864288335,0.965647497195856,0,0.0965174837164069,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.137953997389462,0,0,-0.0150584457979116,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511275239644005,0,0.0363522956336362,0,-0.028318269837679,0,0,0,0,-0.0639034827179727,0,0,0,0,-0.0233970324180328,0.0597622240984364
X601998.CH.EQUITY,0,0,0,0,0,0,0.559060090364993,0,0,0,0.210963756084628,0,0,0,0,0,0,0,0,0,0.0468673610090477,0,0,0,0,0.0247878318730322,0,0,0.098918682599835,-0.0936805645993451,0,0,0,0.208708775400881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663338888265701,0,0,0
X601658.CH.Equity,0.092902913284145,0,0,0,0,0,0,0,0.196115147269422,0,0,0,0.0730723343243401,0,0,0,0,0,0,0,0,0.136866057452027,0,0,0,0,0,0,0,0,0,0,0,0.13705699264875,0,0,0,0,0,0,0,0.0669748619132036,-0.0847978483248442,-0.102387948776926,0.295842115654936,0,0,0,0,-0.0445746916302792,0.0959917692915631,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0909256351070561,0,0,0,0,0,0,0.206982624357947,0.432878032775762,0,0,0,0,0,0.0771998311324451,0,0,0,0,0,0,-0.0988397489348391,0,0,0,-6.93889390390723e-18,0.0809274895263159,0.0349269319644711,0,0,0,0,0,0.044062429295351,1.73472347597681e-18,0.119165007332239,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0.0157196218344996,0,0,0,0,0.0213266193821737,0,0,0,0,0,0,0,0.284578625458719,0,0.0217154187896428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,-0.149691623586106,0,0,0.0789371391128038,0,0.0495503313455362,0,0.065577593838595,0,0.415886429030926,-0.0698066714972755,0.0872451830709909
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0844103201118174,0,0,0,0,0,0,0,0,0.468715108563377,0.237586833172467,0,0,0,0,0,0,-0.131571681329083,0,0,0,0,0,-0.0674703814820705,0,0,-0.159250075093734,0,0,-0.00801281018566731,0,0.0909545107143842,0,0,0,0,0.00525452005880598,0,0.00563507276739735,0,0,3.46944695195361e-18,0,0,0
X000166.CH.EQUITY,0.051972033461991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156043304523723,0.0323684470088308,0,0,0.272069693030299,0,0,0,0,0.151110892847669,0.0810656160093231,0,0,0,0.10140054064681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0.160259422479342,0,0,0,0.0294878716989398,0,0,0,0,0,0,0.0418690767349509,0,0,0,0,0.0349247961591298,0,0,0,0,0.171265063236009,0.00754144982367174,0,0.132714631322087,0.0652984890905119,0,0,0,0,0.44775406026365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230224545328611,0,0,0
X002736.CH.EQUITY,0.216752994929982,0.0374288432902677,0,0,0,0,0.0436856157912836,0,0,0.0621882258438655,0,0,0,0,0,0,0,0,-0.0522861833973156,0.138458311180122,0,0,0,0.361158418797547,0,0.0690187249541158,0,0,0,0.0988327998994378,0,0.0596463764911021,0,0,0,0,0,0,0,0,0,0,0.126509362602277,0,0,-0.0563923829569248,0,0,0,0,-0.111518578200984,0
