,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.162220276331757,0.01683720762952,0,0,0.196851678898307,0,0,0.0323181351192124,0,0,0,0.247524709152191,0,0,0.160767631775255,0,0,0,0,0,0,0,0,0,0,0,0.114901882139504,0,0,0,0.0959386486017084,0,0,0,0,0,0,0,0.018643540062738,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,-5.55111512312578e-17,0,0,0,0,0.504158441636257,0,0,0,0,0,0,0.0637128042761629,0,0,-0.114298605865196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331337730009467,0,0.236362109576461,0,0,0,-0.202878599102018,0,0,-0.114709287888175,0,0,0,0,0,0,0,0,0,0,-0.0211325912500058,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.344828282898491,0,0,0.376143214138378,0,0,0,0,0.0569094822292097,0,0,0,0,0.0551467367803227,0.0650288731362069,0.108407736970571,0,0,0,0,0,0,0,0,0,0,0,0.0395642199458653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.374263255023331,0,0,0,0,0.141580665372178,0,0,0,0,0,0.00811126602131064,0.116399106610503,0.212580238942115,0,0,0,0,0,0,0,0,0,0.00520128256809681,0,0.0255812206560399,0,0,0,0,0.0190946200955761,0,0,0,0,0,0,0.0304069748853831,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.107359981907545,0,0.00282093361308693,0,0.409794577412824,0,0,0,0,0.0607731154099322,0,0,0,0,0,0,0.00503209617676101,0,0,0,0,0.243488961843934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801651535348527,0,0,0,0,0
X600036.CH.EQUITY,0.195852022605912,0,0,0,0,0,0.409744093959335,0,0,0,0,0,0.0153258113010975,0,0,0,0,0,0,0,0.113980253401182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106723170762226,0,0,0,0.00232238899481285,0,0,0,0,0
X601166.CH.EQUITY,0.290641325495157,0,0,0.123410165925534,0,0.185180502246978,0,0.0279485976590695,0,0,0,0,0.26438095108519,0,0,0.00202885934630357,0,0,0,0.0624399084813324,0,0,0,0,0,0,0,0,0.00846362971588206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298256653628541,0,0,0,0
X601169.CH.EQUITY,0.0643965475895958,0,0.227640359019993,0.0582321977172204,0,0,0.00843010259018783,0,0.0603805460813859,0,0.054698433241253,0.208913638602601,0,0,0,0,0,0,0,0,0,0,0.00784140862677249,0,0.12311942877613,0,0,0.0435019549679856,0,0,0,0,0.153590247864788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129956406073932
X601229.CH.EQUITY,0,0.0183636505769712,0,0,0,0,0.233193584428164,0.201776975717646,0,0,0,0,0,0.0143245462736888,0,0,0.0602227430915748,0,0,0,-0.0322970624478263,0,0,0,0,0.105950800719865,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172823177062092,0,0,0,0,0,0.193152554543635,-6.93889390390723e-18,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.00183120387237076,1.73472347597681e-18,0,0,0,0,0.355787119397869,0,0.0859896795066546,0.442162318805355,0,0,0,0,0,0.0224076693115165,0,0,0,0,0,0,0,0,0.0509712125695749,0,0,0,0,0,0,0.00752065500316604,0,0,0,0,0,0,0,0,0,0,0,0.0325471301466508,0,-0.0459968518988389,0
