,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0131717381735214,0,0.0270035632596787,0,0,0,0,0,0.162624458436654,0.0802830653475619,0,-0.0250176368479272,0,0.139965736266384,0,-0.0513441659115096,0,0,0.393754075519338,0,0.00794934368452659,0,0,0,0,0,0.0459777692074704,0.399001750413085,0,0,0,0.0366175087053341,0,0,0.0175772427560559,0,0,0,0.0203151451203949,-0.101344779072839
X2892.TT.EQUITY,0,0,0,-0.0141150966306261,0,0,0,0,0,0,-0.00176222076442107,0,0,0,0.018629496021652,0,0,-0.0912641876787451,0,0,-0.00081428432135953,0,0.13953235933267,0,0,-0.0964815991755779,0,0,0.0385540191493973,0.173790322804176,0.137505853295032,0.297800012642329,0,0.337864971641754,0,0,0,0,0,-0.00673598644109456,0,0,0,0,0,0,0.0492087232824261,0,0,0,0,0
X5880.TT.EQUITY,0,0.0234296086288691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237992063899323,0.290123841320716,0.0797741550734219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120769359827787,0,0,0.100505924168967,0,-0.0113949295500413,0.0994403724851024
X600030.CH.EQUITY,0,0,0,0,-0.0074441553849418,0,0,0.0682897751133835,0,0,0,0.0595460879435024,0,0,0,0,0,0,0,0,0.00596283515382611,0,0,0,0,-0.0334321385247124,0,0,0,0,0,0,0,0.0341284213354436,0,0.224077193211724,0,0.490844462222433,0,0,0,0,0.171773945013175,0,0,0,0,0,0,0.0504787710676288,0,0.0309905648429213
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689523723920081,0,0,-0.0559159236390504,0,0,0,0,0,0.180523673106645,0,0.14618747263685,0.0858321298017259,0,0.200271666293262,0,0.167175153881379,0,0,0.00414306771659878,0,0,0,0,0,0,0.047091239704615
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.367482548862774,0,0,0,-0.0186573027844,0,0,-0.123738102303693,0,0.106741626434788,0,0,0,0.139055991852934,0,0,0,0,0,0,0.0623034872108257,0,0,0.00877852121447684,0.165079308070711,0.427542202386804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317274353259618
X601688.CH.EQUITY,0,-0.0468290132213911,0,0,0.035976660020247,0,0,0,0,0,0,0,0,0,0,0.0957650704722561,0.0925316200338721,0,0,0,0,0,0,0,0,0,0,-0.055702683169128,0,0,0,-0.0360785877290266,0,0,0.218794610164134,0.471200929751499,0,0,0,0.0804332956144883,0,0.128836157364021,0,0.0110341115029591,0,0,0,0,0,-0.0497965270490869,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,-0.109855671914493,-0.129892410606086,0,0,0,0,0,0,0,0,0.0623269763172972,0.346199802876262,0,0.115461454777485,0,0,0,0,0,-0.261203502036811,0.0178199905306751,0,0,0,0,0.339734893877439,0,0,0,0,0,0,0,0,0,0,0,0.232237823063935,0,0,0,0.0145194866222263,0.0802196007836993,0,0,0
X601318.CH.EQUITY,6.93889390390723e-18,0,0,0,0,0.0873771123964817,0,-0.0165841107884099,0.00633770006703936,0.038732001665477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120306781512785,0,0.132115535050345,0,0,0,0,0,0.136463569353585,0,0,0,0,0,0.204947136106768,0,0,0,0,0,0.421678265946838,0.0426269894266962,0,0,0,0,0,0,-1.73472347597681e-18
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0561589780012967,0,0.442731432645873,0,0,0,0,0,0,0,0.181574913348253,0,0,0,0,0,0.291631574780845,0,0
