,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.255219354064985,0,0,0,0.107578025329044,0,0,0,0,0,0,0,0,0,0,0,0,0.126536533247885,0,0,0,0,0.0290597213410875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327508376856513,0,0,0.0250976313029435,0,0,0.0518549925597175,0,-0.0369441773486756,-0.0446127634635049
X002142.CH.EQUITY,0.0732750669699092,0,0,0,0,0.1867062028057,0,0.118850369679251,0,0.0791294570595567,0,0,0.103509961330915,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335038819309221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480934205186036,0.0512864215130898,0,0,0,0.0713660786003856,0,0,0
X600000.CH.EQUITY,0,0,0,0.214912265149094,0,0.0871292945964719,0.115437744024727,0,0.0275833340598269,0,0,0.223556126302444,0.00848873994721523,0.0399112958451668,0,0,0.0969113302132434,0,0.0519324000549626,0,0,0,0,0,0,0,0,0.0773642431954492,0,0,0,0,0,0,0,0,0,0.0913704965790745,0,0,0.020661286332679,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.158309725536199,0,0,-0.00732078666157434,0,0,0,0,0.394916352172529,0,0,0.0816201806693834,0,0,0,0,0.109287093400379,0,0,0,-0.0222900537020378,0,0.341380102437356,0,0.0138831786499899,0,0,0,0,0,-0.155201287910709,0,0,0,0,0,0,0,0,0,0,0,0,-0.0965171752327887,0,0,0,-0.00307612059409179,0,0
X600016.CH.EQUITY,0,0,0,0.253328734765305,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0629535628931157,0.203183303179071,0,0.193271317559854,0,0,0,0,0,0.20028107259683,0,0,0,0,0,0,0.0311858690705486,0,0.0533217248417407,0,0,0,0,0,0.0441250800452115,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.129926946729574,0.375147481617918,0,0,0.0641933155634426,0,0,0,0,0.0845296583225709,0,0,0,0,0,0,0.0703355237397911,0.0295445506276446,0,0,0,0,0,0,0,0,0.17405024268264,-0.000690243292842724,0,0,0.141362403832865,0,0,0,0,0,0,0,0,0,0,-0.0174850387687543,0,0,0,0,0,0,0,0,0.0128168711671219,0
X600919.CH.EQUITY,0.0184827962502434,0,0,0,0.174734837988387,0.0166926535648769,0,-3.46944695195361e-18,0.253799619311249,0,0,0,0,0.211403663469368,0,0,0,0.00390366802373119,0,0,0,0.00285435361100636,0,0.041985387977873,0,0,0,0,0,-0.0113892636478946,-0.0758329841117288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0.0753616734591899,0,0.0791871881267611,0,0.338633878594043,0,0.0755100609922388,0,0,0,0,0.0775108932029438,0,0,0,0.00599615933387944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527163932146776,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.066032418304595,0,0,0,0,0.0504991658299272,0
X601009.CH.EQUITY,0,0,0,0,0,0,0.462372160042703,0.0322390820135601,0,0,0,0,0,0,0.0154438799709381,0,0,0,0,0,0,0,0,0,0,0,0,0.0318955199665231,0.243889573076901,0,0,0,0,0,0,0,0,0,0,0,0,0.390216452870387,0,0,0,0,-0.0402486436557808,0,0,0,0.135040369520047,0
X601166.CH.EQUITY,0,0,0,0,0,0.182391758866206,0,0,0.0133326470213594,0,0,0,0.0612401984910923,0.185097343254251,0,0,0,0,0,0.0186787004148187,0,0,0,0,0,0,0,0,0,0,0.0172290790577973,0,0,0,0.0195232084044861,0,0,0,0,0,0.112431044882845,0,0.114229801152504,0,0,0,0,0,0.114525389254856,0,0,0
