,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.229971979604954,0,0,0.133785756856783,0,0,0,0,0,0,0,0,0,0.0272033085823769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640868196213028,0,0.104470922511704,0.177806520132577,0,0,0,0.0177046445622092,0,0,0,0,0,0,0,0.190114549191441,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0.685487326235656,0,0,0.198615936677731,0,-0.290096300290926,0.0571235251690685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259785804004068,0,0,0.120044717923347,0,0,0,-0.00616527802130938,0,0,0,0,0,0,-0.0479811827262107,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.0278009363166032,0.164681551179176,0.0771268503130966,0.0412129476655975,0,0.261910474697757,0.0999488913413,0,0.135936388762775,0,0.0528123819099606,0,0,0,0,0.0657940804529762,0,0,0,0,0,0,0,0,0,-0.00691657046329153,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169955133248614
X600016.CH.EQUITY,0,0,0.0307826333091845,0,0,0,0,0,0.151483163677517,0.169567527952824,0,0,0,0.170670580153732,0.110040712064721,0,0,0,0.0012972709903483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00944498501453301,0,0,0,0.351501992896492,0,0,0,0,0,0,0.0383153192710923
X600036.CH.EQUITY,0.0204364810174847,0.0599848238418807,0,0,0,0,0,0,0.0706634225071711,0,0,0,0.04153437077172,0,0,0,0,0.0636705080569922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1753950046405,0.0505033522060005,0.00698202505820371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138153742837404,0,0
X601166.CH.EQUITY,0.105289282245825,0.0375748334310862,0.425743493335678,0,0,0,0,0,0.0931280612643468,0,0,0,0.102459926923159,0.0235076264942628,0,0.0208012075316406,-0.00278164668009768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0733809040337461,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.0366830978901354,0.243642778460238,0,0,0,0,0,0,0,0,0,0.246818671812969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335873612956744,0,0,0,0,0,0,0,0,-0.0460657788993438,0,0,0,0,0,0,0.0626108389678696,0,0,0,0,0.158134940253094,0,-0.165626119259173,0
X601229.CH.EQUITY,0,0.170595520364131,0,0,0,0.0656925310594248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140412443283686,0,0,0,0,-0.0654997806803954,0,0.0485158931381729,0,0,0.0624852318192067,0,0,0,0.009949425531158,0.0221360403038931,0,0,0,0,0,0,0,-0.24985610788166,0,0.562731286081144,-0.0459702397919459,0
X601288.CH.EQUITY,0.0365171538688088,0,0,0.0910877817245508,0,0.268526638037499,-1.35525271560688e-20,-0.0780606600481049,0,0.124554669952672,0,0,0.461211229552211,0.0601938736101705,0,0,0,0,0,-0.113344437677375,0,0,0,0,0,0,0,0.147904375671728,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.132165231419457,0,0,0,0,0,0
X601328.CH.EQUITY,-8.67361737988404e-19,0,0.0871008271046804,0,0,0,0.00500274813732884,0,0.105007158208824,0,0.0615465947156145,0,0.14655777193576,0,0.23408592770786,0,0,0.0151221496026152,0,0,0,0,0,0,0,0,0.0378135474742809,0,0,0,0,0,0,0,0,0,0,0,0.171698808068883,0,0.0927638763842291,0,0,0,0,0,0,0,0,0,0,0
