,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601601.CH.EQUITY,0.0204861436471739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348141411025358,0,0.0504433351035575,0,0,0,0,0,0,0,0.0618106426844032,0.0262185090963916,0,0,0,0,0,0,0,0,0,0.0509762331486094,0,0,0.22353038289524,0,0.414369231453563,0,0,0,0,0,0,0.145876505167808,0.0227905120269687,0,0
X601628.CH.EQUITY,0,0,0.139986759887961,0,0,0.0156403593393631,0,0,0,0,0,0,0,0,0,0.156695745837733,0,0.0679874557256823,0.15285812364182,0,0,0,0,0,0,0,0,0.0814637271501244,0,0.00494900059113191,0,0,0,0,0,0,0,0,0,0,0.19510475610888,0.175469938869888,0,0,0,0,0,0,0,0,0.0456059129261252,0.0888108873801737
X1299.HK.EQUITY,0,0,0,-0.158241110868734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543039155912373,0,0,0,-0.0265793926617055,0,-0.141507051388748,0,0.13637569552878,0.076089338475165,0,0.0912003639464869,0,0,0,0,0,0,0,0,0.388655337546016,0,0,0,0,0,0,0,0,0,0.143465935340854,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0564556261437694,0,0,0,-0.13801656317396,0,0,0,0,0,0,0,0,0.100699480306255,-0.00949617176151991,0,-0.0595744025008744,0.00270091634664201,0.0106272436900373,0,0.0337128294433422,0,0,0,0,0,0,0,0,0,0.228013195017619,0,0,0,0,0,0.692165243739803,0,0,0,0.0327811326313886,0.00220424266324126
X2882.TT.EQUITY,0.154683445402609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0291515338096224,0,-0.0678853536977599,-0.0175845169204271,0,0,-0.0800743449739415,0,0.159243718931749,0.406502599562155,0,0,0,0,0,0,0,0,0,0,0,0,0.12418402121228,0,0,0,0,0.47975594973843,0,0,0,0,0,0.069629082339919
X2883.TT.EQUITY,0,0,0,0,0,0,-0.127433459217802,0,0,0,0,0.0841177697261989,0,0,0,-0.135306382119646,0,-1.73472347597681e-18,0,0.154594652792268,0,0,0,0,0.14087481192378,0,0.0252571795906134,0,0,0,0.335159955897024,0,0,0,0,0,0,0,0.0748378909153147,0,0,0,0,0,0,0.432553807344288,0.0822972634471512,0,0,0,0,0
X2888.TT.EQUITY,0,-0.262933925098186,0.0264295024703552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670098193757159,0,0,0,0.383045622160768,0,0.0158950945212558,0,0,0.127016114719247,0,0,0,0,0.239263267524811,0,0.0927132339161212,0,0,0,0,-0.00768507579226285,0,0,0,0,0,0,-0.232384165706826,-3.46944695195361e-18,0.418747221276174,0.162621520297191,0,-0.0524227441962577,0,0.0301988039738493
X267.HK.EQUITY,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.388044696112575,0,0,-0.106578567499803,0,0,0,0,0,0.0526055701018174,0,0,0,0,-0.0854320708777243,0.0624757009180028,0.0955925066137779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282739701427857,0,0,0,0,0
TED,-0.068812792396973,0,0,-0.0187809833328039,0,0,0,0,0,0,-0.10042549667796,0,0,0,0,0.167483863970282,0,-0.120292008183117,0,0,0,0.0833131546625148,0,-0.0162576213227883,0,0.00146785266535091,0,0,0.0758595402166,0,0,0,0,0,0.0185841415678368,0,0,0,0,0,0,0,0,0,0.202109081235407,0,0,0,0,-0.0982749984341287,0,0
RealEstateDiff,0,0,0,0.19216222863057,0,-0.244865216464628,0,0,-0.0192309236600612,0,0,0,-0.126147834390773,0,0,-3.46944695195361e-18,-0.205685215329674,0,-0.163007461615034,0,0,-0.116699879180807,0,0,0,0,-0.170053108962757,0,0,0,0,0,0,0,0,0.067710043069454,0,0,0,0,0,0,0,0.554389756471247,0.107038667202518,0.194594214290704,0,0,0.0765928213458852,0,0,0
