,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.305390275171157,0,0,0,0.273312944259317,0,0,0,-0.00997150297027998,0,0,0.287853313971383,0,0,0.17945269188953,0,0,0,0,0,0,0,0,0,0.158977862540849,0,0,0,0.0467171770894444,0,0.148484944773714,-0.0163533459940852,0,-0.154918854040866,0,0,0,0,0,0,0.175844364072525,0,0,0,0,0,0.04376250782951,-0.0305975757231072,-0.208228986221407,0,-0.0574085290849983
X002142.CH.EQUITY,0,0,0,0,0,0.604686453232772,0,0,0,0,0,0,0,0.0789741140958674,0,1.73472347597681e-18,0.0199601807394012,0,0,0,0,0,0,0,0,-0.00466502500372996,0,0,0,0.0304160206527416,0.154046591507513,0,0.0688831720614875,0,0,0,0,-0.267066492161385,0,-0.100720391344716,0,0,0.088554868062424,0,0,0,0,0,0,0.0219990768653168,0,-0.183634084866168
X600000.CH.EQUITY,0.0548272739329447,0,0,0.193120340883106,0.155979937480901,0.102354125850007,0,0,0,0,0.325474198186691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613965258713586,0,0,0,0,0,0,0,0,0,-0.0432221463636775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166786341458432,0.0692524710851242
X600015.CH.EQUITY,0,-0.0784315664540216,0,0,0.262647242585394,0,0,0.107096035229412,0.0162032973493297,0,0,0,0.21741160958783,0,0,0,0,0,0.0274121045070733,0,0,0,0.0852660491919052,0,0,0,0,0,0,0,0,0,0.194495202282701,0,0,0,0.0842283883405572,0.0179789518363716,0,0.0516354816882148,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.172100378247153,0.190042728052106,0,0,0,0,0.0888525100301386,0,0.470814919548431,0,0,0,0,0,0.0695038974587219,0,0,0,0,0,0,0,0,0.173600138285044,0,0,0,-0.192025809061132,0.0470550522155289,0,0,0,0.0432417618842091,0,0,0,0,0,0,0,0,0.160155110380751,0,0,0,0,0,0,0,0.0173854242889898
X600036.CH.EQUITY,0.278283632836934,0.0947330988167594,0.238203126911637,0,0,0,0.0304444973465879,0,0,0,0,0,0,0,0,5.42101086242752e-20,-0.0320190092903782,0,0,0,0,0,0,0,0.0346354085916932,0,0.0457868997186889,0,0.0347207312120683,0,0,0,0,0.000403610831141356,0,0.203556721372329,0,0,0,0,0,0,0.081126104557255,0,0,0,0,0,0,0,0,-0.00160789056067435
X601166.CH.EQUITY,0,0,0,0.0176422808074742,0,0.464387176305031,0,0,0,0,0,0,0.280003238585765,0.0356417869764728,0,0,0,0,0,0,0,0,0,-0.00458279817057699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114155712516196,0,0,0,0
X601169.CH.EQUITY,0,0,0.251399848538795,0.0996525524202938,0,0,0.20125566751308,0,0,0,0,0,0,0,0.357272290047381,0,0,0,0,0,0,0.036824643313221,0,0,0,0,0,0,0,0,0.0642182966278171,0,0.123711534216168,0.0812297776225277,0,0.0114001388605104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0725774344181108,0,0,0,0.119473808237617,0,0,0.0930679645392061,0,0,0.21331322678692,0,0,0.587289746910621,0,0,0,0,0.167639826303653,0,0,-0.228050568694456,0,0,0,0,0,0,-0.229564384052398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656577517362298
X601288.CH.EQUITY,0,-0.00265978023195602,0,0,0,0,0,0,0.209549396900186,0,0,0.323568321567311,0,0.142676126330923,0.299767323863507,0,-0.0303147507938138,0.0376345395664365,0,0,0,0,0,-0.009140141060387,0,-0.0141750877746096,0,0,0,0.090798712863493,0,0,0,0,0,0,0.0515658805811916,0,0,0,0,0,0,0,0,0,0,-0.10016349788106,0,0,-0.0593110888547425,0.0787163161699211
