,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0.288216522127646,0,0,0.297310438962199,0,0.0406310708431554,0,0.257088630090699,0,0.0460692294520296,0,0,0,0,0,0,-0.00805682264551308,0,0,0,0,0,0,-0.168968604285053,0,0,0,0,0,0,0,0,0.13648502031999,0.0530726501809185,0,0,-0.0730357640832809,0,0,0,-0.103754835817301,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0.342264936746761,0,0,0,0.179796207294149,0,0,0,0,0,-0.293768596259927,0.0145709357954568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195581866006591,0,0,0,0,0,0,0,0,0,0.216316571291224,0,0,0,0,0,0.0782590616049822,0,-0.094756672064958,0
X600000.CH.EQUITY,0.264034823742859,0.0452840831132309,0,0,0.0161942613456535,0.110921717622584,0,0,0,0,0.209056426516443,0,0,-0.0862336179737612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114417491506593,0,0,0,0,0,0,0,0,0.0432110186522124,0.193222163589025,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0.105372498251057,0,0.18190972778965,0,0,0,0.242978233972151,-0.160983110613974,0,0,0.178322175779446,0.0781826523130999,0,0,0,0.0636114855580657,0,8.67361737988404e-19,0,0,0,0.165037486833685,0.00464870162456709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775890780480814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0.120905755667748,0,0.132281664471007,0.00136658375997301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134336029110083,0,0.106609185578791,0.454913873820715,0,0,0,0,0,0.212225758319921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155953617168212,0,0.123606763750553,0,0,0
X600036.CH.EQUITY,0,0.00923552219079057,0.129998521809142,0,0,0,0.0248584746108107,0,0.0402130560439184,0.238658220279346,0,0,0,0,0,0,0,0,0,0,0.181799445530003,3.46944695195361e-18,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0209205748199224,0.0539181499707431,0,0,0,0,0,0,0.0156716289073447,0,0.12089550335301,0.203066094354619,0,0,0,0,0,0,-0.0380596518033652,0
X600919.CH.EQUITY,0,0.126507589139521,0,0.00359242612144477,0,0.0638671302093317,0,0.103219076424042,0.0833113176373588,0,0.10009241965784,0,0.0316165138498595,0,0.0234362499798784,0.0937088546470773,0,0,0,0,0.118689861937182,0.0689861951521136,0.0879125040463794,0.0393941315590141,0,0,0,0,0,0,0,0.105013845646339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0.117324640395433,0,0,0,0,0,0,0,0.54491366723174,0,0,0,-0.150276863606746,0,0.24427378997112,0,0,-0.0483781744750894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405541178497751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06306930324535,0
X601009.CH.EQUITY,0,0,0,0,0,0,0.08240903727204,0,0,0.132345818668263,0,0.210283813049386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183880726746316,0,0,0,0,0,0,0,0,0,0,0.0255847894026281,0,0,0.0345975034396742,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.405623380305483,0,0,0,0,0.185472239102838,0,0.212725655009679,0,0,0,-0.0712330417152174,0,0,0,0,0,0,0,0,0,0,0.24585139430591,0,0,0.0348028656340101,0,0,0,0,0,0,0,0,0,0,-0.0547301475477849,0,0,0,0,0,0,0,0,0.0197460242002173,0,0,0,0.172158993060614,-0.0334378119383898,-0.00699615154351736
