,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.257283911272029,0,0,0,0,0,0,0.138370865646723,-0.0499720284723949,0,0,0,0,0,0,0,0,0,0.276542426097559,0,0,0.136145712912202,0.207435784792059,0,0,-0.278924688634952,0,0,0,0,-0.0162470737040854,0,0,-0.0400768244430601,-0.113085848961605,0,0.185675289514093,0,0,0,0,0,0,0,-0.0584938336405712,0,0.170461497385525,-0.164167544327301,0,-0.0423234633963307
X002142.CH.EQUITY,0.177057456810031,0,0,0,0,0.0196132533867813,0,0,-0.00396301088423412,0,0,0,0,0,0.273415455257613,0,0,-0.0158877306465868,0,0.0431195736244633,0,0,0,0,0,0,0,0,0,0,0.0838233398786138,0,0,0,0,-0.0986171771957393,0,0,0,0,0,0,0,0,0,0,0.0325721062469738,0,0,0,0
X600000.CH.EQUITY,0.0482413521467418,0.0297110794483347,0,0,0.0228130924137316,0.261490442956053,0,0,0,0.0435703958123402,0.411323708243798,0,0.0930136400734097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866110923332809,0,0,0,0,0,0.0297337587924459,0,0,0,0,0,-0.00299461076700343,0,-0.0495127372557258,0,0,0,0,0,0,-0.0616933750075402,0.007923025962194
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.299907007427908,0,0,0,0.0813597168810421,0.386085248755534,0.0500904598743496,0,0,0.114881607593617,0,0.0694876140337709,0,0,0,0.0658295463697572,0,0,0,0,0.0151704498938729,0,0,0.0791431189582757,0,0,0,0.0582581095328756,0,0,0.0363386944947045,0,0,0,0,0,0,0,-0.111044963877371,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.159431065770353,0.207639154841023,0,0,0,0,0,0,0.361350310978819,0,0,0,0,0,0,0,-0.031002869688791,0,0.0997074000509452,0,0,0,0.0303967184980197,0,0,0,0,0,0.137306314315248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0932850236411418,0
X600036.CH.EQUITY,0.24376998408609,0.170933188394584,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175260001988486,0.0220348891866902,0,0,0,0,0.105896210451236,0,0,0,0,0.28265195082944,0,0,0,0,0,0,0.0111541287846476,0,0,-0.00362220687206976,0,0,0,0,0.118637270687607,0,2.71050543121376e-20,0.0314763902175864,0,0,0.0664344128811647,0
X601166.CH.EQUITY,0,0.442790525104918,0,0,0,0,0,0,0,0,0,0,0,0,0.199906593895836,0,0,0,0,0,0,0,0,0,0.15785351316738,0,0,0,0.043700324952827,0,0.231660604027476,0.116340557091965,0.080492016348431,0,0,0,0,0,0,-0.0377285906183901,-0.0485679364395561,0,0,0,0,0,-0.0315559772751377,0,0,0.148931229969197,8.67361737988404e-19
X601169.CH.EQUITY,0,0,0.0535703754547199,0.352999865353091,0,0,0,0,0,0,0.406302884036814,-0.190827384712316,0.217234777916415,0,0,0.0335567628801758,0,0.0348203917979465,0,0.0136145865006908,0,0,0,0,0,0,0,0,0.0469492206339121,0,0.0121763282407786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071548058339479,0.125706809543342,0,0,0
X601229.CH.EQUITY,0,0,-0.167261464508255,0.333088292360469,0,-0.0828555549022785,0,0,0,0.386623294480309,0,0,0,0.185633272602125,0,0,0,0,0,0,0,0.200078037872752,0,0,0.111574079754824,0,0,0,0,0,0,0.341599673482004,0,0,0,-0.0955256680983321,0,0,0.0292756088550212,0,0,0,0,0,0.157219716166378,-0.363758868539695,0,0,0,0,-0.0519105715986732
X601288.CH.EQUITY,0,0,0,0.0602818555135513,0,0,0,0,0.142049705188488,0,0,0.41344192540552,0,0.189521336311234,0.0575441051942746,0,0,0,0.151929942966841,0,0,0,0.0894078647030323,0,0.0619927204140994,0,0,0,0,0,0,0,0.0379968943680908,0,0,0,0.0100842865609514,0,0,0,0,0,0,0,0,0.0554481782123056,0,0,0,0,0
