,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.14374654585339,0.239204917982762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106820073502496,0.456320922356094,0.0555223147312794,0,0,0,0,0,0,0.0834277700956567,0,0,0,0,0,-0.0553291430141448
X1109.HK.EQUITY,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712298230242242,0,0,0,0,0,-0.0130701348602009,0,0,0,0,0,0,0,0,0,-0.0341376474700198,0,0,0,0,0,0.148204505223144,0,0,0,0,0,0,0.0859014886529604,0,0.0194374420084245,-0.0853586774195046
X1113.HK.EQUITY,0,-0.133507957099303,0,0,0,0,-0.291039875795874,0,0,0,0,0,0,0,0,0,0.343526424167381,0,0.0241514007488543,0.107405775997978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334306472958409,0,0,0,0,0,0,0.465119000652027,0.0397788184867174,-0.151044493556397,0.0650230972261429,0.116608094923482,0,0,0,0.156583394482582
X12.HK.EQUITY,0,0,0,0,-0.0305689482761534,0,0,0,0,-0.117974115610097,0,0,0,0,0,-0.0434936534451807,0,0,0,0,0.0133477283988182,0,0,0,0,0,0,0,0,0,0,-0.0913320966641819,0,0,0,-0.128126181880605,0,0.382692116880258,0,0,0,0,0,0.181185419151617,0,0.237465409786819,0.204356290125939,0,-0.110470806006713,0.0633558819526461,0
X16.HK.EQUITY,0,0.0285210534858831,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133055748078059,0,0,0,0,0,0,0,0,0,-0.0499527659191881,0,0,0,-0.0131829103353809,0,0,0,-0.131117193648046,0,0,0,0.227096374175031,0,0,0.0782432685858571,0.115844751430529,0,0.25212317689278,0.216899089780257,0,0.13786577043963,0,0.0979015975291701,0,0
X17.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19416420513172,0,0,0,0,0,0.187264860737002,0,0,0,0,0,0.0412716426132635,-0.114713818423544,-0.209934760121348,0,0,0,0,0,0,0,0.087928919905653,0,0,0,0,0,0.0364433561087046,0,0.18242559744069,0,0.100003462900765,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322451135706179,0,0,0,0,0.118665435772201,0,0,0,-0.159199607654882,0,0,0,0,0,-0.132518747978561,0,0,0,-0.0999847428116251,0,0,0,0,-6.93889390390723e-18,0.115983974785894,0.129646641796429,0,0,0,0,0.0340050029353568,0,0,-0.187830028912366
X2007.HK.EQUITY,0,0.0330615053841899,0,0,0,0,0,0,0,0.181766341436539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439643331188208,0,0,0,0,0.212793443181162,0,0,-0.104872044504247,0,0,-0.165194359311235,0.489868980792281,0.104992020441467,0,0,0.056606033080636,0,0,0.0971898470216889,0,0,0,0
X267.HK.EQUITY,0.17973564313055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385619030335897,0.457473342937644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760788750747446,0.0228915995183137,-0.512212316061176,0,0.122537731251514,-6.93889390390723e-18,0.298332381239563,0.153219115764537,0,-0.197806907501786,0.242669538148923,0,0.0350914016209259,0,0.231668162228769,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.231443414735668,0,0,0,0,0,0,0,0.0710633684192209,0,0,0,0,0,0,0,0,0,0,0,-0.0549366509488751,-0.0511044174374114,-0.0693988654770385,0,0.0194480996915673,-0.0797565503643346,0,0,0,0.29317868514676,0,0,0.0715700268771509,0.276045110625947,0,0.0786523652966232,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100795215525024,0,0,-0.0730270164003928,0,0,0,0,0,0,0,0.0975898663636709,0,0,0,0.14729047372062,0,0.111621456669783,-1.73472347597681e-18,0,0,0,0,0.050121133759954,0,0,0.000168754135456164,0,0,0.0980208945898034,0,0,0.0555612586092936,0,0.136639319496312,0,-0.153172724854412,0.191419421233339
TED,0,0,0,0,0,0,0,-0.124490578493943,0,0,0,0,0,0,0,0,-0.0389976835887511,0,0,0,0,0,0.0645690700274205,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537412638778088,0,0,0.110467547382362,0,0,0.0177993154096747,0,0,0.0524307614101125,0,0,-0.0290060229317008,0,0.0655758837797762
RealEstateDiff,0,0,0.0325990494343376,0,0.113041128466881,0,0,0,0,0,0,0,0,0,0,0,0,0.218213356507334,0,0,0,-0.26087139219376,0,0,0,0.264589621764869,0,0,0,0,0,0,0,0,0.0745895981020176,0.0913051700984172,0,0,-0.285543241166842,-0.18830521611391,0,0,0,0,0,-0.116785263509608,0,0,0.143059633017705,0.12098950011648,0
