,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X600606.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.178804726825103,0.136356976462644,0,0.0253708091666261,0.0851259869948515,0,0,0,0,0,0.117057251019758,0,0,0,0,0,0,0,0,0,0.02555549118735,0,0,0,0,0,0,0,0,-0.00869458858719988,0.12022506709682,0,0,0.152795310658045,0,0,0.0508820565165001,0,0.0336834743628657,0,0,0,0,0,0.00527553900191292,0,-0.0150859745161051,0,0.0930974841778011,0,0
X002142.CH.EQUITY,0.175835205846112,0,0,0.141573757194718,0.514856082483375,0,0,0,0,0,0,0,0,0,0,0,0.0900085900127758,0,0,-0.383304238720442,0,0.0276264647445391,0,0,0,0.12547396055655,0,0,0,0.176089320604107,0.212330732804521,0,0,0.292720415696206,0,0,-0.0294615738318406,0,0,0,0,0.0048994602760548,0,0,0,0,0,-0.230993887048646,0,0,-0.0576026181032448,0
X600000.CH.EQUITY,0,0,0,0,0.110027342599591,0,0,0,0,0,0,0,0.428975724022606,0,0,0,0,0,0,0,0,0,0,0,0,0.254762645737216,0,0,-0.00834694012525332,0,-0.0448980481325453,0,0,0,0,0,0,0,0,0.692759393272334,0,-0.130184027153972,0,0,0,0,-0.0330206792694842,0,0,0,0,0
X600016.CH.EQUITY,0,0.274323008527982,0,0,0,0.149208914431592,0,0,0,0.120849792259794,0,0.0291697419160356,0,0,0,0,0,0.0808089252797154,-0.000236206233183958,0,0.289702309954794,-0.264978943240913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0740038751685669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.168400197954022,0.122234379569775,0,0,0,0,0.0250187576545952,0,0,0,0,0.38756970302016,0,0,0,0,0.191206635642187,0.00873220526815972,0,0,0,0,0,0,0,0,0,0,-0.00890247187758202,0,0,0,0,0.00563909383267591,0,0,0,0,0,0,0,0,0,0,0.0203087211347829,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0442063656633406,0.0673142994353765,0.0928728278751586,0,0.352345439597334,0,0,0,0,0.133946621703537,0,0.27130278948337,0,0.0475898167159572,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123780637359655,0,0,0,0.0180520612530138,0,0,0,0,0,0,0,0,0,0.0301950431439948,0,0,0,0,0,0,0.0218820219734352,0
X601169.CH.EQUITY,-0.0128257859641894,-0.0542393586141274,0,0,0,0,0,0,0,0,0,0,0,0.786755888041055,0.0709867716088998,0,0,0,0,0,0.0603510822454001,0,0.0364585274892063,0,0,-0.0230953283650829,0,0,0,0,0,0,0,0,0,0,0,0,0.0923546342110935,0.00641926445905105,0,0,0,0,0,0,0,0,0,0,0.0311224105789918,-0.0305853009757974
X601229.CH.EQUITY,0,0,0,0,0.0212413947028857,0,0,0,0,0,0.884154304853594,0,0,0,0,0,0,0,0.529997823067405,0,0,0,0,0,0,0,0,0,0.0426647466972398,0,0,0,0,0,0,0,0,-0.149712572591024,0.102605681031691,0,0,0,-0.0978702077885686,-0.0728539917567367,0,0,0,-0.216372931792262,0,0,0,0.126625485103074
X601288.CH.EQUITY,0,0,0.0512050134049577,0,0,0,0,0,0,0,0,0,0.878380259724791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00621846460687069,0,0.12312167163512,0,0,-0.0682189599960844,0,0,0.0831411454384893,-0.112009798068207,0,-0.0484741601272422,-0.0677889781370206,0.0147989791672727,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0289236273631242,0.373604452027027,0.112905306720442,0,0,0.242393600625695,0.0463218826372042,0,0,0,0,0.0204758678844232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.234249430189597,0,0,0,0,0,0,0,0,0,0,0.142242149795896,0,0.295081778817132,0,0,0,0,0,0,0,-0.0775358056486114,0,0,-0.272278564308116,0,0,0,0,0,0,0,0,0,0,0,0.0472063832836693,0,0,0,-0.2935092741219,0.0146007258857675,0,0,-0.036521069032044,0,0,0.426339763705348,0,0,0
X601818.CH.EQUITY,0.0515750613882351,0,0.089640944087493,0,0,0,0,0,0.181501344192037,0,0,0,0.0416346147945659,0.0657299820233105,0,0,0,0,0,0.0903948885845901,0.121242466498058,0,0,0,0,0,0.0545337213424445,0,0,0.0326403849958917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505657723103158,0,0,0,0
X601939.CH.EQUITY,0,0.0295707401502435,0.103014519251764,0,0,0,0,0,0.804938827837324,0,0,0,0,0.00894720067950675,0,0,0,0.0193165815023014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602510350525713,0.0437308651280819,0,0,0,0,0,0.0432359115942657,0,0,0,0,0,0,0,0,0,0,0,-0.00276055494772667,0
X601988.CH.EQUITY,0,0,0,0,0.0551295311773226,0.00913138080426665,1.03998480326944,0,0.0324884747197805,0,0,0,0.055689473245918,0,0,0,0,0,0,0,0,0,0,-0.135733219405584,0,0,0,0,0,0,0,0,0,0,0,-0.0440033077985926,0,0.0396928524981562,0,-0.069397456128693,0,-0.0524247109078279,0,0,0,-0.0427187894192354,0,0,0,0,0,0.0925885467375931
X601998.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0.543757355924232,0.120749914494442,0,0,0.208608884641382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115899052322072,0,0,0,0,0,0,0.138596683994475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702928539675664,0,0,0
X601658.CH.Equity,0,0,0.0285564750651274,0,0,0,0,0,0.271998051636282,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.00694982640838471,0,0,0,0,0,0,0,0,0,0,0,0,0.23229963213939,-2.16840434497101e-19,0,0,0,-0.0326470724806136,0,0,0.050071113017295,0,-0.0846189741249449,-0.146349217516007,0.347825872988405,0,0,0,0,0,0.108483863460733,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0511929825124591,-0.00436571277441011,0,0,0,0,0,0.157044521780525,0.399238298977994,0,0,0,0,0,0.0739841781192605,0,0,0,0,0,-0.0141975379038348,0,0,0,0,0,0.175280189502558,0,0,0,0,0,0,0,0,0.0572270483186652,0,0,0,0,0,-0.0204197825058945
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.0673306180601495,0,0,0,0,0,0,0,0.189233454594626,0,0.111542900181356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0389909736831698,0,-0.0699072852202864,0,0,0,0.142976708405393,0,0,0,0.435835638712155,-0.101075549312488,0
X5.HK.EQUITY,-0.223577485695887,0,0,0,0,0,0,0.114035729940473,0,0,0,0,0,0,0,0,0.627701008936766,0,0,0,0,0,0,0,-0.173098365936154,0,0,0,0,-0.187884280249983,0,0,0,0,0,0,0,0.0816777296116786,0.145514079560892,0,0,0.125204724509808,0,0.00302808029323442,0,0,0,0.225107512244972,0.00647123829304788,0,0,0.21614727787009
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0534462083052402,0,0,0,0,0.0273686113132229,0,0,0.161182233742578,0,0,0,0.258808044623087,0,0,0.276693662124854,0.0372996412945511,0.0542429084379858,0,0,0.0185949760059009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
