,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0.109163517438325,0.134760453778853,0,0,0.0136623778524336,0.117901176769738,0,0,0,0,0,0.012489679622282,0,0.0202916189253032,0,0,0.011495032659278,0,0.200635639161583,0,0,0,0,0,0,0,0.0489479650421827,0,0.0142100015505184,0.0370413777866392,0,0,0,0,0,0,0,0.0415143657681228,0.144019005235055,0,0,-2.16840434497101e-19,0,0.0284890019158082,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.0478079469582982,0,0.030968515603459,0,0.362718972453618,0,0,0.0190288739849504,0,0,0,0.0163638324435442,0.235648777682965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504150641135526,0,0,0,0,0,0,0,0,0.162956065095839,0,0,0.0713998085300819,0,0,0.226346535621065,0,-0.0628947390665399,0,0
X600000.CH.EQUITY,0,0,0,0.0672417187825715,0,0,0,0,0,0,0,0.441460536706893,0,0.00242502054964536,0.219496126870833,0,0,0.020880117257521,0,0,0,0,0,0,0,0,0,0,0,0,0.118865840829009,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0334178012980832,0,0,0.00694280435178341,0,0.0599961022981616,0,0,0
X600015.CH.EQUITY,0,0,0.00324696602334386,0,0,0,0.0794671886691473,0,0,0,0.283807192082751,0.261902495515777,0,0,0,0,0,0,0,0.0350812904043861,0,0,0,0,0.241797232870222,0,0.179301464759477,0.00943258873017055,0,0,0,-0.0502957911710205,0,0,0,0,0,0,0,0,0.0864428772520495,0,0,0.106624524646286,0,0,0,-0.13012836656904,0,0,0,0
X600016.CH.EQUITY,0.0259208358016541,0,0,0,0,0.0823871767395657,0,0,0,0,0,0,0,0.0524202095165161,0,0.292278869072349,0.0282422947973563,0,0,0,0,0,0,0.25718696532863,0,0,0,0,0,0,0,0,0,0.101873427128338,0,0,0,0.0848585115932839,0,0.083061020791068,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.492005083259106,0.0397135911804278,0,0,0,0,0,0,0,0,0,0,0,-0.00800087141427917,-0.083120782845503,0,0.19912126161998,0,0,0,0,0,0.287962719580233,0,0,0,0.051147150136254,0,0,0,0.160479535577073,0,0,0,0,0,0.0114453932612355,0,-0.0633696563043175,0,-0.111646778558873,0,0,0,0,0,0,0,0,0.0842286082002446,0,0
X600919.CH.EQUITY,0,0,0,0.023101469082166,0,0,0,0.42361870845963,0.207414377736664,0,0,0,0,0.110378921690449,0.0163195199450255,0,0,0,0,0.148006375902574,0,0,0,0,0,0,0,0,0.124102332683857,0,0,0,-0.0524688455618882,0,0.0711351781361309,0,0,0,0,0,-0.0659545830383607,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0.30966711320426,0,0,0,0,0.430180056048054,0,0,0,0,0,0,0.0735549540246822,0,0,0,0.210882715252633,0,0,0,0,0,0,0,0,0,0,0.11724899537472,0,-0.00465943993986133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00971509324796451,-0.0663729847688334,-0.128823542679578,0,0,0,0.0253674920694788,0
X601009.CH.EQUITY,0.362975894603975,0,0,0,-0.186473875754263,0,0.230883152148288,0,0,0,0,0,0,0,0,0,0,0,0.0768191001716128,0,0,0,0,0,0,0,-0.0473413945952507,0.0510627177004777,0.0342161268878919,0,0,0.237132813059862,0,0,0,0,0,0,0,0,0.372230356399417,0,0,0,0,-0.33991818439152,0,0,0,0,0.0819795720485087,0
X601166.CH.EQUITY,0.0014737408553891,0.288159034906068,0.20758022430433,0.0588618417814795,0,0,0,0,0.0307068858406668,0,0,0,0,0,0,0,0,0,0,0,0.128845139689125,0,0,0,0,0,0,0,0,0.0668085000981938,0,0,0,0,0.183337285116006,0,0,0,0,0,0,0.0303695026702459,0,0.0766307237016935,0,0,0,0.0569161128709597,0,0,0,0
