,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.0661220570759456,0.0622197025249212,0,0,0,0,0,-0.0965327014709419,0,0,0,0,0,0,0,0,0,0,-0.13832887056952,0.0742252799455066,0,0.507733994508934,-0.148166940988677,0.501424255512015,0,0,0,-0.060496549620903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278725688478421
X601318.CH.EQUITY,0,0,0,0,0,0.325918904290651,0,0,0,-0.0623034273342937,0,-1.38777878078145e-17,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845269043789285,0.0965569990037346,0,0,0,0,0.221131723486317,0,0,0,0,0,0,0,0,0,0,0,0,0.056708036844546,0,0.0569379616973694
X601939.CH.EQUITY,0,0.0818948486266859,0,0.802212678283979,0,0,0.00154260748469742,0,0,0.0438373048215549,0,0,-0.0103278423682284,0.0144821516141397,0,0,0,0.0800838405137772,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0256936400192994,0,0,0,0,0,0,0,0,0,0,0.0686859428594834,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.893104295471393,0,-0.0584501317006684,0,0,0,0,0,0,0,0,0,0,0.00575061980945468,0,0,0.167768726593653,0,0.00871733443282141,-0.0555693196646858,0,0,0,0,0.0488473863400101,0,0,0,0,0,0,0,0,0,0,0,0,-0.0515233746322332,-0.112379158747039,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0122369065468674,0,0,0,0,0,0,0,0,0.260189780659269,0,0.154845109147911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0365257489422404,0,0,0,0,0,0,0,0,0,0,0.568566857359133,0,0,0,0,0,0,0,7.22408276745515e-05,0,0.301499356696163,0,0,0.0829625453431907
X600036.CH.EQUITY,0,0,0,0.328859916754126,0,0,0.00603443957582312,0,0.0354580878620281,0,0,0,0,0,0,0,0.172008318115292,0.0120347437229992,0,0.0251103433319435,0,0,0,0,0,0,0.0349672973477582,0.170452763150123,0,0,0.113410841607609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405970533004662,0,0,0,0,0.0420902663331991,0
X601988.CH.EQUITY,0,0,0,0.0791678187808265,-0.0287054315497864,0,0,0,-0.0381968958292946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046282381899526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000846784017809771,-0.120305857111833,0,0.991418496742938,0,0.017041346020599
X1299.HK.EQUITY,0,0,0,0,0.0669563915856511,0,0,0,0,0.186147448005159,0,0,0,0,0,0,0,0,0,0,0,0.307426886969342,0,-0.0384615857368208,0,0,0,0,0.0718148115191567,0,0,0,0,0.152462573738734,0,1.38777878078145e-17,0.108369213921325,0,0.0433482701646855,0,0,0,0.10651430546009,0.0400644718804199,0,0,0,0.125541586453619,0,0,0.0297315686266333
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0185465814997158,0,0,0,0,0,-0.213758426957793,0,0,0,0,0,0,0,0.125114012292926,0,0.456616127335157,0,0,0,0,0,0,0,0,-0.153663798574272,0.119879419628906,-3.46944695195361e-18,-0.0829477684517972,0,0,0.0282864045322094,0.179535060916115,0,0,-0.173572759982734,0,0.0460866890362566,0
X388.HK.EQUITY,0,0,0,0,0.22411978448401,0,0,0,0.0930508982743028,0,0,0,0,0,0,0,0,-0.078833820613141,0,0,0.0596802304126532,0.263530428780202,0,0,0.156966423906223,0,-0.0433557213350318,0,0,0,0,0,0,0.2044791832696,0,0,0,0,0,0,-0.000640862271988434,0,0,0,0,0,0,0,0,-0.204589233460927,0.253793357744161
