,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,macro_return_add
X601398.CH.EQUITY,0,0,0.127822015627872,0,0.231828544866925,0.0435864971624503,0.0206177864670572,0,0,0,0,0,0,0,0,0,0,0,0.354081283926066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120028947812912,0,0.0629733211999956,0,0,0,0,0.110533155636215,0.0557670920605583,0
X601318.CH.EQUITY,0,0,0,0.0669070281770964,0,0,0,0,0.128060295804219,0,0,0.0835974776209024,0.109737439950843,0,0,0,0,0,0.110383858645378,0,0.233036229402613,0,0.0521917730914225,0,0,0,0,0,0.0370829278496359,0,0.102723833572264,0,0,0,0,0.0197671098988746,0,0,0,0,0,0,0,0,0.0722709534544473,0,0,0,0,0,0.107804001418364
X601939.CH.EQUITY,0.0151368445304199,0,0,0,0.361061506244763,0,0,0,0,0,0,0.226637570763285,0,0.00609975289776014,0,0,0,0.148012840545255,0,0.0756779594754863,0,0,-0.104082618297472,0.223023744553915,0.240142386547665,-0.0592503719001302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040510311318265
X600036.CH.EQUITY,0,0.159501334494404,0,0,0,0.0480746286924705,0.0986331730866288,0.101067070685565,0,0,0,0,0.161205856133311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35581799281614,0.0450814143634801,0.0618090131847423,0,0,0,0,0,0,0,0,0,0.0416809306422354,0,0.0684723830681549,0,0,0,0,0,0,0,0,0,0.0511978845555217
X601288.CH.EQUITY,0.0730968549190943,0.153074827970088,0.159162463583009,0,0,0.117076418226454,0,0.342496134293342,0,0,0,0.0213075167652705,0,-0.0859706492894556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331336717379045,0,0,0,0,0,0,-0.0121585962823729,0,0,0,0,0,0,0,0.17384312237187,0,0,0.139030880900658,0,0,-0.0743265483034022
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.113273867394839,0,0,0,0,0,0,0.127700005492891,0,0,0,0,0,0.0896247376565989,0,0,-0.0435591895686038,-0.116580115143758,0,0,0,-0.0256189883034828,0.293559942740374,0,0,0.537842084833008,0,0,0,0,-0.0714907791512626,-0.0334896701718407,0.175242008823658,0,0,0,0,0,0,0,0,0.0960261906350414
X1299.HK.EQUITY,0,0,-0.111543191570142,0,-0.0425421804620662,0,0,0,0,0.214638784127209,0,0,0,0,0,0.0888829641883457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014267134731497,0,0,0.0850274457971728,0,0.286103952498283,0.221358717470717,0.158607195317946,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0200835876439372,0.0945780549062997,0.216580483110411,0.107234477999506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305279046855526,0,0,0,0,0.0215162450614546,0,0.229900067325022,0.0933508107499124,0,0,0,0.162054893289703,-0.129622817890731,0,0,0,0,0,0,0,0.0748354054681025,2.16840434497101e-19,0,0,0,0.0147204172352565,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.114532349115266,0,0.0808473492754095,0,0,-0.0402481844859517,0,0,0,0,0,0,0,0,0,0.0909193303603816,0.12746570596663,0,0,0,0.19702977255278,0,0,0.0151604258577916,0,0,0,0,0,0,0.0277463238589038,0,0,0.322819463821344,-0.050108682068629,0,4.33680868994202e-19,0,0.134280188571576,0,0,0,0.0885773995346199,0,0,0
X388.HK.EQUITY,0,0,-0.119046449412223,0,0,-0.188024382950764,0.169627751756993,-2.76804373176001e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525448236299942,0,0,0.0915472494243176,-0.0236538926529276,0,0,0,0,0.116644953337285,0,0,0,0,0,0,0,0.160946117685939,-0.00853297852912895,0,0,0,0,0.0839448493795058,0,0,0,0,0
