,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.00929397041951752,0,0,0,-0.0773645262409816,0.231333705354956,0,0,0,0,0,0,0,0.40443796597773,0,-0.154267501311548,0,0,0,0,0,-0.192545088598424,0,0,0,0,0,0,0,0,0,0,0,0.748111093269685,0,0,0,0,0,0,0,-0.0143470103909444,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0233861430065973,0.10431946117107,-8.67361737988404e-19,0,0,0,0,0,0,0.0715387945313747,0,0.0830343276023804,0.0536332008219752,0.0212357526505616,0,0,0,0,0.0830373746113038,0,0.0425147869259075,0,0,0,0,0,0,0,0.274109352783428,0,0,0,0,0.215828454911907,0.0133396215900275,0,0,0.0461693274048612,0,0,0,0,-0.0240417245266739
X601939.CH.EQUITY,0.296125859011502,0,0,0,0,0,0,0,0,0.0456438083481897,0,0,0,0,-0.0010548388165492,0,0,0,0,0,0,0,0.0939001940781847,0,0,0,-0.181372012275685,0,0,0,0,0,-0.0167430544915518,0,0,0,0,0.0174499693092672,0,0.541679487660082,0,0,0,0,0,0,0,0,0,0.123760528069127
X601288.CH.EQUITY,0,0,0,0,-0.127306168224167,0,0,-0.0407790158298887,0.0767001360774259,0,0.354822503826682,0,0,0.32692388954029,-0.0662685214904874,0,0,0,0,0,-0.107366651899018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315523158645263,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.117380602176066,0,0.351797204464827,0,0,0,0,-0.019171144697778,0.308966882390606,0,0,0,0.0727903350141704,0,0,0,0,0.0979195859045377,0,0,0,0.0380745375745362,-0.178311585474508,0,0,0,0,0.111748193826223,0,0,0,0,0.0572125219883572,0,0,0,0,0,0,0,-0.24563235522133,0,0,0.15032770213134,-0.00929870012869725
X601988.CH.EQUITY,0,0,0,0,0.345766403191763,0,0,0,0,0,0,0,0,0.107629250142639,0,0,0,0.171456184270162,0,0,-0.0576124899301989,0,0,0,0.17548272897056,0.0187777640828666,0,0,0,0,0,-0.337748179556703,0,0,0,0,0,0,0,0,0,0,0,0,0.0139682386473976,0,0,0,0,0
X600036.CH.EQUITY,0,0.133284856157843,0,0,-0.000393016921155705,0,0,0,0,0.480890149108954,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.226763257298712,0,0,0,0,0,0,0,0.125930947342098,0,0,0,0,-0.211141946044673,0,0,-0.155912072636351,0,0,0,-0.00882910456861613,0,0,0.209649146474999,0,-0.0239221999836628,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.331468835936057,0,0,0,0,0,0,0,0,0,0,0,0,0.068605920133345,0,0,0,0,0,0,0,0,0.196433133407209,0.0650923730639847,0,0.0384408888238307,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184854916845406,-0.100511619391232,0,0.149835139769629,0,0,0
X601628.CH.EQUITY,0,0.277405872722086,0.0111864232231459,0.0451863054205455,-0.109375875467648,0,0,0,0,0,0,0,0,0,0,0,0.246275547051343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133870560500683,0.08292166026587,0,0,0,0,0,0.161106419903985,0,0.083838459094567,0.0968084034467832,0,0,0,0,-0.00396812750070125
X601328.CH.EQUITY,0,0,0,0,0,0,0.677285672349094,0,0,0,0,0,0,0,0,0.0713544692125302,0,0,0,0,0.209159488214304,0,0,0,0,0,0.114821910786237,0,0,0,0,0,0,0,0,0,0,-0.0876726517604462,0,0,0,0,0,0.08103774574295,0,-0.223292428798792,0,-0.0394605565304889,0,-0.0445836917608826
X601166.CH.EQUITY,0.187508011398564,0,0,0.259759072576238,0,0.00853754108468823,0,0,0,0,0,0.302129961961056,0,0,0,0,0,0,0.0931864895479119,0,0,0,0,0,0,0,0.00283075997229162,0,0,0,0,0,0.0588039006583922,0,0,0,0,0,-0.018020051523406,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.181174253390004,0.599840859679516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274770612287208,0,0,0,0,0,0,0,-0.0266960812050564,0,-0.272856361210557,0,0,0,0,0,0,0,0,0,0,0,0,0
