,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119767449563488,0,0,0,0,0.289533419316579,0,0,0,0,0,0,0,-0.0833188344572567,0.185546057357229,0,0,0,0,0,0,0,0.0019721848836128,0.0291253162171025,0.234297656580373,0,0,0,0,0,0,0.281445787654385,0,0,0,0,0
X16.HK.EQUITY,0,0,-0.0108504008382888,0,0,0,0,0,-0.119181047964305,0,0,0,0,0,0,0,0,0,0,0.125658055840444,-0.120696045342596,0,0,0,0,0,0,0.0767782471345845,0,0.123672527500736,0.206225682126097,0,0,0,0,0.0966336813025726,-0.0438974467673514,0.195227177266699,0,0,0,0,0,0.028795175587636,0,0.24184439690905,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.120825109032876,0,0,0.0568116648800253,0,-0.0209204436773504,0,0,0,0,0.0188952390110263,0,0,-0.0421375564396255,0.0927153433916723,0,0,0,0.111588067087811,-4.33680868994202e-19,0,0,0,0.0404857747712291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370084115993286,0.0637443406102287,0,0.0185558647608592,0.110065884324362
X601601.CH.EQUITY,0.175430132336809,0,0.180312772235705,-2.71050543121376e-20,0,0,0,0,0,0,0,-0.0255610975197456,0,0,0,0,0,0,0.106446301749718,0,0,0,0,0,0,0,0,0,0,0,0,0.138619934245848,0,0,0,-0.0142777120561646,0,0,0,-1.38777878078145e-17,0,0,0,0,0.00657299160806604,0.0117109989363155,0,0.284039069673131,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0.231434985100637,0,0.232013324928453,0,0.0276670308647434,0,0,0,0.0379950843937603,0,0,0.0527055694601855,0,0,0,0,0.238790740296235,0,0,0,0,0,0.117056122826572,0,0,0,0,0,0,0.0591023040922225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103528985291405,0,0.0599585812479507,0.584605524427401,0,0,0,0,0,0,0,0.144213161736871,0.179487181457869,0,0,0,0.517905519729899,-0.316165588654177,-0.228785990609472,0,0,0,0,0,-0.127278889785049,0,0,0,0,0,0,0,0,0,0,0,0.144701174476732
X601998.CH.EQUITY,0,0.230780898575074,0,0,0,0.201145598657862,0,0,0,0.0917599233605629,0,0,0.05431860372908,0.0909873962128477,0,0,0,0,0,0,0,0.0443009775301799,0,0,0,0,0,0,0,0,0,0.069104481488807,0,0,0,0,0,-0.0604030882989082,0,0,0.0932359731287585,0.0295712534920536,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.00736244880631917,0,0.0450440635479968,0,0,-8.67361737988404e-19,0.267631530545313,0.306775830001068,0,0,0,0,0,0,0,0,0,0.0253129051466763,0,0,0,0,0,0,0,0.0230942725857778,0,0,0,0,0,0,0,0,0,0,0.0433094091514737,0,0.0890527384153145,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0.0258829006362904,0,0,0.0895915366236096,0,0.232789722237078,0,0,0,0,0,0.179592303921118,0,0,0,0.0311335812567669,0,0,0,0,0,0,0,0,0.208457156399267,0,0,-0.0855446434086723,0,0,0,0,0,0.018462259984638,0,0,0,0,0,0,0,0.178788453443051,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0803681494248253,0,0,0.0335734522238528,-0.216192916262843,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0575641712641355,0,0,0,0,0.468220426428487,0,0.0295985360933115,0,0,0.0766896392051026,0,0,0.14597052952924,0,0.127187846340141,0,0.0958901043482676,0.00931261839930849,0,0
