,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.172063787773999,0,0.199225067593624,0,0,0,0,0,0,0,0,0,0,0.0446933185258765,0,0,-0.191361959457427,0,0,0,0,0,-0.292163251761116,0,0.0486885520669357,0,0,0.839083967658551,-0.0998397531155847,-0.15647704844295,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.00127750289684267,0,0.21203978659221,0.0166030673749638,0,0,0,0,0.0628711781967745,0,0,0,0,0,0,0.018953174065878,0,0,0,0.027901747237504,0,0,0.0789084399852691,0.0224639702312631,0,0,0,0,0,0.279069136490737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.131460334415857,0,0,0,0,0,0,0,0,0.180447275573311,0,0,0,0,0,0,0,0.146225224659202,0,0,0,0,0,0,0,0,0,0,0,0.10042140775403,0,0,0,-0.257537756751382,-0.220288904170522,0,0,0.51045423575521,0.17375044677254,0,0,0,0.163699529715177,0,0,0,0,0,0,-3.46944695195361e-18
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.595516635202074,0.244780304741022,0.0843469752847374,0.588474314723543,0,0,0,0,0.350404544030562,3.46944695195361e-18,0,0.0396735069401976,0,0,0,0,0,-0.421525518513539,0,0,0,0,0,0.0977609981327869,0,-0.706478431404009,0,0,0,0,-0.379630733061194,0,0,0,0.312295806953957,0,0,0,0,0.451584908043747,0,0,-0.0528658760071682
X5.HK.EQUITY,-0.0778135214064098,-0.0239156186561489,0,0,0,0,0,0,0,0,0,0,0,0,0.464353131209944,0,0,6.93889390390723e-18,0.449901636384312,0,0,0,0,0.0662338434912722,0.0122426179876033,0,0,0,-0.130458608112392,0,-0.138669253085012,0,0,0,0,0.12966077343021,0,0,0,0,-0.10175840956858,0,0,0.182198399548896,0,0,0,0,-0.130223327094457,0
X601988.CH.EQUITY,-0.367774953292708,0,0,-0.00475950671421285,0.337058945331453,0,0,0,0,0,0,-0.0529148432342964,0,0,0,0,0,0.167604282635959,0,0,0.792771718118454,0,0,0,0,0,0,0,0,-0.545276863392508,0,0,0,0,0,0,0,0,0,-0.000843991647752072,0.0424840851073396,0,0.147362052168943,0,1.73472347597681e-18,0,0,0,0,0
X600036.CH.EQUITY,-0.15953720794395,0.543154732918417,-0.0346510452149069,0,0,0,0,-0.0303767420285378,-0.00534756554284797,0.348054832316704,0,0.357872212679287,0,0,0,0,1.73472347597681e-18,0,0,0,-0.131126120479419,-0.174725340521819,0,0,0.232032043564104,0,0,0.0750272170630084,0,0,0.110243474614888,0,0,-0.277553612130852,0,0,0,0,0,0,0,0.215382176037604,0,0.0503232917353502,0,-0.109783481555519,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.110762137877959,0.011394974977656,0,0,0.133852877805048,0,0,-0.0787883915839849,0,0,0.0291395865404856,0.140025954291222,0,0,0.0599238192837688,0,0,2.16840434497101e-19,0,0,0,0.154555558197517,0,0,0,0,0,0.143363486799838,0,0,0,0,0,0,0,0,0,0,0.0230549653080108,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0102591547635871,0,0,0,0,0,0,0,0.0569351012006711,0,0.343262351696702,0,0,0,0,0,0,0,0,0.024921632716673,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0216645526953187,0,0,0,0,0.273921243136121,0.0498804600610412,0,0,0,0,0,0.0939348977320005,0,0,0,0,0,0,-0.0643666870054912
X601328.CH.EQUITY,0,0,0,0,0,0,0.357752664829958,0,0,0,0,0.101176105058705,0,0,0,0,0,0,0,0,0,0,0.0273243809627543,0,0.245336584339912,0.168215314280279,0,0,0,0,0,0,0,0,-0.0729475501179182,0,0,0,0,-0.14883861225547,0,0,0,-0.0269754956211528,0.132058294320145,0,0,0,0,-0.242288788833025
