,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.228480603914439,0,0,0,0,0,0,0,0,0,0.0776848527100256,0.322867895095549,0,0,0,0.173917451597204,0,0,0,0.590979082398189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.233682369064158,0,0,0,0,0,0,-0.0575602427164376
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0131652748197896,0,0,0,0,0,0,0.0478947144773972,0,0,0,0,0.0246553336990244,0.0695433682388109,0,0,0.316013675781292,0,0,0,0,0.129009589914757,0,0,0,0.0440739225161575,0,0,0,0,0,0,0,0,0,0.0195295390222751,0,0.322392423357257,0
X2007.HK.EQUITY,0,0,0,0,0.0842760173463035,0,0,0,0,0,0.0163135257505712,0,0,0,0,0,0,0,0,0.112846720668538,0,0,0,0,0,0,0.175053295760859,0.0801602316249885,0,0,0,0,0,0.221298815120751,0,0,0.158380967715516,0,0,0.131923287349931,0,0,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.226672157188859,0,0,0,0,0,0,0.140802356029352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158423887743284,0,0,0.261277412753503,0,0,0,0,0,0,0,0,0,0.0574274686541259,0
X601818.CH.EQUITY,0.0491612960169821,0,0,0,0,0,0.122645754480399,0,0,0,0,0.348040912883409,0,0,0,0,0,-0.0276103066635701,0,0,0,0,0,0.427204410687132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299759706694057,0,0,0,0,0,0,0,0,0,0,0,0.028256401632679,0,0,0,0,0,0,0.00456022032332589,0.0446491541043917,0,0,0,0,0,0.176971864826967,0,0,0,0.0238180258956886,0.213818859666418,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852181595708445,0.0507836516090169,0,0,0,0,0,0,0,0,0.0122734625758477,0,0,0.153251500681447,0,0.059697974386961,0,0,0.624305263957437,0,0,0,0.0290616050420043,0,0,-0.0299917858377958,0,0,0,0,0,0,0,0,0,-0.0224939185035317
X1113.HK.EQUITY,0,0,0,0,0,0.0407782643809862,0.0872204969237658,0,0,0,0,0,0,0.00160270625911816,0,0,0.251963676307687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797147118851416,0.264367546528014,0,0,0,0,0,0,0,0,0.135613868892442,0,0,0,0,0,0,0,0.131552359636748,-0.0232409910306917
X002142.CH.EQUITY,0.103594376035649,0,0,0,0,0,0,0,0.268510863344529,0.0410152610358304,0,0,0,0,0.198249054159089,0,0,0,0,0,0,0,0,0,0,0,0.000267518577186343,0,0,0,0,-0.126600881224714,0,0,0,0,0,0,0,0,0,0,0.305655372493284,-0.0577992827803413,0,0,0,0,0,0,-0.0850154558977573
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.146026854376917,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0922400346070119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09304384533993,0,0,0,0,0,0.0852248014356395,0.35561629835426,0,0,0.146146076631945,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,-0.132900812053668,0,0,0,0.12502082964065,0.417915346773311,0,0,0,0,0,0,0,0,0,0,-0.0455340830833159,0.0261035151063442,0,0,0,0.0662535417452728,0,0.391984650682764,0,0,0.0618731282679358
X823.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0870470636925151,0,0,0,0,0,0,0.133466309214995,0.510708594842558,0,0,0,0,0,0,0,0,0,0,0.154141609429677,0,0,0,0,0,0,-0.0420912064922333,0,-0.115806247543748,0,0,0,0,0.0586779682381966,0,0.00753158670625605,0,0,0,0.0548423327350982,0.172691356401244,0,0.0381705115408595
X600837.CH.EQUITY,0,0,0,0,0,0.0280916259528665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246854307579899,0,0,0,0.146405469965427,0,0,0,0,0.00949537832210328,0.0937194250409753,0,0.0054407375920697,0.191089132631976,0,0,0.235675877768754,0.0155794517918088,0,0
X601229.CH.EQUITY,0,0.0872867466077509,0,0,0,0,0,0,0,0.0325905089231519,0,0,0,0.184394097000982,0,0,0,0,0,0,0,0.269697964021183,0,0,0,0,0,0,0.0399171728978624,0,0.044655395302886,0.0829475712077847,0,0,0.175644063410633,0,0,0,0,0,0,0,0,0.0969353722519968,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0.092900989500942,0,0.0243910013336313,0,0,0,0,0,0,0,0.163241306877963,0,0.281088501869373,0,0,0,0,0,0,0.0232521958745292,0,0,0,0,-0.0498978877669687,0,0.0599616581949762,0,0,0,0,0,0,0,0,0,0,0,0,0.333548067758042,0,0,0.0430820105834415,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0.182531061011821,0,0,0,0,0.0718985595975796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068272867979712,0,0,0,0,-0.0218718977957205,0,0.100672253342068,0,0.132212030057257,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.439366259036053,0
X601336.CH.EQUITY,0,0,0.149334617233706,0,0,0,0,0,0.0588681490278075,0,0,0,0,0.241732731690294,0,0,0,0,0.036632446878894,0,0.124593016193263,0.0615891028884562,0,0,0,0,0,0,0,0,0,0,0,0,0.00910677563114274,0,0,0,0,0,0,0,0,0,0,0,0.0141418220771562,0,0.230417675364339,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093920057380006,0,0,0,0,0.0956373121023967,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901627246918015,0,0.0196122482504555,0.293652018135002,0,0,0,0,0,0,0,0.0321076574191933,0.286148563912155,0.0896185637844741,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296780440291134,0.0123432409583843,0,0,0,0,0.0177676435203867,0,0.0169594726401197,0,0,0,0,0.101227315322325,0.170950473591913,0,0,0,0.0530888442007989,0,0,0,0,0.143556606351088,0,0,0.104695381430077,0,0,0,0,0.132828378112668,0,0.046745645838651
X601169.CH.EQUITY,0,0,0,0,0.0670039810177765,0,0,0,0,0,1.38777878078145e-17,0,0,0.191943223066646,0,0,0,0,0.0328276043840636,0,0,0,0,0.149132255485831,0,0,0,0,0,0.0157294593669962,0,0,0,0,0,0,0,0,0.0413641642497344,0.0742861373463265,0,0,0,0,0,0,0.347140861610504,0,0.0664043925579167,0,0
X600015.CH.EQUITY,0,0.0220062008785288,0,0,0,0,0,0,0.0800049693653844,0,0,0,0,0.228886655076348,0,0,0,0,0,0,0,0,0,0.137014977830413,0,0,0,0,0,0,0.0496327389917502,0,0,0,0,0,0.0495457322658079,0,0,0,0,0,0,0.0482991053187314,0,0.352110132732863,0,0,0,-6.93889390390723e-18,0
X000776.CH.EQUITY,0,0,0,0,0,-0.02825560381822,0,0,0,0,0,0,0.0390864471111066,0,0,0,0,0.0592694262168393,0,0,0,0,0,0,0.0578663688789822,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.103802409317838,0,0.298570106153441,0,0,0,0,0.353646448030065,0.013738657671931,0,0,0,0.0653382996726042,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0374144734075978,0,0,0,0,0.129586832216024,0,0,0,0.0338715442104561,0,0,0,0,0,0.0262712434497307,0,0,0,0,0,0,0.297441476100572,0,0,0,0,0,0.0928130501853642,0,0.0446016047772489,0,0,0,0,0.0908550635541839,0,0,0.293277249163045,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0.318061433742398,0,0.225856596399141,0.0371390852884592,-0.0169867253293628,0,0,0,0,0,0,0.059400952984015,0,0,0.259359536416577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100058156277695,0,0,0,0.194283674585961,0,0,0,0,0,0,0,0,0
macro_return_add,0,-0.845999619087867,0,0.292208097444463,0,0,0,0.816129760328644,-0.420441579330583,0,0,0,-1.23802827398129,0,0,0.0369718911009888,0,0,0,0,0,0,-0.282327847454881,0,-0.118822646400798,0,0,-0.765820619514958,0,0,0,0,0,0,-0.296032723749583,0,1.10574275112785,0.703653613726229,0,0,0,0,0,0,0.588285033128589,0,0,0,0,0.194659700015571,0
